bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102290000017,中国工商银行股份有限公司上海市石门一路支行,021-62533238,200041,上海市南京西路801号,SWIFT CODE,上海
102290000105,中国工商银行股份有限公司上海市静安支行文新报业分理处,021-52920152,200041,上海市静安区威海路755号,SWIFT CODE,上海
102290000197,中国工商银行股份有限公司上海市美丽园支行,021-62496750,200040,上海市静安区延安西路396号,SWIFT CODE,上海
102290000236,中国工商银行股份有限公司上海市东海广场支行,021-52241376,200040,上海市静安区南京西路1486号3205室,SWIFT CODE,上海
102290000390,中国工商银行股份有限公司上海市余姚路支行,021-62312448,200042,上海市静安区余姚路635号,SWIFT CODE,上海
102290000978,中国工商银行股份有限公司上海市大同路支行,021-50410150,200137,上海市浦东新区大同路331号,SWIFT CODE,上海
102290001567,中国工商银行股份有限公司上海市普安路支行,021-53060983,200021,上海市普安路177号,SWIFT CODE,上海
102290001591,中国工商银行股份有限公司上海市柳林大厦支行,021-63842164,200021,上海市西藏南路168号,SWIFT CODE,上海
102290001719,中国工商银行股份有限公司上海市瑞金南路支行,021-64661446,200020,上海市黄浦区肇嘉浜路6号乙,SWIFT CODE,上海
102290001735,中国工商银行股份有限公司上海市绍兴路支行,021-64452732,200025,上海市建国中路171号,SWIFT CODE,上海
102290001760,中国工商银行股份有限公司上海市局门路支行,021-63011556,200023,上海市局门路378号,SWIFT CODE,上海
102290001786,中国工商银行股份有限公司上海市瞿溪路支行,021-63040086,200023,上海市打浦路451号,SWIFT CODE,上海
102290001809,中国工商银行股份有限公司上海市丽园路支行,021-63031334,200023,上海市丽园路928号,SWIFT CODE,上海
102290001833,中国工商银行股份有限公司上海市中山南一路支行,021-53011190,200023,上海市黄浦区中山南一路898号,SWIFT CODE,上海
102290002220,中国工商银行股份有限公司上海市安图路支行,021-55828659,200093,上海市杨浦区延吉东路212号,SWIFT CODE,上海
102290002262,中国工商银行股份有限公司上海市佳木斯路支行,021-65341058,200433,上海市杨浦区佳木斯路390-392号,SWIFT CODE,上海
102290002279,中国工商银行股份有限公司上海市延吉支行,021-65308772,200092,上海市杨浦区靖宇东路236号,SWIFT CODE,上海
102290002326,中国工商银行股份有限公司上海市大连支行,021-65022755,200092,上海市杨浦区大连路1550号,SWIFT CODE,上海
102290002359,中国工商银行股份有限公司上海市田林东路支行,021-64391529,200235,田林东路160－162号,SWIFT CODE,上海
102290002406,中国工商银行上海市港汇广场支行,021-64070953,200030,虹桥路1号港汇广场1座703室,SWIFT CODE,上海
102290002447,中国工商银行股份有限公司上海市翔殷支行,021-65341418,200433,上海市杨浦区翔殷路1000号,SWIFT CODE,上海
102290002471,中国工商银行股份有限公司上海市国定支行,021-65106136,200433,上海市杨浦区国定路600弄16-19号,SWIFT CODE,上海
102290002519,中国工商银行股份有限公司上海市横浜桥支行,021-56667954,200081,上海市虹口区四川北路1792号,SWIFT CODE,上海
102290002527,中国工商银行股份有限公司上海市山阴路支行,021-56662262,200081,上海市四川北路2050号,SWIFT CODE,上海
102290002713,中国工商银行股份有限公司上海市曲阳路支行,021-65520367,200083,上海市虹口区曲阳路561号,SWIFT CODE,上海
102290002756,中国工商银行股份有限公司上海市水电路支行,021-35080873,200434,上海市虹口区水电路1130弄18号,SWIFT CODE,上海
102290003525,中国工商银行股份有限公司上海市张庙支行,021-36110625,200431,长江西路1431号,SWIFT CODE,上海
102290003576,中国工商银行股份有限公司上海市殷高西路支行,021-36322818,200439,殷高西路319号,SWIFT CODE,上海
102290003630,中国工商银行股份有限公司上海市沪太路支行,021-60940009,200444,纬地路90号,SWIFT CODE,上海
102290003656,中国工商银行股份有限公司上海市长江西路支行,021-36336391,200431,上海市宝山区长江西路2293号,SWIFT CODE,上海
102290003672,中国工商银行股份有限公司上海市新村路支行,021-66379836,200442,上海市宝山区新村路681号,SWIFT CODE,上海
102290003689,中国工商银行股份有限公司上海市共江路支行,021-36090144,200431,共江路1168号,SWIFT CODE,上海
102290003697,中国工商银行股份有限公司上海市真华路支行,021-36324709,200442,真华路1807号,SWIFT CODE,上海
102290004026,中国工商银行股份有限公司上海市桃浦新村支行,021-66950244,200331,上海市普陀区雪松路401号,SWIFT CODE,上海
102290004202,中国工商银行股份有限公司上海市曹杨路支行,021-62574082,200063,上海市普陀区武宁路1500号,SWIFT CODE,上海
102290004510,中国工商银行股份有限公司上海市陕西南路支行,021-54094505,200031,上海市淮海中路960号,SWIFT CODE,上海
102290004649,中国工商银行股份有限公司上海市大木桥路支行,021-54520306,200031,上海市徐汇区大木桥路303号,SWIFT CODE,上海
102290004657,中国工商银行股份有限公司上海市枫林路支行,021-54961752,200032,零陵路355号,SWIFT CODE,上海
102290004665,中国工商银行股份有限公司上海市医学院路支行,021-64161867,200032,上海市斜土路1646号,SWIFT CODE,上海
102290004796,中国工商银行股份有限公司上海市南丹路支行,021-54891073,200030,南丹路60号,SWIFT CODE,上海
102290004831,中国工商银行股份有限公司上海市碧云国际支行,021-33821830,201206,上海市浦东新区碧云路582号,SWIFT CODE,上海
102290004866,中国工商银行股份有限公司上海市汇成新村支行,021-64230208,200237,上海市百色路1199号,SWIFT CODE,上海
102290004874,中国工商银行股份有限公司上海市凌云路支行,021-34080923,200237,上海市凌云路210号,SWIFT CODE,上海
102290004903,中国工商银行股份有限公司上海市钦州路支行,021-64758382,200233,上海市宜山路661号,SWIFT CODE,上海
102290004938,中国工商银行股份有限公司上海市田林路支行,021-64705254,200233,上海市田林路83号,SWIFT CODE,上海
102290004979,中国工商银行股份有限公司上海市龙州路支行,021-54289413,200237,梅陇路255号,SWIFT CODE,上海
102290005109,中国工商银行股份有限公司上海市东方环球企业中心支行,021-36520815,200072,上海市闸北区永和路118弄43号103、104室,SWIFT CODE,上海
