bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102731000010,中国工商银行云南省分行清算中心（不办对外业务）,0871-3158661,650011,昆明市青年路395号邦克大厦18楼,SWIFT CODE,云南
102731000028,中国工商银行昆明城市开发支行宝善分理处,0871-3174813,650021,云南省昆明市护国路57号华尔贝大厦一楼,SWIFT CODE,云南
102731001045,中国工商银行昆明南市区支行银海分理处,0871-7018970,650228,云南省昆明市日新路银海森林小区11号,SWIFT CODE,云南
102731001061,中国工商银行昆明银通支行威远街分理处,0871-3137954,650031,云南省昆明市威远街7号楼1楼,SWIFT CODE,云南
102731001115,中国工商银行昆明金碧支行,0871-3612008,650032,云南省昆明市东寺街300号金碧商城1楼,SWIFT CODE,云南
102731001131,中国工商银行昆明南屏支行螺蛳湾分理处,0871-4172275,650034,云南省昆明市环城南路668号云纺商业区装饰广场二交易区9号,SWIFT CODE,云南
102731001140,中国工商银行昆明大观支行严家地分理处,0871-4145993,650034,云南省昆明市云兴路58号,SWIFT CODE,云南
102731001158,中国工商银行昆明南市区支行滇池路分理处,0871-4630970,650228,云南省昆明市滇池路绿景大道中铁十五局办公大楼一楼,SWIFT CODE,云南
102731001166,中国工商银行昆明新亚洲体育城支行,0871-7325675,650228,云南省昆明市新亚洲体育城商铺S11-1、2号,SWIFT CODE,云南
102731001211,中国工商银行昆明正义支行武成路分理处,0871-3610936,650021,云南省昆明市人民中路南廊旺角商城,SWIFT CODE,云南
102731001318,中国工商银行昆明护国支行拓东路分理处,0871-3110075,650011,云南省昆明市拓东路7号,SWIFT CODE,云南
102731001326,中国工商银行昆明吴井支行,0871-3319560,650041,云南省昆明市民航路3号百大城市理想花园1期1幢101,SWIFT CODE,云南
102731001334,中国工商银行昆明护国支行白塔分理处,0871-3768030,650000,云南省昆明市白塔路227号,SWIFT CODE,云南
102731001367,中国工商银行昆明经开区支行,0871-7278131,650217,云南省昆明市经济技术开发区昌宏路得胜家具城北区一楼,SWIFT CODE,云南
102731001375,中国工商银行昆明江东支行,0871-5735237,650225,云南省昆明市江东商业街46号,SWIFT CODE,云南
102731001414,中国工商银行昆明北京路支行小坝分理处,0871-5615135,650051,云南省昆明市穿金路709号,SWIFT CODE,云南
102731001422,中国工商银行昆明红云支行,0871-5815450,650202,云南省昆明市卷烟厂劳动服务公司综合楼一楼,SWIFT CODE,云南
102731001439,中国工商银行昆明北京路支行茨坝分理处,0871-5150327,650203,云南省昆明市茨坝镇正街13号,SWIFT CODE,云南
102731001455,中国工商银行昆明北京路支行环南分理处,0871-3572303,650041,云南省昆明市环城南路163号,SWIFT CODE,云南
102731001463,中国工商银行昆明北京路支行东华分理处,0871-3316135,650041,云南省昆明市人民东路314号,SWIFT CODE,云南
102731001617,中国工商银行昆明西市区支行黑林铺分理处,0871-8182214,650106,云南省昆明市西山区黑林铺直街45号,SWIFT CODE,云南
102731001625,中国工商银行昆明马街支行,0871-8411712,650100,云南省昆明市西山区马街中路35号,SWIFT CODE,云南
102731001633,中国工商银行昆明王家桥支行,0871-5527130,650102,云南省昆明市西山区王家桥61号,SWIFT CODE,云南
102731001641,中国工商银行昆明兴苑路支行,0871-8228318,650106,云南省昆明市兴苑路兴隆大厦一楼,SWIFT CODE,云南
102731001713,中国工商银行昆明关上支行凉亭分理处,0871-3912182,650215,云南省昆明市东郊昆铁东货场西大门,SWIFT CODE,云南
102731001721,中国工商银行昆明关上支行牛街庄分理处,0871-7262024,650217,云南省昆明市东郊牛街庄,SWIFT CODE,云南
102731001730,中国工商银行昆明穿金中路支行,0871-5899175,650051,云南省昆明市穿金路中产风尚小区商铺S13-15号,SWIFT CODE,云南
102731001748,中国工商银行昆明关上支行大石坝分理处,0871-7207837,650229,云南省昆明市东郊大石坝锁水桥,SWIFT CODE,云南
102731001756,中国工商银行昆明向阳分理处,0871-7210335,679100,云南省昆明市东郊阿拉乡公家村96201部队大院,SWIFT CODE,云南
102731001764,中国工商银行昆明新迎小区支行,0871-5622219,650233,云南省昆明市白云路258号官房广场一楼临街铺面,SWIFT CODE,云南
102731001772,中国工商银行昆明银通支行民航路分理处,0871-3372658,650200,云南省昆明市民航路99号,SWIFT CODE,云南
102731002015,中国工商银行云南省分行营业部业务处理中心,0871-3158266,650011,昆明市青年路395号1A楼,SWIFT CODE,云南
102731002023,中国工商银行云南省分行营业部营业室,0871-3158344,650011,昆明市青年路395号1楼,SWIFT CODE,云南
102731002031,中国工商银行昆明南屏支行,0871-3626350,650021,昆明市南屏街54号,SWIFT CODE,云南
102731002040,中国工商银行昆明正义支行,0871-3622760,650021,昆明市正义路152号,SWIFT CODE,云南
102731002058,中国工商银行昆明护国支行,0871-3149862,650021,昆明市护国路15号,SWIFT CODE,云南
102731002066,中国工商银行昆明北京路支行,0871-3192316,650051,昆明市北京路519号,SWIFT CODE,云南
102731002074,中国工商银行昆明关上支行,0871-7173807,650200,昆明市民航路410号,SWIFT CODE,云南
102731002082,中国工商银行昆明西市区支行,0871-5366414,650100,昆明市丹霞路云南民族大厦1-3楼,SWIFT CODE,云南
102731002099,中国工商银行昆明东风支行,0871-3187869,650011,昆明市北京路275号,SWIFT CODE,云南
102731002103,中国工商银行昆明大观支行,0871-5354317,650031,昆明市大观街万裕组团A幢,SWIFT CODE,云南
102731002111,中国工商银行昆明南市区支行,0871-3613232,650031,云南省昆明市佳湖路理想小镇商铺4－8号,SWIFT CODE,云南
102731002120,中国工商银行昆明汇通支行,0871-3345293,650233,昆明市新迎小区白龙路2号,SWIFT CODE,云南
102731002138,中国工商银行昆明城市开发支行,0871-3131839,650021,昆明市东风东路80号,SWIFT CODE,云南
102731002146,中国工商银行昆明银通支行,0871-3115017,650011,昆明市春城路62号证券大厦1楼,SWIFT CODE,云南
102731002154,中国工商银行昆明圆通支行,0871-5140718,650031,昆明市圆通西段北廊3号楼,SWIFT CODE,云南
102731002162,中国工商银行昆明北市区支行,0871-5719777,650224,昆明市金星小区东门业务综合楼,SWIFT CODE,云南
