bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102191000038,中国工商银行股份有限公司呼和浩特市满都拉支行,0471-5978606,10020,呼和浩特市玉泉区五塔寺东街1号,SWIFT CODE,内蒙古
102191000046,中国工商银行股份有限公司内蒙古自治区分行,0471-6940585,10050,内蒙古呼和浩特市锡林北路108号,SWIFT CODE,内蒙古
102191000062,中国工商银行呼和浩特市中山西路支行,0471-6307326,10020,呼和浩特市中山西路233号,SWIFT CODE,内蒙古
102191000079,中国工商银行股份有限公司呼和浩特市光明支行,0471-2241142,10050,呼和浩特市光明大街东段路南,SWIFT CODE,内蒙古
102191000087,中国工商银行呼和浩特市托克托县支行,0471-8512877,10200,内蒙古呼和浩特市托克托县新城新建路,SWIFT CODE,内蒙古
102191000095,中国工商银行呼和浩特市土默特左旗支行,0471-8112643,10100,内蒙古呼和浩特市土默特左旗政府街,SWIFT CODE,内蒙古
102191000100,中国工商银行呼和浩特市大北街支行,0471-6310258,10020,内蒙古呼和浩特市中山西路234号,SWIFT CODE,内蒙古
102191000118,中国工商银行内蒙古自治区分行营业部会计核算中心(不对外办理业,0471-6300300,10020,呼和浩特市中山西路233号,SWIFT CODE,内蒙古
102191000126,中国工商银行股份有限公司呼和浩特市民族商场支行,0471-6930286,10020,呼和浩特市中山西路57号,SWIFT CODE,内蒙古
102191000134,中国工商银行股份有限公司呼和浩特市大南街支行,0471-6305479,10031,呼和浩特市玉泉区大北街33号,SWIFT CODE,内蒙古
102191000142,中国工商银行呼和浩特市西货场分理处,0471-3969144,10030,内蒙古呼和浩特市光明西路西货场北角,SWIFT CODE,内蒙古
102191000159,中国工商银行股份有限公司呼和浩特市呼伦南路支行,0471-5255201,10010,内蒙古呼和浩特市水木年华大酒店一楼南侧呼伦南路9号,SWIFT CODE,内蒙古
102191000167,中国工商银行呼和浩特市工会大厦分理处,0471-6289396,10020,内蒙古呼和浩特市中山西路,SWIFT CODE,内蒙古
102191000183,中国工商银行股份有限公司呼和浩特市新城北街支行,0471-4816319,10010,内蒙古呼和浩特市新城北街劳动大厦,SWIFT CODE,内蒙古
102191000206,中国工商银行呼和浩特市车站支行,0471-6963848,10050,内蒙古呼和浩特市锡林北路26号,SWIFT CODE,内蒙古
102191000214,中国工商银行呼和浩特市武川县支行,0471-8812507,11700,内蒙古呼和浩特市武川县可可以力更镇南大街20号,SWIFT CODE,内蒙古
102191000222,中国工商银行股份有限公司呼和浩特市海西路支行,0471-3967807,10050,呼和浩特市回民区海拉尔西路69号,SWIFT CODE,内蒙古
102191000239,中国工商银行股份有限公司呼和浩特市通道街支行,0471-6927871,10030,呼和浩特市回民区通道北街74号,SWIFT CODE,内蒙古
102191000247,中国工商银行呼和浩特市和林格尔县分理处,0471-7191220,11500,内蒙古呼和浩特市和林格尔县城关镇红旗街34号,SWIFT CODE,内蒙古
