bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102100000021,中国工商银行股份有限公司北京通州支行新华分理处,010-69512481,101100,北京市通州区新华大街155号,SWIFT CODE,北京
102100000030,中国工商银行股份有限公司北京市分行营业部,010-66410055-1082,100031,北京市西城区复兴门南大街2号,SWIFT CODE,北京
102100000048,中国工商银行股份有限公司北京方庄支行东铁匠营分理处,010-67222128,100075,北京市永外定安路14号,SWIFT CODE,北京
102100000056,中国工商银行股份有限公司北京崇文门外大街支行,010-67114805,100062,北京市崇文区崇外大街90号,SWIFT CODE,北京
102100000064,中国工商银行股份有限公司北京樱桃园支行,010-63522204,100054,北京市宣武区右安门内大街13号,SWIFT CODE,北京
102100000072,中国工商银行股份有限公司北京王府井金街支行,010-65125931,100006,北京市东城区王府井大街237号,SWIFT CODE,北京
102100000089,中国工商银行股份有限公司北京南苑支行,010-67991582,100076,北京市丰台区南苑新华街1号,SWIFT CODE,北京
102100000097,中国工商银行股份有限公司北京南中轴路支行,010-87806336,100068,北京市丰台区永外果园43号骏景园北区第2幢1层02号,SWIFT CODE,北京
102100000101,中国工商银行股份有限公司北京东四南支行,010-65125661,100010,北京市东城区东四南大街147号,SWIFT CODE,北京
102100000110,中国工商银行股份有限公司北京安定门支行,010-64061824,100007,北京市东城区交道口东大街6号楼1层,SWIFT CODE,北京
102100000128,中国工商银行股份有限公司北京左安门支行,010-67766502,100021,北京市朝阳区潘家园南里27号,SWIFT CODE,北京
102100000136,中国工商银行股份有限公司北京德外支行,010-82062591,100011,北京西城区教场口街9号院乙9号-8,SWIFT CODE,北京
102100000144,中国工商银行股份有限公司北京百万庄支行,010-88082528,100037,北京市海淀区三里河路15号（中建大厦A座）,SWIFT CODE,北京
102100000152,中国工商银行股份有限公司北京崇文支行永定门分理处,010-87280173,100075,北京市崇文区永外大街86号,SWIFT CODE,北京
102100000169,中国工商银行股份有限公司北京燕山支行,010-63947160,102500,北京市房山区燕山迎风中路7号,SWIFT CODE,北京
102100000177,中国工商银行股份有限公司北京房山支行城关分理处,010-89323057,102400,北京市房山区城关镇西大街7号,SWIFT CODE,北京
102100000185,中国工商银行股份有限公司北京菜市口支行,010-83531581,100053,北京市宣武区广内大街116号,SWIFT CODE,北京
102100000193,中国工商银行股份有限公司北京广安门支行,010-63461151,100055,北京市西城区广安门南滨河路3号,SWIFT CODE,北京
102100000208,中国工商银行股份有限公司北京门头沟支行龙泉分理处,010-69831447,102300,北京市门头沟区新桥大街16号,SWIFT CODE,北京
102100000216,中国工商银行股份有限公司北京西河沿支行,010-63173946,100051,北京市宣武区西河沿9号,SWIFT CODE,北京
