bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102241000017,中国工商银行吉林省清算中心(不对外办理结算业务）,0431-88923324,130061,吉林省长春市同志街136号,SWIFT CODE,吉林
102241000025,中国工商银行吉林省分行营业部核算中心,0431-4914814,130031,吉林省长春市吉林大路90号,SWIFT CODE,吉林
102241000033,中国工商银行长春市人民广场支行,0431-8923870,130051,吉林省长春市人民大街91号,SWIFT CODE,吉林
102241000041,中国工商银行长春净月旅游经济开发区支行,0431-8744392,130122,吉林省长春市净月潭福祉大路1111号,SWIFT CODE,吉林
102241000050,中国工商银行长春市南广场支行,0431-2903526,130051,吉林省长春市胜利大街811号,SWIFT CODE,吉林
102241000068,中国工商银行长春市南大街支行,0431-8674240,130041,吉林省长春市大马路176号,SWIFT CODE,吉林
102241000076,中国工商银行长春市自由大路支行,0431-5671301,130021,吉林省长春市同志街69号,SWIFT CODE,吉林
102241000084,中国工商银行长春市二道支行,0431-4942330,130031,吉林省长春市吉林大路180号,SWIFT CODE,吉林
102241000092,中国工商银行长春市铁道北支行,0431-2938081,130052,吉林省长春市铁北二路10号,SWIFT CODE,吉林
102241000105,中国工商银行长春经济技术开发区支行,0431-4630356,130031,吉林省长春市深圳街1号,SWIFT CODE,吉林
102241000113,中国工商银行长春市迎春路支行,0431-7615012,130011,吉林省长春市迎春路25号,SWIFT CODE,吉林
102241000121,中国工商银行长春市驻一汽集团公司支行,0431-5977716,130011,吉林省长春市东风大街65号,SWIFT CODE,吉林
102241000130,中国工商银行长春市大经路支行,0431-8972151,130041,吉林省长春市大经路43号,SWIFT CODE,吉林
102241000148,中国工商银行长春开发区支行,0431-5648843,130021,吉林省长春市同志街76号,SWIFT CODE,吉林
102241000156,中国工商银行股份有限公司长春绿园支行,0431-87667122,130000,吉林省长春市绿园区景阳大路2299号,SWIFT CODE,吉林
102241000164,中国工商银行长春市金程支行,0431-8720267,130042,吉林省长春市西长春大街101号,SWIFT CODE,吉林
102241000172,中国工商银行长春市兴城支行,0431-8527144,130061,吉林省长春市建设街63号,SWIFT CODE,吉林
102241000189,中国工商银行长春市光明路支行,0431-8944469,130051,吉林省长春市人民大街85号,SWIFT CODE,吉林
102241000197,中国工商银行长春市康平街支行,0431-8927701,130061,吉林省长春市西安大路40号,SWIFT CODE,吉林
102241000201,中国工商银行长春市同志街支行,0431-8920905,130061,吉林省长春市西安胡同4号,SWIFT CODE,吉林
