bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102651000044,中国工商银行股份有限公司成都航空路支行,028-85266879,610041,四川省成都市航空路6号附7号,SWIFT CODE,四川
102651000052,中国工商银行股份有限公司成都同善桥南街支行,028-87373887,610000,四川省成都市同善桥南街9号,SWIFT CODE,四川
102651000069,中国工商银行股份有限公司成都草市支行太升南路分理处,028-86629028,610017,四川省成都市青羊区太升南路288号,SWIFT CODE,四川
102651000085,中国工商银行股份有限公司成都高新区支行民丰大道分理处,028-85977231,610041,四川省成都市高新技术产业开发区民丰大道西段405号附50号,SWIFT CODE,四川
102651000093,中国工商银行股份有限公司成都蜀光路支行,028-87533511,610036,四川省成都市金牛区蜀光路4号,SWIFT CODE,四川
102651000116,中国工商银行股份有限公司成都金阳路支行,028-81713150,610000,四川省成都市金鹏街86号,SWIFT CODE,四川
102651000124,中国工商银行股份有限公司四川省成都小关庙支行,028-86913316,610017,四川省成都市青羊区石马巷6号,SWIFT CODE,四川
102651000165,中国工商银行成都市骡马市分理处,028-86645427,610015,四川省成都市青羊区羊市街9号,SWIFT CODE,四川
102651000181,中国工商银行股份有限公司成都铁路支行,028-83181327,610081,四川省成都市金牛区人民北路二段一号附11-15号,SWIFT CODE,四川
102651000212,中国工商银行股份有限公司成都簸箕街支行,028-83222348,610081,四川省成都市金牛区簸箕街60号,SWIFT CODE,四川
102651000261,中国工商银行股份有限公司成都人民北路支行,028-83226669,610081,四川省成都市金牛区人民北路一段15号附10号,SWIFT CODE,四川
102651000270,中国工商银行成都市人民中路分理处,028-86939435,610031,四川省成都市青羊区人民中路三段3号,SWIFT CODE,四川
102651000296,中国工商银行股份有限公司成都草市支行清河分理处,028-87409984,610000,四川省成都市青羊区黄田坝清河一村108幢,SWIFT CODE,四川
102651000323,中国工商银行股份有限公司成都华润路支行,028-85272342,610081,四川省成都市锦江区华润路2号,SWIFT CODE,四川
102651000340,中国工商银行股份有限公司成都前锋街支行,028-83366139,610051,四川省成都市成华区前锋街3号,SWIFT CODE,四川
102651000358,中国工商银行成都市西体路分理处,028-87669478,610031,四川省成都市金牛区西体路3号,SWIFT CODE,四川
102651000366,中国工商银行股份有限公司成都星辉中路支行,028-83333179,610081,四川省成都市金牛区星辉中路1号,SWIFT CODE,四川
102651000374,中国工商银行股份有限公司成都白马寺支行,028-87670362,610000,四川省成都市金牛区一环路北一段436号,SWIFT CODE,四川
102651000438,中国工商银行股份有限公司成都龙腾西路支行,028-87062091,610081,四川省成都市武侯区龙腾西路3号附37号,SWIFT CODE,四川
