bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102110000017,中国工商银行天津市分行营业部,022-23315315,300041,天津市和平区赤峰道12号,SWIFT CODE,天津
102110000025,中国工商银行股份有限公司天津第一支行,022-66283705,300457,天津开发区广场东路20号E5AB座,SWIFT CODE,天津
102110000033,中国工商银行天津市白堤路支行,022-27487257,300192,天津市南开区鞍山西道317号,SWIFT CODE,天津
102110000041,中国工商银行天津市天保支行,022-25763046,300456,天津市天津港保税区天保大道176号,SWIFT CODE,天津
102110000050,中国工商银行天津市分行融汇支行,022-23409402,300040,天津市和平区大同道11号,SWIFT CODE,天津
102110000068,中国工商银行天津市锦州道支行,022-27215141,300020,天津市和平区和平路254号,SWIFT CODE,天津
102110000076,中国工商银行天津市金街支行,022-27307401,300020,天津市和平区和平路238号,SWIFT CODE,天津
102110000084,中国工商银行天津市永安街支行,022-27251184,300021,天津市和平区荣业街长寿公寓2号楼底商,SWIFT CODE,天津
102110000092,中国工商银行天津市解放北路支行,022-23391865,300040,天津市和平区解放北路147号,SWIFT CODE,天津
102110000105,中国工商银行天津市小白楼支行,022-23119714,300040,天津市和平区徐州道36号,SWIFT CODE,天津
102110000113,中国工商银行天津市分行园区支行南京路分理处,022-27217097,300052,天津市和平区南京路254号,SWIFT CODE,天津
102110000121,中国工商银行天津市分行和平支行南京路劲松分理处,022-27306734,300022,天津市和平区南京路170号,SWIFT CODE,天津
102110000130,中国工商银行天津市成都道支行,022-23301173,300050,天津市和平区成都道25号,SWIFT CODE,天津
102110000148,中国工商银行天津市兰州道支行,022-27825645,300052,天津市和平区兰州道15号,SWIFT CODE,天津
102110000156,中国工商银行天津市西康路支行,022-23345833,300051,天津市和平区西康路33号,SWIFT CODE,天津
102110000164,中国工商银行天津市卫津路支行,022-27837245,300070,天津市和平区卫津路129号,SWIFT CODE,天津
102110000172,中国工商银行天津市中山路支行,022-26352353,300143,天津市河北区中山路403号,SWIFT CODE,天津
102110000189,中国工商银行天津市民族路支行,022-24463418,300010,天津市河北区进步道38号津都大厦内,SWIFT CODE,天津
102110000197,中国工商银行天津市北站支行,022-26262377,300140,天津市河北区中山路22号,SWIFT CODE,天津
102110000201,中国工商银行天津市分行河北支行中环分理处,022-26273334,300230,天津市河北区小王庄小刘庄后街172号,SWIFT CODE,天津
102110000210,中国工商银行股份有限公司天津北洋支行,022-26347987,300231,天津市河北区榆关道668号,SWIFT CODE,天津
102110000228,中国工商银行天津市王串场支行,022-26432495,300150,天津市河北区金钟河大街107号,SWIFT CODE,天津
102110000236,中国工商银行天津市真理道支行,022-24562690,300250,天津市河北区青浦路2号,SWIFT CODE,天津
102110000252,中国工商银行天津市分行河北支行中山北路分理处,022-26415017,300142,天津市河北区水产前街45号（14中学综合楼首层）,SWIFT CODE,天津
102110000269,中国工商银行天津市大直沽支行,022-24135297,300170,天津市河东区六纬路181号,SWIFT CODE,天津
102110000277,中国工商银行天津市十一经路支行,022-24124464,300171,天津市河东区七纬路与十一经路交口,SWIFT CODE,天津
102110000285,中国工商银行天津市新开路支行,022-24326145,300011,天津市河东区华兴街荣信公寓,SWIFT CODE,天津
102110000293,中国工商银行天津市二号桥支行,022-24390577,300180,天津市河东区津塘公路165号,SWIFT CODE,天津
102110000308,中国工商银行天津市津塘路支行,022-84569849,300181,天津市河东区中山门新村友爱南里4号楼,SWIFT CODE,天津
102110000316,中国工商银行天津市唐家口支行,022-24577370,300160,天津市河东区程林庄路87号,SWIFT CODE,天津
102110000324,中国工商银行天津市万新村支行,022-24727602,300250,天津市河东区万新村天山路中段,SWIFT CODE,天津
102110000349,中国工商银行天津市刘庄支行,022-28243442,300202,天津市河西区解放南路351号,SWIFT CODE,天津
102110000357,中国工商银行天津市大沽路支行,022-23115923,300202,天津市河西区大沽南路361号,SWIFT CODE,天津
102110000365,中国工商银行天津市东楼支行,022-28331442,300200,天津市河西区围堤道100号,SWIFT CODE,天津
102110000373,中国工商银行天津市陈塘庄支行,022-28303702,300220,天津市河西区大沽南路880号增1号,SWIFT CODE,天津
102110000381,中国工商银行天津市尖山支行,022-28337986,300211,天津市河西区尖山路红光里商住楼1号,SWIFT CODE,天津
102110000390,中国工商银行天津市佟楼支行,022-28401062,300074,天津市河西区围堤道123号,SWIFT CODE,天津
102110000404,中国工商银行天津市谦德庄支行,022-23246892,300204,天津市河西区永安道泰达园底商,SWIFT CODE,天津
102110000412,中国工商银行天津市双水道支行,022-28343133,300222,天津市河西区双水道24号,SWIFT CODE,天津
102110000445,中国工商银行天津市东北角支行,022-27333264,300090,天津市南开区东门内大街16号,SWIFT CODE,天津
102110000453,中国工商银行天津市南门外支行,022-87310179,300100,天津市南开区三马路173号,SWIFT CODE,天津
102110000461,中国工商银行天津市水上村支行,022-23527461,300074,天津市南开区水上北路赏园里2号,SWIFT CODE,天津
102110000470,中国工商银行天津市西南角支行,022-27596385,300101,天津市南开区黄河道12号,SWIFT CODE,天津
102110000488,中国工商银行天津市南大道支行,022-27596396,300110,天津市南开区红旗路107号,SWIFT CODE,天津
102110000496,中国工商银行天津市西广开支行,022-27478292,300102,天津市南开区长江道颂禹西里1号楼,SWIFT CODE,天津
102110000507,中国工商银行天津市黄河道支行,022-27640910,300111,天津市南开区长江道与向阳路交口西北侧瑞湾花园24号楼103,SWIFT CODE,天津
102110000515,中国工商银行天津市王顶堤支行,022-23682543,300191,天津市南开区王顶堤园荫北里14号楼,SWIFT CODE,天津
102110000523,中国工商银行天津市红旗路支行,022-27362536,300113,天津市南开区嘉陵道7号,SWIFT CODE,天津
102110000531,中国工商银行天津市北马路支行,022-27355613,300091,天津市红桥区大胡同商业街24号,SWIFT CODE,天津
102110000540,中国工商银行股份有限公司天津河北大街支行,022-58338607,300123,天津市红桥区三条石大街22、24号,SWIFT CODE,天津
102110000558,中国工商银行天津市光荣道支行,022-26524202,300120,天津市红桥区光荣道栖霞里13号,SWIFT CODE,天津
102110000566,中国工商银行天津市新村支行,022-26372921,300131,天津市红桥区咸阳北路北头,SWIFT CODE,天津
102110000574,中国工商银行天津市西青道支行,022-27328252,300122,天津市红桥区西青道红桥体育场对面,SWIFT CODE,天津
102110000599,中国工商银行天津市宏达支行,022-66219691,300452,天津经济开发区南海路11号,SWIFT CODE,天津
102110000603,中国工商银行天津市第三大街支行,022-25301236,300450,天津市开发区第三大街29号C区底商2？3号,SWIFT CODE,天津
102110000611,中国工商银行天津市新华路支行,022-25893702,300450,天津市塘沽区解放路79号,SWIFT CODE,天津
102110000620,中国工商银行天津市杭州道支行,022-25824154,300451,天津市塘沽区杭州道58号,SWIFT CODE,天津
102110000638,中国工商银行天津市海洋高新技术开发区支行,022-25210725,300451,天津市塘沽区塘汉路93号,SWIFT CODE,天津
102110000646,中国工商银行股份有限公司天津第二支行,022-25290379,300457,天津开发区第二大街9号一层,SWIFT CODE,天津
102110000654,中国工商银行天津市新港支行,022-25794912,300456,天津市塘沽区新港二号路曙光里1号,SWIFT CODE,天津
102110000662,中国工商银行天津市营口道支行,022-25305241,300450,天津市塘沽区爱民里13幢,SWIFT CODE,天津
102110000679,中国工商银行天津市寨上支行,022-25684145,300480,天津市汉沽区新开中路69号,SWIFT CODE,天津
102110000687,中国工商银行天津市分行汉沽支行新开北路分理处,022-25684414,300480,天津市汉沽区新开北路28号,SWIFT CODE,天津
102110000700,中国工商银行天津市分行大港支行胜利路分理处,022-25973084,300280,天津市大港油田三号院,SWIFT CODE,天津
102110000718,中国工商银行天津市滨海支行,022-63331041,300280,天津市大港区油田二号院,SWIFT CODE,天津
102110000726,中国工商银行天津市分行大港支行上古林分理处,022-25985844,300270,天津市大港区石化路,SWIFT CODE,天津
102110000734,中国工商银行天津市迎宾支行,022-63376635,300270,天津市大港区迎宾街79号,SWIFT CODE,天津
102110000742,中国工商银行天津市津东支行,022-24365812,300301,天津市东丽区钢管公司厂区一号路,SWIFT CODE,天津
102110000759,中国工商银行天津市先锋路支行,022-24394432,300300,天津市东丽区张贵庄福山路1号,SWIFT CODE,天津
102110000767,中国工商银行天津市程林支行,022-24715812,300163,天津市东丽区程林庄路工业区二村,SWIFT CODE,天津
102110000775,中国工商银行天津市津青支行,022-27391813,300380,天津市西青区杨柳青新华路77号,SWIFT CODE,天津
102110000783,中国工商银行天津市友谊路支行,022-28362850,300211,天津市河西区友谊路41号大安大厦101室,SWIFT CODE,天津
102110000791,中国工商银行天津市西青开发区支行,022-23971971,300371,天津市西青经济开发区龙府花园4号,SWIFT CODE,天津
102110000806,中国工商银行天津市咸水沽支行,022-28394545,300350,天津市津南区体育场路35号,SWIFT CODE,天津
102110000814,中国工商银行天津市葛沽支行,022-28690216,300352,天津市津南区葛沽镇解放道98号,SWIFT CODE,天津
102110000822,中国工商银行天津市小站支行,022-28618445,300353,天津市津南区小站镇得胜道翔宇楼,SWIFT CODE,天津
102110000839,中国工商银行天津市京津路支行,022-26394304,300400,天津市北辰区京津公路346号,SWIFT CODE,天津
102110000847,中国工商银行天津市新宜白大道支行,022-26306072,300402,天津市北辰区新宜白大道与万科新城交口,SWIFT CODE,天津
102110000855,中国工商银行股份有限公司天津财楼支行,022-86969117,300400,天津市北辰区庄园北道15、17、19号,SWIFT CODE,天津
102110000863,中国工商银行天津市分行静海县支行营业部,022-28944154,301600,天津市静海县胜利路21号,SWIFT CODE,天津
102110000871,中国工商银行天津市分行静海县支行大邱庄分理处,022-28899720,301606,天津市静海县大邱庄镇黄山路3号,SWIFT CODE,天津
102110000880,中国工商银行天津市分行宁河县支行营业部,022-25582341,301500,天津市宁河县芦台镇商业道59号,SWIFT CODE,天津
102110000898,中国工商银行天津市分行宝坻县支行营业部,022-29241703,301800,天津市宝坻县城关镇南关街2号,SWIFT CODE,天津
102110000902,中国工商银行天津市分行武清支行营业部,022-29334449,301700,天津市武清区杨村镇雍阳东道,SWIFT CODE,天津
102110000919,中国工商银行天津市分行蓟县支行营业部,022-29135042,301900,天津市蓟县兴华大街1号,SWIFT CODE,天津
102110000927,中国工商银行天津市华苑新区支行,022-23713396,300380,天津市南开区华苑小区天华里底商D座,SWIFT CODE,天津
