bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102871000015,工行宁夏分行营业部,0951--5014824,750002,银川市黄河东路901号,SWIFT CODE,宁夏
102871000023,工行宁夏银川东城支行,0951--6012644,750004,银川市中山南街100号,SWIFT CODE,宁夏
102871000031,工行宁夏银川西城支行,0951--6013904,750004,银川市民族南街21号,SWIFT CODE,宁夏
102871000040,工行宁夏银川西门支行,0951--5025445,750004,银川市解放西街394号,SWIFT CODE,宁夏
102871000058,工行宁夏银川新城支行,0951--3064354,750011,银川市新城东街,SWIFT CODE,宁夏
102871000066,中国工商银行银川市新城支行西花园分理处,0951--3012224,750011,银川市新城怀远路,SWIFT CODE,宁夏
102871000074,工行宁夏银川新市区支行,0951--2024614,750021,银川市新市区西夏路25号,SWIFT CODE,宁夏
102871000082,工行宁夏银川开发区支行,0951--5048341,750002,银川市高新技术开发区,SWIFT CODE,宁夏
102871000099,工行宁夏银川永宁支行,0951--8013042,750100,永宁县洋和南路15号,SWIFT CODE,宁夏
102871000103,工行宁夏银川贺兰支行,0951--8061901,750200,贺兰县西街9号,SWIFT CODE,宁夏
102871000111,工行宁夏银川石油城支行,0951--6153619,750006,银川市石油城燕庆路中段,SWIFT CODE,宁夏
102871000120,中国工商银行股份有限公司银川南二环支行,0951-4106142,750001,银川市长城东路258号,SWIFT CODE,宁夏
102871000138,工行宁夏银川南郊支行,0951-4098618,750001,银川市兴庆区胜利南街411-01号天丰宾馆一楼,SWIFT CODE,宁夏
102871000146,工行宁夏银川中山北街支行,0951-6715207,750004,银川市兴庆区中山北街191号,SWIFT CODE,宁夏
102871000162,中国工商银行股份有限公司银川信义支行,0951-6031324,750004,银川市中山北街41号,SWIFT CODE,宁夏
102871000259,工行宁夏银川南二环支行,0951-4106142,750001,银川市长城东路258号,SWIFT CODE,宁夏
102871000283,工行宁夏银川太阳街支行,0951-6731036,750002,银川市兴庆区太阳都市花园A1号楼8号营业房,SWIFT CODE,宁夏
102871000322,工行宁夏银川火车站支行,0951-3013624,750011,银川市西夏区怀远东路506号,SWIFT CODE,宁夏
102871000355,工行宁夏银川临湖支行,0951-5025499,750001,银川市进宁北街126号,SWIFT CODE,宁夏
102871000427,工行宁夏银川纬四路支行,0951-2077584,750021,银川市西夏区文化宫长廊3-6号,SWIFT CODE,宁夏
102871000584,工行宁夏银川福星苑支行,0951-5038440,750002,银川市兴庆区海宝小区福星苑98楼-1号营业房,SWIFT CODE,宁夏
102871000592,工行宁夏银川湖畔嘉苑支行,0951-6996505,750011,银川市金风区黄河东路湖畔嘉苑小区7-13.14号,SWIFT CODE,宁夏
102871000701,工行宁夏银川丽景支行,0951-5665069,750002,银川市兴庆区新华街与丽景街交汇处塞上凝聚力1-2号,SWIFT CODE,宁夏
102871000710,工行宁夏银川光华支行,0951-6993285,750002,银川市兴庆区民族南街720号,SWIFT CODE,宁夏
102871000728,工行宁夏银川民生支行,0951-5077755,750001,银川市金凤区新昌东路315号塞上商网11-13号,SWIFT CODE,宁夏
102871000736,工行宁夏银川景墨支行,0951-6986005,750001,银川市兴庆区北塔东路140号楼3-3号,SWIFT CODE,宁夏
102871000752,工行宁夏银川燕鸽湖支行,0951-4072635,750002,宁夏银川市石油城燕鸣园新区8号商业楼一层,SWIFT CODE,宁夏
102871001018,工行宁夏银川新华支行,0951-6022898,750004,银川市新华东街68号,SWIFT CODE,宁夏
102871001042,工行宁夏银川振兴支行,0951-6127169,750001,银川市兴庆区北京东路721号,SWIFT CODE,宁夏
102871001180,工行宁夏银川永安支行,0951-4104653,750001,银川市永安巷区五交化公司家属楼下,SWIFT CODE,宁夏
102871001202,工行宁夏银川胜利支行,0951-4098647,750001,银川市兴庆区工行印刷厂对面楼下,SWIFT CODE,宁夏
102871001294,工行宁夏银川信义支行,0951-6031324,750004,银川市中山北街41号,SWIFT CODE,宁夏
102871001448,工行宁夏银川共享支行,0951-2014369,750021,银川市西夏区共享家园4号楼,SWIFT CODE,宁夏
102871001544,工行宁夏银川西塔支行,0951-6041139,750002,宁夏银川进宁南街111号,SWIFT CODE,宁夏
102871001690,工行宁夏银川富宁支行,0951-5045746,750002,银川市富宁街116号,SWIFT CODE,宁夏
102871001745,工行宁夏银川仁义支行,0951-6025246,750004,银川市兴庆区鼓楼南街仁义巷31号,SWIFT CODE,宁夏
102871001761,工行宁夏银川北塔支行,0951-6087843,750004,银川市兴庆区进宁北街340号,SWIFT CODE,宁夏
102871001770,工行宁夏银川银环支行,0951-4114005,750002,银川市兴庆区民族南街217号,SWIFT CODE,宁夏
102871002117,工行宁夏灵武支行,0951-4021636,751400,灵武市中心广场,SWIFT CODE,宁夏
102871002256,工行宁夏银川同心南路支行,0951-4072635,750002,银川市西夏区嘉宝花园24号楼3号,SWIFT CODE,宁夏
102871002711,工行宁夏灵武宁东支行,0951-6960067,751410,宁夏灵武市灵新煤矿,SWIFT CODE,宁夏
102871005003,工行宁夏银川业务处理中心（不办理对客户业务）,0951--6043980,750002,银川市民族南街9号,SWIFT CODE,宁夏
102871005011,工行宁夏银川城区支行,0951--6011445,750004,银川市解放东街93号,SWIFT CODE,宁夏
102871009990,工行宁夏分行清算中心（不办理对客户业务）,0951--6043980,750002,银川市民族南街9号,SWIFT CODE,宁夏
102872000017,工行宁夏石嘴山支行,0952-2017517,753000,宁夏石嘴山市朝阳街1号,--,宁夏
102872000025,工行宁夏石嘴山贺兰山南路支行,0952-2015012,753000,石嘴山市大武口区贺兰山南路319号,--,宁夏
102872000033,工行宁夏石嘴山青山路支行,0952-2012181,753000,宁夏石嘴山市大武口青山北路439号,--,宁夏
102872000041,工行宁夏石嘴山惠农支行,0952-3317389,753200,宁夏石嘴山市惠农区,--,宁夏
102872000050,中国工商银行宁夏分行石嘴山市河滨分理处,0952-3681238,753200,宁夏嘴山市惠农河滨区,--,宁夏
102872000068,工行宁夏石嘴山惠农石电支行,0952-3673772,753200,宁夏嘴山市惠农区电厂,--,宁夏
102872000076,中国工商银行宁夏分行石嘴山市石炭井办事处,0952-4011779,753300,宁夏石嘴山市石炭井区新华北街36号,--,宁夏
102872000130,中国工商银行宁夏分行石嘴山市汝箕沟分理处,0952-2811197,753404,宁夏石嘴山市汝箕沟煤矿,--,宁夏
102872000148,中国工商银行宁夏分行石嘴山市大峰矿分理处,0952-2820570,753400,宁夏石嘴山市大峰煤矿,--,宁夏
102872000156,工行宁夏石嘴山支行锦林分理处,0952-2830935,753003,宁夏石嘴山市大武口区丽日一区21号楼101铺,--,宁夏
102872005002,工行宁夏石嘴山业务处理中心（不办理对客户业务）,0951-6023398,750004,宁夏银川市民族南街9号,--,宁夏
102872100083,工行宁夏石嘴山平罗支行,0952-6012705,753400,宁夏平罗县北大街19号,--,宁夏
102872100091,中国工商银行宁夏分行平罗县支行火车站分理处,0952-6681546,753401,宁夏平罗县火车站,--,宁夏
102872100106,中国工商银行宁夏分行平罗县支行西大滩分理处,0952-6684114,753402,宁夏平罗县西大滩,--,宁夏
102872300043,中国工商银行宁夏分行惠农区支行,0952-3317389,753200,宁夏石嘴山市惠农区,--,宁夏
102872300051,中国工商银行宁夏分行石嘴山市河滨分理处,0952-3681238,753200,宁夏石嘴山市惠农区河滨区,--,宁夏
102872300060,中国工商银行宁夏分行石嘴山市石电分理处,0952-3673772,753200,宁夏石嘴山市惠农区电厂,--,宁夏
102873100011,工行宁夏吴忠支行,0953-2023070,751100,宁夏吴忠市裕民东街,--,宁夏
102873100020,工行宁夏吴忠中华桥支行,0953-2014649,751100,吴忠市利通区南街转盘向东50米,--,宁夏
102873100247,工行宁夏吴忠裕民支行,0953-2012687,751100,吴忠市利通区裕民街4号,--,宁夏
102873105007,工行宁夏吴忠业务处理中心（不办理对客户业务）,0951--6023398,750004,宁夏银川市民族南街9号,--,宁夏
