bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102361000015,中国工商银行合肥市四牌楼支行,0551-2641004,230001,合肥市长江路154号,SWIFT CODE,安徽
102361000023,中国工商银行合肥市长江东路支行,0551-4694102,230011,合肥市长江东路1015号,SWIFT CODE,安徽
102361000031,中国工商银行合肥市金寨路支行,0551-2653062,230061,合肥市金寨路388号,SWIFT CODE,安徽
102361000040,中国工商银行合肥市淮河路支行,0551-2654368,230001,合肥市淮河路121号,SWIFT CODE,安徽
102361000058,中国工商银行合肥市望江路支行,0551-3635802,230022,合肥市金寨南路921号,SWIFT CODE,安徽
102361000066,中国工商银行合肥市双岗支行,0551-5523159,230041,合肥市濉溪路4号,SWIFT CODE,安徽
102361000074,中国工商银行合肥市和平路支行,0551-4483285,230011,合肥市和平路216号,SWIFT CODE,安徽
102361000082,中国工商银行合肥市庐东支行,0551-4461040,230011,合肥市长江东路553号,SWIFT CODE,安徽
102361000099,中国工商银行合肥市五里墩分理处,0551-5563121,230088,合肥市长江西路367号,SWIFT CODE,安徽
102361000103,中国工商银行合肥市高新技术产业开发区支行,0551-5311959,230088,合肥市长江西路669号,SWIFT CODE,安徽
102361000111,中国工商银行合肥市东陈岗分理处,0551-4660552,230031,合肥市美菱大道181号,SWIFT CODE,安徽
102361000120,中国工商银行合肥市汇通支行,0551-2620172,230001,合肥市美菱大道616号,SWIFT CODE,安徽
102361000138,中国工商银行合肥市宿州路支行,0551-2676596,230001,合肥市宿州路4号,SWIFT CODE,安徽
102361000146,中国工商银行合肥市寿春路支行,0551-2655961,230001,合肥市寿春路211号,SWIFT CODE,安徽
102361000154,中国工商银行合肥市科大分理处,0551-3631375,230022,合肥市金寨路97号,SWIFT CODE,安徽
102361000162,中国工商银行合肥市合钢分理处,0551-4401310,230011,合肥市采石路7号,SWIFT CODE,安徽
102361000179,中国工商银行长丰县支行,0551-6675225,231100,长丰县水湖镇长丰路,SWIFT CODE,安徽
102361000187,中国工商银行肥东县支行,0551-7712600,231600,肥东县店埠镇撮镇路3号,SWIFT CODE,安徽
102361000195,中国工商银行肥西县支行,0551-8841937,231200,肥西县上派镇巢湖路93,SWIFT CODE,安徽
102361000200,中国工商银行合肥市包河支行,0551-2641483,230001,合肥市淮河路302号,SWIFT CODE,安徽
102361000218,中国工商银行合肥市城建支行,0551-2647473,230001,合肥市宿州路宏图大厦12楼,SWIFT CODE,安徽
102361000226,中国工商银行合肥市牡丹支行,0551-2619004,230001,合肥市荣事达大道71号,SWIFT CODE,安徽
102361000234,中国工商银行合肥市银河支行,0551-2880557,230001,合肥市美菱大道381号,SWIFT CODE,安徽
102361000242,中国工商银行合肥明珠支行,0551-3851709,230001,合肥经济开发区始信乡村花园,SWIFT CODE,安徽
102361001294,中国工商银行合肥市胜利路分理处,0551-4224015,230011,合肥市琅琊山路与胜利路口,SWIFT CODE,安徽
102361001874,中国工商银行肥东支行,0551-7712600,231600,肥东县店埠镇撮镇路3号,SWIFT CODE,安徽
102361001954,中国工商银行肥西支行,0551-8841937,231200,肥西县上派镇巢湖路中段,SWIFT CODE,安徽
102361002027,中国工商银行股份有限公司合肥拥军支行,0551-4650867,230001,合肥市屯溪路235号,SWIFT CODE,安徽
102361002035,中国工商银行股份有限公司合肥清溪路支行,0551-5151021,230001,安徽省合肥市清溪路31号,SWIFT CODE,安徽
102361002060,中国工商银行股份有限公司合肥宁国路支行,0551-4670926,230001,合肥市宁国路112号,SWIFT CODE,安徽
102361002078,中国工商银行股份有限公司合肥马鞍山路支行,0551-5144642,230001,合肥市马鞍山路76号能源大厦,SWIFT CODE,安徽
102361002086,中国工商银行股份有限公司合肥海汇支行,0551-4463732,230001,安徽省合肥市明光路6号,SWIFT CODE,安徽
102361002109,中国工商银行股份有限公司合肥全椒路支行,0551-4210956,230001,安徽省合肥新站区全椒路香江国际大厦一楼,SWIFT CODE,安徽
102361002125,中国工商银行股份有限公司合肥三里街支行,0551-4213667,230001,安徽省合肥市长江东路与天长路交叉口,SWIFT CODE,安徽
102361002133,中国工商银行股份有限公司合肥天鹅湖支行,0551-3545606,230001,安徽省合肥市总商会大厦159号,SWIFT CODE,安徽
102361002141,中国工商银行股份有限公司合肥安庆路支行,0551-2651409,230001,安徽省合肥市安庆路165号,SWIFT CODE,安徽
102361002150,中国工商银行股份有限公司合肥绩溪路支行,0551-3639830,230001,安徽省合肥市绩溪路260号,SWIFT CODE,安徽
102361002168,中国工商银行股份有限公司合肥电子学院支行,0551-5561569,230001,安徽省合肥市潜山路342号,SWIFT CODE,安徽
102361002176,中国工商银行股份有限公司合肥黄山路支行,0551-3642911,230001,安徽省合肥市黄山路与宿松路交叉口,SWIFT CODE,安徽
102361002184,中国工商银行股份有限公司合肥稻香楼支行,0551-3644801,231000,合肥市金寨路196号,SWIFT CODE,安徽
102361002192,中国工商银行股份有限公司合肥阜阳北路支行,0551-5654741,230001,合肥市阜阳北路1019号徽商金属大厦一楼,SWIFT CODE,安徽
102361002205,中国工商银行股份有限公司合肥三里庵支行,0551-5126896,230001,安徽省合肥市西园路45号（西园新村入口处）,SWIFT CODE,安徽
102361002221,中国工商银行股份有限公司合肥长江中路支行,0551-2839267,230001,合肥市长江中路419号,SWIFT CODE,安徽
102361002230,中国工商银行股份有限公司合肥安农支行,0551-2827523,230001,安徽省合肥市长江中路89号,SWIFT CODE,安徽
102361002248,中国工商银行股份有限公司合肥屯溪路支行,0551-4421833,230001,安徽省合肥市屯溪路70号商住楼一层,SWIFT CODE,安徽
102361002256,中国工商银行股份有限公司合肥三牌楼支行,0551-2677404,230001,安徽省合肥市庐阳区长江路57号,SWIFT CODE,安徽
102361002264,中国工商银行股份有限公司合肥花园街支行,0551-2657684,230001,安徽省合肥市淮河路276号,SWIFT CODE,安徽
102361002289,中国工商银行股份有限公司合肥九华山路支行,0551-3443906,230001,安徽省合肥市宁国路777号拓佳大厦,SWIFT CODE,安徽
