bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102451000109,中国工商银行股份有限公司济南经二路支行,0531-86131578,250001,济南市市中区纬二路26号,SWIFT CODE,山东
102451000117,中国工商银行股份有限公司济南银河支行,0531-82977245,250002,济南市市中区二七新村南路10号-4号,SWIFT CODE,山东
102451000125,中国工商银行股份有限公司济南经十一路支行,0531-82067389,250002,济南市市中区经十一路51号院2号楼1层,SWIFT CODE,山东
102451000133,中国工商银行股份有限公司济南六里山支行,0531-2977532,250002,济南市六里山南路28号,SWIFT CODE,山东
102451000141,中国工商银行股份有限公司济南普利支行,0531-86131579,250001,济南市市中区普利街43号,SWIFT CODE,山东
102451000150,中国工商银行股份有限公司济南文东支行,0531-86963129,250013,济南市历下区山大路201号天业科技商务大厦110、111室,SWIFT CODE,山东
102451000168,中国工商银行股份有限公司济南市中支行,0531-82062001,250002,济南市市中区经十路21586号,SWIFT CODE,山东
102451000176,中国工商银行股份有限公司济南纬二路支行,0531-86919551,250001,济南市市中区经七路223号,SWIFT CODE,山东
102451000192,中国工商银行山东省分行营业部营业厅,0531-7925688-60148,250001,济南市经四路310号,SWIFT CODE,山东
102451000221,中国工商银行股份有限公司济南市中支行十六里河分理处,0531-82773334,250002,济南市市中区十六里河万寿路1号,SWIFT CODE,山东
102451000230,中国工商银行股份有限公司济南经五路纬六路分理处,0531-87935061,250021,济南市槐荫区纬六路58号,SWIFT CODE,山东
102451000248,中国工商银行股份有限公司济南天桥支行师范路分理处,0531-85903740,250031,济南市天桥区师范路40号,SWIFT CODE,山东
102451000264,中国工商银行股份有限公司济南天桥支行无影潭分理处,0531-85903739,250031,济南市天桥区重汽翡翠郡南区五栋4-101室,SWIFT CODE,山东
102451000301,中国工商银行股份有限公司济南历下支行,0531-86111813,250011,济南市历下区泉城路320号,SWIFT CODE,山东
102451000310,中国工商银行股份有限公司济南山大路支行,0531-88199175,250013,济南市历下区解放路62号铁院大厦西侧1至3层,SWIFT CODE,山东
102451000328,中国工商银行股份有限公司济南明湖支行,0531-8962911,250100,济南市工业北路313号,SWIFT CODE,山东
102451000336,中国工商银行股份有限公司济南历山支行,0531-6996399,250014,济南市历山路114号,SWIFT CODE,山东
102451000344,中国工商银行股份有限公司济南东郊支行,0531-8987810,250101,济南市工业北路26号,SWIFT CODE,山东
102451000416,中国工商银行章丘市支行,0531-3216041,250200,济南市明水白云路115号,SWIFT CODE,山东
