bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102161000017,中国工商银行股份有限公司山西省分行,0351-6248226,30001,太原市迎泽大街145号,SWIFT CODE,山西
102161000105,中国工商银行股份有限公司山西省分行营业部,0351-6246211,30002,太原市新建路246号,SWIFT CODE,山西
102161000113,中国工商银行股份有限公司太原迎泽支行,0351-4122485,30001,太原市迎泽大街328号,SWIFT CODE,山西
102161000121,中国工商银行股份有限公司太原五一路支行,0351-4046452,30001,太原市五一路61号,SWIFT CODE,山西
102161000130,中国工商银行股份有限公司太原大南门支行,0351-4156339,30001,太原市解放南路16号,SWIFT CODE,山西
102161000148,中国工商银行股份有限公司太原建设路支行,0351-3285982,30013,太原市建设北路168号,SWIFT CODE,山西
102161000156,中国工商银行股份有限公司太原广场支行,0351-2024125,30001,太原市迎泽大街88号,SWIFT CODE,山西
102161000164,中国工商银行股份有限公司太原解放路支行,0351-3084624,30009,太原市解放路487号,SWIFT CODE,山西
102161000172,中国工商银行股份有限公司太原太钢支行,0351-3132565,30003,太原市解放北路430号,SWIFT CODE,山西
102161000189,中国工商银行股份有限公司太原万柏林支行,0351-6066293,30024,太原市和平南路46号,SWIFT CODE,山西
102161000197,中国工商银行股份有限公司太原晋源支行,0351-6073672,30021,太原市义井东街83号,SWIFT CODE,山西
102161000201,中国工商银行股份有限公司太原西山支行,0351-6126095,30053,太原市西矿街213号,SWIFT CODE,山西
102161000210,中国工商银行股份有限公司太原大营盘支行,0351-7074919,30012,太原市南内环街188号,SWIFT CODE,山西
102161000228,中国工商银行股份有限公司太原三营盘支行,0351-7581627,30006,太原市小店区亲贤北大街38-2号,SWIFT CODE,山西
102161000236,中国工商银行股份有限公司太原迎宾路支行,0351-7826771,30031,太原市晋阳街8号,SWIFT CODE,山西
102161000244,中国工商银行股份有限公司太原迎新街支行,0351-3059091,30008,太原市迎新街南巷8号,SWIFT CODE,山西
102161000252,中国工商银行股份有限公司太原小店支行,0351-7264423,30032,太原市人民南路14号,SWIFT CODE,山西
102161000269,中国工商银行太原市晋祠分理处,0351-6020492,30025,太原市晋祠镇中堡街15号,SWIFT CODE,山西
102161000277,中国工商银行股份有限公司太原尖草坪支行,0351-5648535,30023,太原市尖草坪区柴村多福路23号,SWIFT CODE,山西
102161000285,中国工商银行股份有限公司清徐支行,0351-5724570,30400,山西省清徐县紫林路39号,SWIFT CODE,山西
102161000293,中国工商银行股份有限公司古交支行,0351-5142450,30200,山西省古交市青年路23号,SWIFT CODE,山西
102161000308,中国工商银行股份有限公司太原府西街支行,0351-6846235,30002,太原市新建路86号,SWIFT CODE,山西
102161000316,中国工商银行股份有限公司太原牡丹支行,0351-4174624,30001,太原市五一路61号,SWIFT CODE,山西
102161000324,中国工商银行股份有限公司太原漪汾街支行,0351-6279669,30027,太原市漪汾街111号,SWIFT CODE,山西
102161000332,中国工商银行股份有限公司太原高新技术开发区支行,0351-7022849,30006,太原市学府园区V--3区,SWIFT CODE,山西
102161000349,中国工商银行股份有限公司太原国贸支行,0351-8689128,30002,太原市府西街69号国贸大厦西塔2层,SWIFT CODE,山西
102161000357,中国工商银行股份有限公司太原下元支行,0351-6111198,30024,太原市西矿街57号,SWIFT CODE,山西
102161000365,中国工商银行股份有限公司太原胜利桥支行,0351-6290720,30027,太原市兴华街3号,SWIFT CODE,山西
102161000373,中国工商银行股份有限公司太原城建支行,0351-3238569,30009,太原市坝陵南街17号,SWIFT CODE,山西
102161000381,中国工商银行股份有限公司太原平阳路支行,0351-7526576,30012,太原市平阳路136号,SWIFT CODE,山西
102161000390,中国工商银行股份有限公司太原兴华街支行,0351-6650063,30027,太原市兴华街49号,SWIFT CODE,山西
102161000404,中国工商银行股份有限公司太原湖滨支行,0351-6249167,30001,太原市迎泽大街145号,SWIFT CODE,山西
102161000412,中国工商银行股份有限公司太原并州支行,0351-3191728,30009,太原市东缉虎营小区5号楼,SWIFT CODE,山西
102161000429,中国工商银行股份有限公司太原府东街支行,0351-3370982,30001,太原市府东街81号,SWIFT CODE,山西
102161000496,中国工商银行股份有限公司太原并州南路支行,0351-7072510,30006,太原市小店区并州南路489号,SWIFT CODE,山西
