bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102581000013,中国工商银行广州市第一支行,020-83337155,510117,广州市沿江中路193号,SWIFT CODE,广东
102581000021,中国工商银行广州市第二支行,020-83373857,510120,广州市沿江西路145号,SWIFT CODE,广东
102581000030,中国工商银行广州市第三支行,020-87777217,510080,广州市东风东路754号之一,SWIFT CODE,广东
102581000048,中国工商银行广州花城支行,020-85500020,510623,广州市珠江新城华夏路8号合景国际金融广场第1幢102号房,SWIFT CODE,广东
102581000056,中国工商银行股份有限公司广州天平架支行,020-37388871,510515,天河区富和路2-58号101、102、103、104、201,SWIFT CODE,广东
102581000064,中国工商银行广州市庙前直街支行,020-87778692,510080,广州市庙前直街15号,SWIFT CODE,广东
102581000072,中国工商银行广州市白云路支行,020-83838139,510100,广州市白云路109号,SWIFT CODE,广东
102581000089,中国工商银行广州市北京路支行,020-83347297,510030,广州市北京路332号,SWIFT CODE,广东
102581000097,中国工商银行广州市大德路支行,020-81882485,510120,广州市大德路280号,SWIFT CODE,广东
102581000101,中国工商银行广州市德政中路支行,020-83844751,510030,广州市德政中路316-318号,SWIFT CODE,广东
102581000110,中国工商银行广州市流花支行,020-86678798,510010,广州市站前路237号,SWIFT CODE,广东
102581000128,中国工商银行广州市工业大道支行,020-84364432,510250,广州市工业大道北31号,SWIFT CODE,广东
102581000136,中国工商银行广州市同福中路支行,020-34347215,510220,广州市同福中路470号,SWIFT CODE,广东
102581000144,中国工商银行广州市十三行路支行,020-81874250,510130,广州市十三行路64号,SWIFT CODE,广东
102581000152,中国工商银行股份有限公司广州荔湾支行,020-81198688-2068,510160,广州市南岸路63号首层（小商场）、三层、四层,SWIFT CODE,广东
102581000169,中国工商银行广州市西华路支行,020-81099187,510170,广州市西华路531号楼,SWIFT CODE,广东
102581000177,中国工商银行广州市经济技术开发区支行,020-82215474,510730,广州市经济技术开发区志诚大道商业一号楼附楼,SWIFT CODE,广东
102581000185,中国工商银行广州市黄埔支行,020-82279717,510700,广州市黄埔区大沙地东路41号,SWIFT CODE,广东
102581000193,中国工商银行股份有限公司广州广州大道支行,020-84291188,510300,广州市广州大道南701号,SWIFT CODE,广东
102581000208,中国工商银行广州市天河支行,020-85515714,510630,广州市天河东路102号,SWIFT CODE,广东
102581000216,中国工商银行广州高新技术开发区支行,020-87534177,510630,广州市中山大道西41号,SWIFT CODE,广东
102581000224,中国工商银行广州市环城支行,020-86012926,510400,广州市三元里大道23号,SWIFT CODE,广东
102581000232,中国工商银行广州市芳村支行,020-81582976,510370,广州市芳村花地大道北256号,SWIFT CODE,广东
102581000249,中国工商银行广州市粤秀支行,020-38465416,510630,广州市天河区天河北路550－560号帝景苑AB栋首层及二层,SWIFT CODE,广东
102581000257,中国工商银行股份有限公司广州东城支行,020-87048617,510075,广州市水荫路115号天溢大厦,SWIFT CODE,广东
