bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102611009990,中国工商银行股份有限公司广西壮族自治区分行（不对外办理业务）,0771-5390694,530022,广西南宁市教育路15-1号,SWIFT CODE,广西
102611010109,中国工商银行南宁市共和支行,0771-2623178,530012,广西南宁市共和路170号,SWIFT CODE,广西
102611010117,中国工商银行股份有限公司南宁市公园支行,0771-2813041,530012,广西南宁市新民路67-16、17号广西区交通厅临街宿舍一楼左,SWIFT CODE,广西
102611010141,中国工商银行股份有限公司南宁市新民中支行,0771-2627296,530015,南宁市新民路53号,SWIFT CODE,广西
102611010205,中国工商银行南宁市兴宁支行,0771-2822255,530012,广西南宁市民生路129号,SWIFT CODE,广西
102611010301,中国工商银行南宁市新城支行,0771-2804442,530012,广西南宁市中山路外滩新城64-8号,SWIFT CODE,广西
102611010310,中国工商银行股份有限公司南宁市星湖支行,0771-5322260,530022,广西南宁市星湖路37号,SWIFT CODE,广西
102611010408,中国工商银行南宁市永新支行,0771-3153472,530011,广西南宁市新阳路75号,SWIFT CODE,广西
102611010504,中国工商银行南宁市明秀支行,0771-3132867,530001,广西南宁市友爱南路45号,SWIFT CODE,广西
102611010512,中国工商银行南宁市城北支行,0771-3132310,530001,广西南宁市明秀西路51号,SWIFT CODE,广西
102611010607,中国工商银行南宁市江南支行,0771-4835287,530031,广西南宁市江南路27号,SWIFT CODE,广西
102611010703,中国工商银行南宁市民主支行,0771-2618907,530023,广西南宁民主路14号,SWIFT CODE,广西
102611010711,中国工商银行股份有限公司南宁市建政支行,0771-5623350,530023,广西南宁市建政路20-13号,SWIFT CODE,广西
102611010720,中国工商银行股份有限公司南宁市民主第二支行,0771-5697530,530023,南宁市园湖北路41-6号,SWIFT CODE,广西
102611010800,中国工商银行南宁市桃源支行,0771-2814008,530021,广西南宁市桃源路41号,SWIFT CODE,广西
102611010859,中国工商银行股份有限公司南宁市开投支行,0771-5538655,530028,南宁市民族大道109号,SWIFT CODE,广西
102611010906,中国工商银行南宁市民族支行,0771-5851723,530022,广西南宁市民族大道38-2号,SWIFT CODE,广西
102611010914,中国工商银行南宁市城建支行,0771-5700609,530022,广西南宁市东葛路延长线76号,SWIFT CODE,广西
102611011005,中国工商银行南宁市南湖支行,0771-5390330,530022,广西南宁市教育路15-1号,SWIFT CODE,广西
102611011013,中国工商银行股份有限公司南宁市大沙田支行,0771-4500063,530219,广西邕宁县大沙田开发区金沙大道15号,SWIFT CODE,广西
102611011101,中国工商银行南宁市高新技术产业开发区支行,0771-3837893,530004,广西南宁市火炬路3号,SWIFT CODE,广西
102611011136,中国工商银行股份有限公司南宁市西乡塘支行,0771-3262426,530007,南宁市大学东路186号,SWIFT CODE,广西
102611011169,中国工商银行股份有限公司南宁市科园分理处,0771-3210550,530003,南宁市科园大道31号财智时代大厦一楼,SWIFT CODE,广西
102611011208,中国工商银行南宁市琅东支行,0771-5525057,530028,广西南宁市金湖路40号,SWIFT CODE,广西
102611011304,中国工商银行南宁市朝阳支行,0771-2417741,530011,广西南宁市中华路71号,SWIFT CODE,广西
102611011312,中国工商银行南宁市衡阳支行,0771-3859401,530001,广西南宁市衡阳西路21号,SWIFT CODE,广西
102611011329,中国工商银行股份有限公司南宁市商厦支行,0771-2420165,530012,南宁市朝阳路76号,SWIFT CODE,广西
102611011361,中国工商银行股份有限公司南宁市南棉支行,0771-2160221,530007,南宁市北湖南路28号,SWIFT CODE,广西
102611011503,中国工商银行凭祥市支行,0771-8520695,532600,广西凭祥市新华路5路,SWIFT CODE,广西
102611011600,中国工商银行邕宁县支行,0771-4712129,530200,广西邕宁县新兴路,SWIFT CODE,广西
102611011706,中国工商银行武鸣支行,0771-6222746,530100,广西武鸣县永宁路72号,SWIFT CODE,广西
102611011802,中国工商银行天等支行,0771-3521418,532800,广西天等县天等镇朝阳街26号,SWIFT CODE,广西
102611011909,中国工商银行横县支行,0771-7222107,530300,广西横县横州镇环城西路148号,SWIFT CODE,广西
102611012008,中国工商银行大新支行,0771-3622974,532300,广西大新县桃城镇民生街220号,SWIFT CODE,广西
102611012104,中国工商银行宾阳支行,0771-8235435,530400,广西宾阳县宾州镇商贸大道,SWIFT CODE,广西
102611012207,中国工商银行扶绥支行,0771-7530152,532100,广西扶绥县新宁镇新宁街7号,SWIFT CODE,广西
102611012303,中国工商银行崇左支行,0771-7820442,532200,广西崇左县太平镇江南路84号,SWIFT CODE,广西
102611012400,中国工商银行股份有限公司黎塘支行,0771-8211162,530409,广西宾阳县黎塘镇建设路1号,SWIFT CODE,广西
102611012506,中国工商银行龙州支行,0771-8812620,532400,广西龙州县龙江镇龙江街60号,SWIFT CODE,广西
102611012602,中国工商银行宁明支行,0771-8620247,532500,广西宁明县城中镇兴远街71号,SWIFT CODE,广西
102611015009,中国工商银行股份有限公司广西壮族自治区分行营业部,0771-5881007,530022,广西南宁市民族大道38-2号,SWIFT CODE,广西
102611017463,中国工商银行股份有限公司南宁市滨湖中支行,0771-5538911,530028,广西南宁市滨湖路中段南宁市老干部活动中心大门左侧,SWIFT CODE,广西
