bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102881000019,中国工商银行股份有限公司新疆区分行业务处理中心不对外办理业务,0991-5983073,830002,新疆乌鲁木齐市和平南路44号,SWIFT CODE,新疆
102881001005,中国工商银行新疆区分行营业部核算中心,0991-2840492,830002,乌鲁木齐市和平南路204号,SWIFT CODE,新疆
102881001013,中国工商银行股份有限公司乌鲁木齐明德路支行,0991-2827895,830002,乌鲁木齐市明德路1号,SWIFT CODE,新疆
102881001021,中国工商银行股份有限公司乌鲁木齐中山路支行,0991-2821675,830002,乌鲁木齐市中山路331号,SWIFT CODE,新疆
102881001030,中国工商银行股份有限公司乌鲁木齐经济技术开发区支行,0991-3715631,830026,乌鲁木齐市经济技术开发区中亚大道161号,SWIFT CODE,新疆
102881001064,中国工商银行股份有限公司乌鲁木齐阳光清城支行,0991-5610053,830006,乌鲁木齐市仓房沟路605号,SWIFT CODE,新疆
102881001072,中国工商银行新疆区分行营业部银行卡业务部,0991-2653126,830002,乌鲁木齐市新民路2号,SWIFT CODE,新疆
102881001128,中国工商银行股份有限公司乌鲁木齐二道桥支行,0991-2880046,830001,乌鲁木齐市解放南路509号,SWIFT CODE,新疆
102881001136,中国工商银行股份有限公司乌鲁木齐民主路支行,0991-2813182,830002,乌鲁木齐市民主路272号,SWIFT CODE,新疆
102881001144,中国工商银行股份有限公司乌鲁木齐新华北路支行,0991-2825504,830001,乌鲁木齐市新华北路88号,SWIFT CODE,新疆
102881001152,中国工商银行股份有限公司乌鲁木齐胜利路支行,0991-2864472,830001,乌鲁木齐市胜利路305号,SWIFT CODE,新疆
102881001169,中国工商银行股份有限公司乌鲁木齐建国路支行,0991-2695036,830002,乌鲁木齐市建国路64号,SWIFT CODE,新疆
102881001177,中国工商银行股份有限公司乌鲁木齐乌拉泊支行,0991-5910458,830038,新疆化肥厂,SWIFT CODE,新疆
102881001185,中国工商银行股份有限公司乌鲁木齐青年路支行,0991-2617364,830002,乌鲁木齐市青年西路20号,SWIFT CODE,新疆
102881001193,中国工商银行股份有限公司乌鲁木齐新华南路支行,0991-2876469,830001,乌鲁木齐市新华南路1137号,SWIFT CODE,新疆
102881001208,中国工商银行股份有限公司乌鲁木齐大西门支行,0991-2828703,830001,乌鲁木齐市新华南路58号,SWIFT CODE,新疆
102881001216,中国工商银行股份有限公司乌鲁木齐延安路口支行,0991-2555483,830001,乌鲁木齐市胜利路160号附2号,SWIFT CODE,新疆
102881001224,中国工商银行股份有限公司乌鲁木齐光明路支行,0991-８８６７５４８,830002,乌鲁木齐市光明路22号,SWIFT CODE,新疆
102881001232,中国工商银行股份有限公司乌鲁木齐幸福路支行,0991-2637989,830001,乌鲁木齐市幸福路６号,SWIFT CODE,新疆
102881001249,中国工商银行股份有限公司乌鲁木齐中山西路支行,0991-2833047,830002,乌鲁木齐市中山西路175号,SWIFT CODE,新疆
102881001265,中国工商银行股份有限公司乌鲁木齐二道桥支行大湾北路分理处,0991-5162750,830001,新疆乌鲁木齐市大湾北路876号,SWIFT CODE,新疆
102881001273,中国工商银行股份有限公司乌鲁木齐新民西街支行,0991-4669651,830092,乌鲁木齐市新民西街58号,SWIFT CODE,新疆
102881001281,中国工商银行股份有限公司乌鲁木齐南湖广场支行南湖北路分理处,0991-4681025,830063,新疆乌鲁木齐市水磨沟区南湖北路387号,SWIFT CODE,新疆
102881001312,中国工商银行股份有限公司乌鲁木齐西大桥支行,0991-4512408,830000,乌鲁木齐市友好南路760号,SWIFT CODE,新疆
102881001329,中国工商银行股份有限公司乌鲁木齐黄河路支行,0991-5812296,830000,乌鲁木齐市黄河路68号,SWIFT CODE,新疆
102881001337,中国工商银行股份有限公司乌鲁木齐友好路支行,0991-4818442,830000,乌鲁木齐市克拉玛依东街328号,SWIFT CODE,新疆
102881001345,中国工商银行股份有限公司乌鲁木齐钱塘江路支行,0991-5816784,830000,乌鲁木齐市钱塘江路303号,SWIFT CODE,新疆
102881001353,中国工商银行股份有限公司乌鲁木齐阿勒泰路支行,0991-3837806,830011,乌鲁木齐市阿勒泰路36号,SWIFT CODE,新疆
102881001361,中国工商银行股份有限公司乌鲁木齐仓房沟支行,0991-5629742,830006,乌鲁木齐市仓房沟53号,SWIFT CODE,新疆
102881001370,中国工商银行股份有限公司乌鲁木齐友好南路支行,0991-4515715,830000,乌鲁木齐市友好南路175号,SWIFT CODE,新疆
102881001388,中国工商银行股份有限公司乌鲁木齐奇台路支行,0991-5875803,830000,乌鲁木齐市奇台路577号,SWIFT CODE,新疆
102881001396,中国工商银行股份有限公司乌鲁木齐南昌路支行,0991-4513297,830091,乌鲁木齐市南昌路3号,SWIFT CODE,新疆
102881001407,中国工商银行股份有限公司乌鲁木齐火车南站支行,0991-5817113,830006,乌鲁木齐市火车站广场东侧,SWIFT CODE,新疆
102881001415,中国工商银行股份有限公司乌鲁木齐昆仑路支行,0991-4311420,830054,乌鲁木齐市新医路351号,SWIFT CODE,新疆
102881001423,中国工商银行股份有限公司乌鲁木齐克拉玛依西路支行,0991-4538076,830092,乌鲁木齐市克拉玛依西路20号附6号,SWIFT CODE,新疆
102881001431,中国工商银行股份有限公司乌鲁木齐长江路支行,0991-5883953,830000,乌鲁木齐市长江路383号,SWIFT CODE,新疆
