bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102301000010,中国工商银行江苏省分行（不对外办理业务）,025-52858123/5285839,210006,南京市中山南路408号,SWIFT CODE,江苏
102301000028,中国工商银行南京市城北支行,025-3313437,210009,南京市鼓楼区中山北路143号,SWIFT CODE,江苏
102301000036,中国工商银行南京市下关支行,025-8803305,210015,南京市下关区建宁路142-1号,SWIFT CODE,江苏
102301000044,中国工商银行南京市城南支行,025-6623121,210001,南京市白下区健康路145号,SWIFT CODE,江苏
102301000052,中国工商银行南京市城东支行,025-3426541,210037,南京市鼓楼区中央路308号,SWIFT CODE,江苏
102301000069,中国工商银行南京市雨花支行,025-6624684,210006,南京市秦淮区中华路475号,SWIFT CODE,江苏
102301000077,中国工商银行南京市玄武支行,025-4716159,210018,南京市玄武区洪武北路139号,SWIFT CODE,江苏
102301000085,中国工商银行南京市钟山支行,025-4728314,210005,南京市白下区洪武路50号,SWIFT CODE,江苏
102301000093,中国工商银行南京市浦口支行,025-8851027,210032,南京市浦口区泰西路5号,SWIFT CODE,江苏
102301000108,中国工商银行南京市大厂支行,025-7792547,210048,南京市六合区葛关路278号,SWIFT CODE,江苏
102301000116,中国工商银行江苏省分行营业部,025-4711984,210004,南京市建邺区中山南路408号,SWIFT CODE,江苏
102301000124,中国工商银行南京市高新技术开发区支行,025-8840017,210061,南京市浦口区高新技术开发区纬二路1号公寓楼,SWIFT CODE,江苏
102301000132,中国工商银行南京军管支行,025-4800595,210016,南京市玄武区明故宫6号,SWIFT CODE,江苏
102301000149,中国工商银行南京汉中门支行,025-86610966,210029,南京市建邺区汉中门外大街27号,SWIFT CODE,江苏
102301000157,中国工商银行南京大方巷支行,025-86633347,210008,南京市鼓楼区云南路11号,SWIFT CODE,江苏
102301000165,中国工商银行南京汉口路支行,025-86632006,210008,南京市丹凤街19号,SWIFT CODE,江苏
102301000173,中国工商银行南京白下支行,025-4547195,210001,南京市白下区白下路9号,SWIFT CODE,江苏
102301000181,中国工商银行南京市太平路分理处,025-4410600,210002,南京市白下区太平南路186号,SWIFT CODE,江苏
102301000190,中国工商银行南京成贤街支行,025-3608316,210018,南京市玄武区珠江路330号,SWIFT CODE,江苏
102301000204,中国工商银行南京热河路支行,025-8806669,210011,南京市下关区热河路199号,SWIFT CODE,江苏
102301000212,中国工商银行南京石鼓路分理处,025-84721724,210005,南京市石鼓路50号,SWIFT CODE,江苏
102301000229,中国工商银行南京盐仓桥支行,025-3429514,210003,南京市鼓楼区中山北路311号,SWIFT CODE,江苏
102301000237,中国工商银行南京中山桥支行,025-8802735,210011,南京市鼓楼区中山北路507号,SWIFT CODE,江苏
102301000245,中国工商银行南京市雨花路分理处,025-2419652,210006,南京市秦淮区雨花路131号,SWIFT CODE,江苏
102301000253,中国工商银行南京孝陵卫支行,025-84432596,210014,南京市玄武区孝陵卫街178号,SWIFT CODE,江苏
102301000261,中国工商银行南京市新街口支行,025-4704098,210005,南京市白下区汉中路95号,SWIFT CODE,江苏
102301000270,中国工商银行南京金陵石化大厦支行,025-85422791,210037,南京市金陵石化大厦一楼,SWIFT CODE,江苏
102301000288,中国工商银行南京湖南路支行,025-83221529,210009,南京市鼓楼区湖南路111号,SWIFT CODE,江苏
102301000296,中国工商银行南京察哈尔路支行,025-3419916,210003,南京市鼓楼区中山北路248号,SWIFT CODE,江苏
102301000307,中国工商银行南京宁海路支行,025-3710465,210024,南京市鼓楼区宁海路122-1号,SWIFT CODE,江苏
102301000315,中国工商银行南京雨花西路支行,025-2411215,210012,南京市秦淮区雨花西路108号,SWIFT CODE,江苏
102301000323,中国工商银行南京光华门支行,025-84491474,210007,南京市白下区御道街126号,SWIFT CODE,江苏
102301000331,中国工商银行南京市鼓楼支行,025-4711519,210005,南京市鼓楼区中山路129号,SWIFT CODE,江苏
102301000340,中国工商银行南京梅山支行,025-6702110,210039,南京市栖霞区梅山一号路,SWIFT CODE,江苏
102301000358,中国工商银行南京栖霞支行,025-5567404,210033,南京市栖霞区栖霞街5号,SWIFT CODE,江苏
102301000366,中国工商银行南京尧化门支行,025-5567603,210046,南京市栖霞区尧化门街151号,SWIFT CODE,江苏
102301000374,中国工商银行南京迈皋桥支行,025-5614128,210008,南京市栖霞区和燕路275号,SWIFT CODE,江苏
102301000382,中国工商银行南京市吉兆营分理处,025-3608980,210008,南京市玄武区唱经楼西街1号,SWIFT CODE,江苏
102301000399,中国工商银行溧水县支行,025-7218388,211200,南京市溧水县珍珠南路15号,SWIFT CODE,江苏
102301000403,中国工商银行股份有限公司南京燕江路支行,025-58796798,210015,南京市下关区金陵新六村4号,SWIFT CODE,江苏
102301000411,中国工商银行南京市秦淮分理处,025-6626792,210001,南京市秦淮区？州路23号,SWIFT CODE,江苏
102301000420,中国工商银行高淳县支行,025-7311208,211300,南京市高淳县通贤路27号,SWIFT CODE,江苏
102301000438,中国工商银行南京板仓支行,025-5410613,210042,南京市栖霞区锁金二村5号,SWIFT CODE,江苏
102301000446,中国工商银行南京燕子矶支行,025-5311928,210038,南京市下关区和燕路509号,SWIFT CODE,江苏
102301000454,中国工商银行南京市浦阳分理处,025-8852476,210031,南京市浦口区阳沟街27号,SWIFT CODE,江苏
102301000462,中国工商银行南京市南门分理处,025-8604572,210032,南京市浦口区南门龙虎巷10号,SWIFT CODE,江苏
102301000479,中国工商银行南京市升州路分理处,025-6623785,210004,南京市秦淮区升州路363号,SWIFT CODE,江苏
102301000487,中国工商银行南京南湖支行,025-86423184,210017,南京市南湖东路9号,SWIFT CODE,江苏
102301000495,中国工商银行南京小营支行,025-83683439,210018,南京市珠江路609号,SWIFT CODE,江苏
102301000500,中国工商银行南京市东方城分理处,025-4429455,210042,南京市栖霞区东方城68号,SWIFT CODE,江苏
102301000518,中国工商银行南京市西厂门分理处,025-7791232,210035,南京市大厂区凤凰南路396号,SWIFT CODE,江苏
102301000526,中国工商银行南京市江宁支行,025-52281370,211100,南京市江宁区东山镇大街东路4号,SWIFT CODE,江苏
102301000534,中国工商银行南京江浦支行,025-58881004,211800,江苏省浦口区珠江镇文德路36号,SWIFT CODE,江苏
102301000542,中国工商银行南京六合支行,025-7759678,211500,江苏省六合区延安路18号,SWIFT CODE,江苏
102301000559,中国工商银行南京市城西支行,025-6216190,210029,南京市建邺区江东北路191号,SWIFT CODE,江苏
102301000567,中国工商银行南京市汉府支行,025-4402490,210002,南京市白下区中山东路404号,SWIFT CODE,江苏
102301000575,中国工商银行南京市山西路分理处,025-3308383,210009,南京市鼓楼区中山北路101号,SWIFT CODE,江苏
102301000583,中国工商银行股份有限公司南京长江路支行,025-84730596,210005,南京市玄武区长江路272号,SWIFT CODE,江苏
102301000591,中国工商银行南京市中山北路分理处,025-3323035,210008,南京市鼓楼区中山北路45号,SWIFT CODE,江苏
102301000606,中国工商银行南京市夫子庙分理处,025-6627496,210001,南京市秦淮区贡院西街89号,SWIFT CODE,江苏
102301000614,中国工商银行南京市御道街分理处,025-4596062,210016,南京市白下区瑞金路25号,SWIFT CODE,江苏
102301000622,中国工商银行南京草场门支行,025-83727797,210013,南京市鼓楼区虎踞北路12号,SWIFT CODE,江苏
102301000639,中国工商银行南京虹桥支行,025-83461338,210013,南京市鼓楼区模范马路88号,SWIFT CODE,江苏
102301000647,中国工商银行股份有限公司南京江东北路支行,025-86281394,210036,南京市建邺区江东北路303号,SWIFT CODE,江苏
102301000655,中国工商银行股份有限公司南京城河村支行,025-85617113,210037,南京市下关区建宁路18号,SWIFT CODE,江苏
102301000663,中国工商银行南京市洪武路分理处,025-4517394,210005,南京市白下区淮海路78号,SWIFT CODE,江苏
102301000671,中国工商银行南京市海福巷分理处,025-4870134,210007,南京市白下区海福巷1号,SWIFT CODE,江苏
102301000680,中国工商银行南京市新港支行,025-5569334,210038,南京市栖霞区新港开发区,SWIFT CODE,江苏
102301000698,中国工商银行股份有限公司南京解放路支行,025-84610116,210002,南京市白下区解放路20号,SWIFT CODE,江苏
102301000702,中国工商银行股份有限公司南京龙潭支行,025-85700554,210034,南京市栖霞区龙潭进士坊88号,SWIFT CODE,江苏
102301000719,中国工商银行南京市车站分理处,025-5413553,210037,南京市栖霞区韶山路276号,SWIFT CODE,江苏
102301000727,中国工商银行南京市炼油厂分理处,025-5763305,210033,南京市栖霞区南练7号路16号,SWIFT CODE,江苏
102301000735,中国工商银行南京市国际商城分理处,025-3229457,210009,南京市下关区中央路209号,SWIFT CODE,江苏
102301000743,中国工商银行南京市高楼门分理处,025-3360968,210008,南京市玄武区高楼门60号,SWIFT CODE,江苏
102301000751,中国工商银行股份有限公司南京新安江街分理处,025-86431102,210012,南京市黄山路99号,SWIFT CODE,江苏
102301000760,中国工商银行南京西善桥支行,025-2423251,210041,南京市秦淮区西善桥30号,SWIFT CODE,江苏
102301000778,中国工商银行南京市江东门分理处,025-6524061,210017,南京市建邺区水西门大街223号,SWIFT CODE,江苏
102301000786,中国工商银行南京和平支行,025-85422791,210037,南京市北京东路22号,SWIFT CODE,江苏
102301000794,中国工商银行南京市山畔分理处,025-7020624,210048,南京市大厂区新华路311号,SWIFT CODE,江苏
102301000809,中国工商银行南京后宰门支行,025-4803445,210016,南京市玄武区北安门街1号,SWIFT CODE,江苏
102301000817,中国工商银行南京市莫愁湖分理处,025-6618504,210017,南京市建邺区水西门外大街105号,SWIFT CODE,江苏
102301000825,中国工商银行南京市秦虹分理处,025-2615213,210001,南京市秦淮区秦虹路21-23号,SWIFT CODE,江苏
102301000833,中国工商银行南京龙园西路支行,025-86217963,210036,南京市龙园西路9号09幢1单元101室,SWIFT CODE,江苏
102301000841,中国工商银行南京市广州路分理处,025-3732767,210029,南京市鼓楼区广州路223号,SWIFT CODE,江苏
102301000850,中国工商银行南京北京东路分理处,025-84808136,210016,南京市玄武区北京东路42号,SWIFT CODE,江苏
