bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102421000018,中国工商银行江西省分行清算中心（不对外）,0791-6695207,330008,江西省南昌市沿江北路1号,SWIFT CODE,江西
102421000026,中国工商银行江西省分行营业部会计核算中心,0791-6636144,330008,江西省南昌市铁街25号,SWIFT CODE,江西
102421000034,中国工商银行南昌市沿江支行,0791-6695050,330008,江西省南昌市沿江北路2号,SWIFT CODE,江西
102421000042,中国工商银行南昌市赣江支行,0791-6228408,330003,江西省南昌市八一大道197号,SWIFT CODE,江西
102421000059,中国工商银行南昌市中山路支行,0791-6385042,330003,江西省南昌市中山路206号,SWIFT CODE,江西
102421000067,中国工商银行南昌市都司前支行,0791-6615142,330009,江西省南昌市都司前5号,SWIFT CODE,江西
102421000075,中国工商银行南昌市阳明路支行,0791-6813484,330006,江西省南昌市阳明路188号,SWIFT CODE,江西
102421000083,中国工商银行南昌市站前路支行,0791-6104924,330002,江西省南昌市站前路44号,SWIFT CODE,江西
102421000091,中国工商银行南昌市北京西路支行,0791-6391052,330046,江西省南昌市北京西路162号,SWIFT CODE,江西
102421000106,中国工商银行南昌市八一广场分理处,0791-6236458,330046,江西省南昌市孺子路1号,SWIFT CODE,江西
102421000114,中国工商银行南昌市省政府大院分理处,0791-6623646,330046,江西省南昌市省府大院北二路98号,SWIFT CODE,江西
102421000122,中国工商银行南昌市胜利路支行,0791-6783486,330008,江西省南昌市胜利路185号,SWIFT CODE,江西
102421000139,中国工商银行南昌市洪都大道支行,0791-8441750,330001,江西省南昌市洪都大道107号,SWIFT CODE,江西
102421000147,中国工商银行股份有限公司南昌洪航支行,0791-8441730,330024,南昌市新溪桥东一路4号,SWIFT CODE,江西
102421000155,中国工商银行南昌市青山湖支行,0791-8331422,330029,江西省南昌市上海路440号,SWIFT CODE,江西
102421000163,中国工商银行南昌市南钢分理处,0791-8390685,330012,江西省南昌市南钢中路87号,SWIFT CODE,江西
102421000171,中国工商银行南昌市昌北支行,0791-3853314,330038,江西省南昌市昌北庐山南大道555号,SWIFT CODE,江西
102421000180,中国工商银行南昌市苏圃路支行,0791-6393754,330008,江西省南昌市苏圃路208号,SWIFT CODE,江西
102421000198,中国工商银行南昌县支行,0791-5712450,330200,江西省南昌县莲塘镇五一路195号,SWIFT CODE,江西
102421000202,中国工商银行南昌县支行向塘分理处,0791-5032008,330201,江西省南昌县向塘镇,SWIFT CODE,江西
