bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102121000012,中国工商银行股份有限公司河北省分行业务处理中心-不办转汇业务,0311-66000222,50051,河北省石家庄市中山西路188号,SWIFT CODE,河北
102121000029,中国工商银行河北省分行营业部业务处理中心,0311-86028184,50021,河北省石家庄市平安南大街113号,SWIFT CODE,河北
102121000037,中国工商银行石家庄东风支行,0311-86028748,50021,河北省石家庄市平安南大街113号,SWIFT CODE,河北
102121000045,中国工商银行石家庄桥西支行,0311-87023118,50000,河北省石家庄市中山西路123号,SWIFT CODE,河北
102121000053,中国工商银行石家庄桥东支行,0311-86032754,50000,河北省石家庄市裕华东路7号,SWIFT CODE,河北
102121000061,中国工商银行石家庄和平支行,0311-89617921,50000,河北省石家庄市广安街77号,SWIFT CODE,河北
102121000070,中国工商银行石家庄长安支行,0311-86980079,50011,河北省石家庄市中山东路180号,SWIFT CODE,河北
102121000088,中国工商银行石家庄中华支行,0311-87022124,50000,河北省石家庄市中华南大街179号,SWIFT CODE,河北
102121000096,中国工商银行石家庄车站支行,0311-87013114,50000,河北省石家庄市南小街61号,SWIFT CODE,河北
102121000107,中国工商银行栾城支行,0311-88031281,51430,河北省栾城县大桥路82号,SWIFT CODE,河北
102121000115,中国工商银行鹿泉支行,0311-82012342,50200,河北省鹿泉市龙泉路31号,SWIFT CODE,河北
102121000123,中国工商银行正定支行,0311-88022629,50800,河北省正定县恒州南街41号,SWIFT CODE,河北
102121000131,中国工商银行石家庄石岗支行,0311-87041482,50061,河北省石家庄市中华北大街138号,SWIFT CODE,河北
102121000140,中国工商银行石家庄建西支行,0311-86984974,50011,河北省石家庄市建设南大街29号,SWIFT CODE,河北
102121000158,中国工商银行石家庄裕华支行,0311-85115721,50011,河北省石家庄市裕华东路228号,SWIFT CODE,河北
102121000166,中国工商银行石家庄高新支行,0311-85267609,50035,河北省石家庄市黄河大道99号,SWIFT CODE,河北
102121000174,中国工商银行藁城支行,0311-88041940,52160,河北省藁城市胜利东路004号,SWIFT CODE,河北
102121000182,中国工商银行新乐支行,0311-88587347,50700,河北省新乐市长寿路15号,SWIFT CODE,河北
102121000199,中国工商银行元氏支行,0311-84608212,51130,河北省元氏县文化路与中央大街交叉口,SWIFT CODE,河北
102121000203,中国工商银行石家庄开发区支行,0311-83814708,50091,河北省石家庄市红旗大街199号,SWIFT CODE,河北
102121000211,中国工商银行井陉支行,0311-82022720,50300,河北省井陉县微水镇建设南路5号,SWIFT CODE,河北
102121000220,中国工商银行石家庄西苑支行,0311-83622813,50051,河北省石家庄市友谊北大街51号,SWIFT CODE,河北
102121000238,中国工商银行石家庄矿区支行,0311-82072483,50100,河北省石家庄市井陉矿区中纬西路4号,SWIFT CODE,河北
