bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102491002011,中国工商银行郑州市解放路支行,0371-6239385,450000,郑州市解放西路27号,SWIFT CODE,河南
102491002020,中国工商银行郑州市二里岗支行,0371-6322591,450004,郑州市陇海东路50号,SWIFT CODE,河南
102491002038,中国工商银行郑州市西大街支行,0371-6236390,450008,河南省郑州市西大街214号,SWIFT CODE,河南
102491002054,中国工商银行郑州市建设路支行,0371-7632604,450007,郑州市建设西路110号,SWIFT CODE,河南
102491002062,中国工商银行郑州市花园路支行,0371-5585172,450003,郑州市纬五路8号,SWIFT CODE,河南
102491002079,中国工商银行股份有限公司郑州金水支行,0371-63935523,450053,郑州市南阳路324号,SWIFT CODE,河南
102491002087,中国工商银行股份有限公司郑州商都路支行,68096161,450000,河南省郑州市郑东新区商都路31号,SWIFT CODE,河南
102491002095,中国工商银行郑州市铁路支行,0371-6965532,450052,郑州市陇海中路33号,SWIFT CODE,河南
102491002100,中国工商银行股份有限公司郑州兴华南街支行,0371-67089151,410103,郑州市兴华南街27号,SWIFT CODE,河南
102491002118,中国工商银行股份有限公司郑州郑大支行,0371-68230520,450052,河南省郑州市大学路25号,SWIFT CODE,河南
102491002126,中国工商银行股份有限公司郑州大同路支行,0371-66971987,450000,河南省郑州市大同路97号,SWIFT CODE,河南
102491002134,中国工商银行郑州市桐柏路支行,0371-7539930,450051,郑州市煤仓北街7号,SWIFT CODE,河南
102491002142,中国工商银行郑州市农业路支行,0371-3819961,450002,河南省郑州市农业路13号附1号,SWIFT CODE,河南
102491002159,中国工商银行股份有限公司郑州陇海路支行,0371-67089191,410102,郑州市中原区陇海西路81号,SWIFT CODE,河南
102491002167,中国工商银行股份有限公司郑州东区支行,0371-55913992,450046,郑州市郑东新区商务外环路5号（河南国际商务大厦）,SWIFT CODE,河南
102491002175,中国工商银行郑州市南阳路支行,0371-3731958,450053,郑州市南阳路128号,SWIFT CODE,河南
102491002183,中国工商银行郑州市铁路支行康复前街分理处,0371-66976059,450052,郑州市二七区康复前街58号,SWIFT CODE,河南
102491002191,中国工商银行股份有限公司郑州电业村支行,0371-68893010,450007,河南省郑州市淮河路西段,SWIFT CODE,河南
102491002206,中国工商银行郑州市郑花路支行,0371-5736039,450008,郑州市郑花路8号付8号,SWIFT CODE,河南
102491002214,中国工商银行郑州市上街区支行,0371-8922272,450041,郑州市上街区济源路72号,SWIFT CODE,河南
102491002263,中国工商银行股份有限公司郑州黄金大厦支行,0371-66315434,450000,郑州市文化路15号(黄金大厦一层),SWIFT CODE,河南
102491002271,中国工商银行股份有限公司郑州黄河支行,0371-87539590,450046,河南省郑州市紫荆山路56号,SWIFT CODE,河南
102491002280,中国工商银行郑州市中原路支行,0371-7937016,450052,河南省郑州市中原路95号附4号,SWIFT CODE,河南
102491002298,中国工商银行郑州市未来支行,0371-5614887,450008,郑州市未来大道69号,SWIFT CODE,河南
102491002319,中国工商银行巩义市支行,0371-4359100,451200,巩义市人民路113号,SWIFT CODE,河南
102491002417,中国工商银行新郑市支行,0371-2693368,451100,新郑市新华路98号,SWIFT CODE,河南
102491002513,中国工商银行新密市支行,0371-9822625,452370,新密市西大街27号,SWIFT CODE,河南
