bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102331000014,中国工商银行股份有限公司浙江省分行(不对外办理业务),0571-87336729,310009,杭州市中河中路150号,SWIFT CODE,浙江
102331000022,中国工商银行浙江省分行国际业务部,0571-87803888,310009,杭州市庆春路90号,SWIFT CODE,浙江
102331000217,中国工商银行股份有限公司杭州白马支行,0571-85383503,310005,浙江省杭州市白马公寓1幢1号商铺一层,SWIFT CODE,浙江
102331000250,中国工商银行股份有限公司杭州中河支行,0571-87829294,310009,杭州市上城区清泰街464号,SWIFT CODE,浙江
102331000268,中国工商银行股份有限公司杭州康华支行,0571-88236242,310015,浙江省杭州市拱墅区拱康路100号康华大厦,SWIFT CODE,浙江
102331000292,中国工商银行杭州市西湖支行延安新村分理处,0571-85068093,310006,浙江省杭州市下城区延安路551号,SWIFT CODE,浙江
102331000321,中国工商银行杭州市朝晖支行潮王路分理处,0571-88394418,310014,浙江省杭州市潮王路30号,SWIFT CODE,浙江
102331000356,中国工商银行股份有限公司杭州新城支行,0571-86958972,310016,浙江省杭州市江干区富春路797号宋都大厦一层101号商铺,SWIFT CODE,浙江
102331000364,中国工商银行股份有限公司杭州南星桥支行,0517-86053489,310008,浙江省杭州上城区大名空间商务大厦1-103室,SWIFT CODE,浙江
102331000397,中国工商银行杭州市城站支行小营巷分理处,0571-87040548,310003,上城区清吟巷19号,SWIFT CODE,浙江
102331000410,中国工商银行杭州市庆春路支行银江分理处,0571-87294184,310003,杭州市建国北路5号,SWIFT CODE,浙江
102331000469,中国工商银行股份有限公司杭州浦沿支行,0571-86616102,310053,浙江省杭州市滨江区镇前路126-128号,SWIFT CODE,浙江
102331000477,中国工商银行股份有限公司杭州九堡支行,0571-86908952,310019,杭州市江干区杭海路888号,SWIFT CODE,浙江
102331000485,中国工商银行股份有限公司杭州上塘北路支行,0571-88313561,310014,杭州市拱墅区上塘路双绍弄12-26号,SWIFT CODE,浙江
102331000590,中国工商银行杭州市保俶支行古荡分理处,0571-85126404,310013,杭州市古荡新村西一幢,SWIFT CODE,浙江
102331000612,中国工商银行股份有限公司杭州益乐支行,0571-88923085,310012,浙江省杭州市西湖区文一西路24号,SWIFT CODE,浙江
102331000645,中国工商银行银行股份有限公司杭州天城路支行,0571-86045122,310004,杭州市江干区天城路90号,SWIFT CODE,浙江
102331000723,中国工商银行股份有限公司杭州祥符支行,0571-88032769,310011,杭州市拱墅区祥园路35号,SWIFT CODE,浙江
102331000766,中国工商银行股份有限公司杭州体东支行,0571-85281981,310016,浙江省杭州市下城区体育场路86号,SWIFT CODE,浙江
102331000774,中国工商银行杭州市西湖支行东体育场路分理处,0571-85159012,310003,浙江省杭州市下城区体育场路270号,SWIFT CODE,浙江
102331000803,中国工商银行股份有限公司杭州杭大路支行,0571-87967955,310007,浙江省杭州市杭大路8号,SWIFT CODE,浙江
102331000887,中国工商银行股份有限公司杭州滨江支行,0571-86554874,310016,杭州市上城区近江东路12号,SWIFT CODE,浙江
102331000926,中国工商银行股份有限公司杭州大关支行,0571-88032769,310015,杭州市拱墅区锦昌文华苑20-23号,SWIFT CODE,浙江
102331000975,中国工商银行股份有限公司杭州景芳支行,0571-86093271,310020,杭州市江干区景芳路155号,SWIFT CODE,浙江
102331002001,中国工商银行杭州市半山支行,0571-88164630,310022,杭州半山路66号,SWIFT CODE,浙江
102331002010,中国工商银行杭州市羊坝头支行,0571-87027088,310001,杭州市中山中路261号,SWIFT CODE,浙江
102331002028,中国工商银行杭州市庆春路支行,0571-87215981,310003,杭州市庆春路188号,SWIFT CODE,浙江
102331002036,中国工商银行杭州市江城支行,0571-86063706,310002,杭州市江城路348－350号,SWIFT CODE,浙江
102331002044,中国工商银行杭州市西湖支行,0571-87781858,310006,杭州市延安路300号,SWIFT CODE,浙江
102331002052,中国工商银行股份有限公司杭州涌金支行,0571-87824360,310001,浙江省杭州市上城区惠民路88号,SWIFT CODE,浙江
102331002069,中国工商银行杭州市湖墅支行,0571-88377074,310005,杭州市湖墅南路377号,SWIFT CODE,浙江
102331002077,中国工商银行杭州市解放路支行,0571-87925460,310001,杭州市解放路223号,SWIFT CODE,浙江
102331002085,中国工商银行股份有限公司杭州拱宸支行,0571-88285926,310014,浙江省杭州市拱墅区台州街19号,SWIFT CODE,浙江
102331002093,中国工商银行杭州市艮山支行绍兴路分理处,0571-85350630,310004,浙江省杭州市下城区绍兴路20号,SWIFT CODE,浙江
102331002108,中国工商银行杭州市羊坝头支行体育场路分理处,0571-85213593,310007,西湖区体育场路486号,SWIFT CODE,浙江
102331002116,中国工商银行浙江省分行营业部本级业务部,0571-87227361,310003,杭州市庆春路90号,SWIFT CODE,浙江
102331002124,中国工商银行杭州市武林支行,0571-85152334,310006,杭州市体育场路399号,SWIFT CODE,浙江
102331002132,中国工商银行浙江省分行营业部,0571-87227490,310003,杭州市庆春路90号,SWIFT CODE,浙江
102331002149,工商银行杭州市分行钱江支行,0571-86616102,310053,杭州浦沿镇,SWIFT CODE,浙江
102331002157,中国工商银行股份有限公司杭州开元支行,0571-87833802,310001,杭州市西湖区公元大厦南楼101/201/203/205室,SWIFT CODE,浙江
102331002173,中国工商银行杭州市众安支行,0571-87210833,310003,杭州市庆春路157号,SWIFT CODE,浙江
102331002181,中国工商银行股份有限公司东新支行,0571-85377653,310004,东新路342号,SWIFT CODE,浙江
102331002190,中国工商银行杭州市艮山支行城东分理处,0571-86450348,310004,浙江省杭州市江干区秋涛北路248号,SWIFT CODE,浙江
102331002204,中国工商银行杭州市浣纱支行,0571-87080634,310001,杭州市将军路1号,SWIFT CODE,浙江
102331002212,中国工商银行杭州市朝晖支行,0571-85300962,310014,杭州市朝晖路220号,SWIFT CODE,浙江
102331002229,中国工商银行杭州市庆春路支行建国北路分理处,0571-85186194,310003,杭州市建国北路514号,SWIFT CODE,浙江
102331002237,中国工商银行杭州市艮山支行,0571-85095027,310004,杭州市环城北路4号,SWIFT CODE,浙江
102331002245,中国工商银行杭州市艮山支行凯旋路分理处,0571-86954362,310020,浙江省杭州市江干区凯旋路445号,SWIFT CODE,浙江
102331002253,中国工商银行杭州凤起支行,0571-87997644,310003,杭州市凤起路373号,SWIFT CODE,浙江
102331002261,中国工商银行股份有限公司浙江省分行营业部核算中心,0571-87833902,310001,杭州市中山中路273号,SWIFT CODE,浙江
102331002270,中国工商银行股份有限公司杭州保叔支行,0571-28115939,310012,浙江省杭州市西湖区天目山路48号,SWIFT CODE,浙江
102331002288,中国工商银行杭州市朝晖支行德胜分理处,0571-88036394,310014,浙江省杭州市德胜路182号,SWIFT CODE,浙江
102331002296,中国工商银行杭州市之江支行,0571-85802060,310003,杭州市凤起路98号,SWIFT CODE,浙江
102331002307,中国工商银行股份有限公司杭州延中支行,0571-87078946,310006,杭州市延安路314号,SWIFT CODE,浙江
102331002315,中国工商银行股份有限公司杭州西兴支行,0571-86681541,310051,浙江省杭州市滨江区西兴镇固陵路4号,SWIFT CODE,浙江
102331002323,中国工商银行股份有限公司杭州高新支行学院路分理处,0571-88054338,310014,浙江省杭州市西湖区文二路242号,SWIFT CODE,浙江
102331002331,中国工商银行股份有限公司杭州三墩支行,0571-88940425,310030,杭州市西湖区三墩街148号,SWIFT CODE,浙江
102331002340,中国工商银行股份有限公司杭州景江苑支行,0571-87777003,310053,浙江省杭州市滨江区江南大道4366-4370号,SWIFT CODE,浙江
102331002358,中国工商银行杭州清泰支行,0571-86044160,310016,杭州市清江路85号,SWIFT CODE,浙江
