bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102641000024,中国工商银行股份有限公司海口龙昆北路支行,6791267,570125,海口市龙昆北路20号,SWIFT CODE,海南
102641000032,中国工商银行股份有限公司海南省分行营业部,0898-66232525,570102,海南省海口市大同路6号,SWIFT CODE,海南
102641000049,中国工商银行股份有限公司海口文明东路支行,0898-65345615,570203,海南省海口市文明东路193号,SWIFT CODE,海南
102641000057,中国工商银行股份有限公司海口金盘支行,0898-66814782,570216,海南省海口市金星路33号,SWIFT CODE,海南
102641000065,中国工商银行股份有限公司海口金贸支行,0898-68534773,570125,海南省海口市国贸大道40号,SWIFT CODE,海南
102641000073,中国工商银行股份有限公司海口海秀支行,0898-68918604,570311,海南省海口市海秀大道59-8号,SWIFT CODE,海南
102641000081,中国工商银行股份有限公司海口美舍支行,0898-65365351,570101,海南省海口市海府一横路21号,SWIFT CODE,海南
102641000090,中国工商银行股份有限公司海口望海楼支行,0898-66778872,570206,海南省海口市海秀路望海楼酒店,SWIFT CODE,海南
102641000104,中国工商银行股份有限公司海口秀英支行,0898-68665961,570311,海南省海口市滨海大道118号,SWIFT CODE,海南
102641000112,中国工商银行股份有限公司海口新华支行,0898-66246929,570101,海南省海口市解放西路1号,SWIFT CODE,海南
102641000129,中国工商银行股份有限公司海口和平南支行,0898-65357037,570203,海南省海口市海府大道12号,SWIFT CODE,海南
102641000137,中国工商银行股份有限公司海口海甸支行,0898-66274642,570208,海南省海口市人民大道7号,SWIFT CODE,海南
102641000145,中国工商银行股份有限公司海口义龙支行,0898-66767172,570102,海南省海口市义龙路22号,SWIFT CODE,海南
102641000153,中国工商银行股份有限公司海口龙华路支行,0898-66516610,570102,海南省海口市龙华路41号,SWIFT CODE,海南
102641000161,中国工商银行股份有限公司海口海府支行,0898-65326952,570203,海南省海口市海府路49号,SWIFT CODE,海南
102641000170,中国工商银行股份有限公司海口建国路支行,0898-65883842,571100,海口市琼山区府城镇建国路,SWIFT CODE,海南
102641000188,中国工商银行股份有限公司海口琼山支行,0898-65887293,571100,海南省海口市琼山区中山路,SWIFT CODE,海南
102641000196,中国工商银行股份有限公司海口城西路支行,0898-65883605,571100,海南省海口市城西路,SWIFT CODE,海南
102641000207,中国工商银行股份有限公司文昌支行,0898-63222540,571300,海南省文昌市文城镇和平北路2号,SWIFT CODE,海南
102641000215,中国工商银行股份有限公司琼海支行,0898-62823294,571400,海南省琼海市东风路66号,SWIFT CODE,海南
102641000223,中国工商银行股份有限公司万宁支行,0898-62216206,571500,海南省万宁市万城镇人民街,SWIFT CODE,海南
102641000231,中国工商银行股份有限公司定安支行,0898-63823537,571200,海南省定安县定城大众东路10号,SWIFT CODE,海南
102641000240,中国工商银行股份有限公司海口滨海大道支行,0898-66709177,570105,海南省海口市滨海大道31号,SWIFT CODE,海南
102641000258,中国工商银行股份有限公司屯昌支行,0898-67811514,571600,海南省屯昌县屯城昌盛路,SWIFT CODE,海南
102641000266,中国工商银行股份有限公司澄迈支行,0898-67624127,571900,海南省澄迈县金江文化北路154号,SWIFT CODE,海南
102641000274,中国工商银行股份有限公司海口国兴大道支行,0898-65326951,570203,海口市国兴大道人大办公楼1楼,SWIFT CODE,海南
102641000282,中国工商银行股份有限公司临高支行,0898-28284151,571800,海南省临高县解放路13号,SWIFT CODE,海南
102641000299,中国工商银行股份有限公司儋州支行,0898-23322053,571700,海南省儋州市人民西路,SWIFT CODE,海南
102641000303,中国工商银行股份有限公司五指山支行,0898-86623486,572200,海南省五指山市河北西路86号,SWIFT CODE,海南
102641000338,中国工商银行股份有限公司海口海德路支行,0898-66710151,570206,海南省海口市海德路9号现代花园D型1号楼3-4号,SWIFT CODE,海南
102641000346,中国工商银行股份有限公司陵水支行,0898-82233550,572400,海南省陵水县陵城镇,SWIFT CODE,海南
102641000354,中国工商银行股份有限公司保亭支行,0898-83669478,572300,海南省保亭县保城镇保兴路,SWIFT CODE,海南
102641000362,中国工商银行股份有限公司乐东支行,0898-85523436,572500,海南省乐东县城,SWIFT CODE,海南
102641000379,中国工商银行股份有限公司乐东利国支行,0898-85801143,572536,乐东县利国镇,SWIFT CODE,海南
102641000387,中国工商银行股份有限公司海口海盛支行,0898-65342435,570203,海口市海府大道78号,SWIFT CODE,海南
102641000395,中国工商银行股份有限公司乐东黄流支行,0898-85855096,572534,乐东县黄流镇,SWIFT CODE,海南
102641000400,中国工商银行股份有限公司琼中支行,0898-86222531,572900,海南省琼中营根镇营根街34号,SWIFT CODE,海南
102641000418,中国工商银行股份有限公司东方支行,0898-25522524,572600,海南省东方市东海路37号,--,海南
102641000426,中国工商银行股份有限公司昌江支行,0898-26622704,572700,海南省昌江县石碌镇人民北路,SWIFT CODE,海南
102641000434,中国工商银行股份有限公司昌江河南支行,0898-26670715,572700,昌江市石碌镇人民南路,SWIFT CODE,海南
102641000442,中国工商银行股份有限公司白沙支行,0898-27723067,572800,海南省白沙县牙叉镇中路35号,SWIFT CODE,海南
102641000459,中国工商银行股份有限公司洋浦分行,0898-28822053,578101,海南省洋浦开发区,SWIFT CODE,海南
102641000467,中国工商银行股份有限公司海口世贸支行,0898-68520892,571025,海南省海口市金贸区世贸中心,SWIFT CODE,海南
102641000506,中国工商银行海口海苑支行,0898-65326952,570101,海南省海口市海南省委大院内,SWIFT CODE,海南
102641000514,中国工商银行股份有限公司海口海大支行,0898-66274640,570208,海南省海口市海南大学院内,SWIFT CODE,海南
102641000522,中国工商银行股份有限公司海口凤翔支行,0898-65951025,571100,海南省海口市凤翔西路3号海南边防总队团职楼一层,SWIFT CODE,海南
102641000539,中国工商银行股份有限公司海口滨海新村支行,0898-66772700,570105,海口市滨海新村497号,SWIFT CODE,海南
102641000547,中国工商银行股份有限公司海口海甸二东路支行,6269246,570208,海口市海甸二东路23号,SWIFT CODE,海南
102641000555,中国工商银行股份有限公司海口南大桥支行,6772057,570206,海口市海秀中路45号,SWIFT CODE,海南
102641000571,中国工商银行股份有限公司海口机场东路支行,0898-65346077,570206,海口市五指山路49号南兴大厦首层,SWIFT CODE,海南
102641000580,中国工商银行股份有限公司儋州万福支行,0898-23324290,571700,儋州市那大文化路140号,SWIFT CODE,海南
102641000619,中国工商银行股份有限公司昌江铁矿支行,0898-26670212,572700,昌江县石碌镇桥南矿区东园路,SWIFT CODE,海南
102641000741,中国工商银行股份有限公司海口白坡支行,0898-66774000,570206,海口市海秀大道23号,SWIFT CODE,海南
102641000750,中国工商银行股份有限公司海口解放路支行,0898-66223213,570102,海口市新华北路2号,SWIFT CODE,海南
102641000821,中国工商银行股份有限公司海口椰润支行,0898-66210371,570206,海口市文明中路152号,SWIFT CODE,海南
102641000848,中国工商银行股份有限公司海口银都支行,0898-65342432,570203,海口市海府路38号,SWIFT CODE,海南
102641000910,中国工商银行股份有限公司海口南航路支行,0898-66791477,570206,海口市西沙路28号,SWIFT CODE,海南
102641000936,中国工商银行股份有限公司海口龙华下路支行,0898-66774896,570102,海口市龙华路58号,SWIFT CODE,海南
102641000944,中国工商银行股份有限公司海口海秀东路支行,0898-66774666,570102,海口市海秀东路18号,SWIFT CODE,海南
102641000952,中国工商银行股份有限公司海口秀华路支行,89868662216,570311,海口市先烈路56号,SWIFT CODE,海南
102641000969,中国工商银行股份有限公司海口海垦路支行,89868914918,570206,海口市海垦路56号,SWIFT CODE,海南
102641000985,中国工商银行股份有限公司海口海港支行,89868662014,570311,海口市海秀路160号金侨大厦首层,SWIFT CODE,海南
102641001087,中国工商银行股份有限公司海口红城湖路支行,0898-65890824,571100,海口市琼山区府城镇红城湖路东侧,SWIFT CODE,海南
102641001095,中国工商银行股份有限公司海口海师支行,0898-65782251,571100,海口市龙昆南路107号现代教育服务中心一层9-12号铺面,SWIFT CODE,海南
102641001126,中国工商银行股份有限公司海口迎宾支行,0898-65865293,571100,海南省海口市龙昆南路89号,SWIFT CODE,海南
102641001142,中国工商银行股份有限公司文昌文中坡支行,0898-63222518,571300,文昌市文城镇文中坡路3号,SWIFT CODE,海南
102641001159,中国工商银行股份有限公司文昌沿江支行,0898-63222482,571300,文昌市文城镇沿江路22号,SWIFT CODE,海南
102641001183,中国工商银行股份有限公司琼海银海支行,0898-62822921,571400,琼海市银海路“大印金典花园”1号楼一层,SWIFT CODE,海南
102641001191,中国工商银行股份有限公司琼海人民路支行,0898-62824494,571400,琼海市加积镇人民路95号,SWIFT CODE,海南
102641001255,中国工商银行股份有限公司儋州胜利支行,0898-23322163,571700,儋州市那大镇东风路325号,SWIFT CODE,海南
102641001298,中国工商银行股份有限公司海口金龙支行,0898-66772782,570206,海南省海口市南沙路27号海南省图书商厦首层铺面,SWIFT CODE,海南
102641001378,中国工商银行股份有限公司文昌文城支行,0898-63222207,571300,文昌市文城镇文南路111号,SWIFT CODE,海南
102641001386,中国工商银行股份有限公司文昌清澜支行,0898-63329343,571339,文昌市清澜镇,SWIFT CODE,海南
102641001409,中国工商银行股份有限公司海口琼州大道支行,0898-65876731,571100,海口市琼州大道61号,SWIFT CODE,海南
102641001417,中国工商银行股份有限公司琼海加积支行,0898-62822379,571400,琼海加积镇纪纲街139号,SWIFT CODE,海南
102641001425,中国工商银行股份有限公司琼海加祥支行,0898-62938539,571400,琼海市加积镇善集路23号,SWIFT CODE,海南
102641001441,中国工商银行股份有限公司儋州中兴支行,0898-23322870,571700,儋州市那大解放北路127号,SWIFT CODE,海南
102641001476,中国工商银行股份有限公司东方解放支行,0898-25522356,572600,东方市八所镇南海路,--,海南
102641001492,中国工商银行股份有限公司昌江河北支行,0898-26622650,572700,昌江县石碌镇人民北路,SWIFT CODE,海南
102641001548,中国工商银行股份有限公司澄迈老城支行,0898-67489288,571900,澄迈县老城镇澄江南路7号,SWIFT CODE,海南
102641001556,中国工商银行股份有限公司洋浦石华支行,0898-28820728,578101,海南省洋浦开发区海南实华炼油化工有限公司办公区内,SWIFT CODE,海南
102641001564,中国工商银行股份有限公司海口琼泰支行,0898-68553029,570105,海南省海口市滨海大道83号琼泰大厦首层,SWIFT CODE,海南
102641001572,中国工商银行股份有限公司海口金贸西路支行,0898-68543050,570125,海口市金贸西路26号中城商住楼D区105号,SWIFT CODE,海南
102641002102,中国工商银行股份有限公司海口国贸支行,0898-68542406,570125,海南省海口市国贸北路20号德派斯大厦二楼,SWIFT CODE,海南
102641003017,中国工商银行股份有限公司海口海口湾支行,0898-68533223,570000,海南省海口市世贸北路1号佳景国际公寓首层,SWIFT CODE,海南
102641005004,中国工商银行股份有限公司海南省分行,0898-66219130,570102,海南省海口市大同路6号9楼,SWIFT CODE,海南
102641010167,中国工商银行股份有限公司海口南滨支行,0898-65383060,570000,海口市金龙路20号南滨骏园首层103-105号,SWIFT CODE,海南
102641010214,中国工商银行股份有限公司文昌铺前支行,0898-63655263,571300,海南省文昌市铺前镇新兴路024号,SWIFT CODE,海南
102642000317,中国工商银行股份有限公司三亚分行,0898-88272762,572000,海南省三亚市解放三路,--,海南
102642000325,中国工商银行股份有限公司三亚金鸡岭支行,0898-88292876,572000,海南省三亚市金鸡岭路金和商城1号楼首层六、七、八号铺面,--,海南
102642000333,中国工商银行股份有限公司三亚政务中心支行,0898-88272515,572000,三亚市新风路三亚市人民政府行政服务中心首层,--,海南
102642000497,中国工商银行股份有限公司三亚亚龙湾支行,0898-88563006,572016,海南省三亚市亚龙湾,--,海南
102642000995,中国工商银行股份有限公司三亚东方支行,0898-88688605,572000,三亚市凤凰路聚鑫园小区H栋101单元,--,海南
102642001019,中国工商银行股份有限公司三亚迎宾支行,0898-88662057,572000,三亚市迎宾路昌达山水天域五区4号铺面,--,海南
102642001043,中国工商银行股份有限公司三亚瑞海支行,0898-88216034,572000,三亚市榆亚大道瑞海购物公园,--,海南
102642001289,中国工商银行股份有限公司三亚榆林支行,89888212226,572000,中国工商银行股份有限公司三亚榆林支行,--,海南
102642001301,中国工商银行股份有限公司三亚河东支行,0898-88252758,572000,三亚市河东区港门村,--,海南
102642001310,中国工商银行股份有限公司三亚河西支行,8988272892,572000,三亚市解放三路8号,--,海南
102642001328,中国工商银行股份有限公司三亚安游支行,0898-88599084,572000,三亚市安游,--,海南
102642001336,中国工商银行股份有限公司三亚东堤支行,0898-88273147,572000,三亚市保险公司一楼,--,海南
102642001344,中国工商银行股份有限公司三亚解放支行,89888277609,572000,三亚市解放一路38号,--,海南
103641010001,中国农业银行海南省分行营业部,0898-68533713,570125,海南省海口市明珠路２号置地花园东侧裙楼,SWIFT CODE,海南
103641010307,中国农业银行海口华信支行,0898--66791624,570105,海南省海口市滨海大道26号农行大厦首层,SWIFT CODE,海南
103641010403,中国农业银行海口龙昆南支行,0898-66892068,570208,海南省海口市龙昆南路海南师范大学侧门,SWIFT CODE,海南
