bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102521000011,中国工商银行武汉市汉口支行,027-82832387,430014,武汉市江汉路44号,SWIFT CODE,湖北
102521000020,中国工商银行武汉市牡丹支行,027-82839315,430014,武汉市江汉路8号,SWIFT CODE,湖北
102521000038,中国工商银行武汉市江岸区支行,027-82839100,430014,武汉市中山大道998号,SWIFT CODE,湖北
102521000046,中国工商银行武汉市黄浦支行,027-82900331,430012,武汉市江岸区黄浦大街259号,SWIFT CODE,湖北
102521000054,中国工商银行武汉市四唯路支行,027-82708205,430014,武汉市江岸区中山大道1350号,SWIFT CODE,湖北
102521000079,中国工商银行武汉市车站路支行,027-82833341,430017,武汉市江岸区车站路96号,SWIFT CODE,湖北
102521000087,中国工商银行武汉市球场路支行,027-85754734,430013,武汉市江岸区香港路5号,SWIFT CODE,湖北
102521000095,中国工商银行武汉市长江支行,027-85806897,430015,湖北省武汉市香港路181号,SWIFT CODE,湖北
102521000118,中国工商银行武汉市江汉区支行,027-85894027,430022,武汉市前进二路12号,SWIFT CODE,湖北
102521000126,中国工商银行武汉市民族路支行,027-85643026,430022,武汉市民族路95号,SWIFT CODE,湖北
102521000134,中国工商银行武汉市汉北支行,85879352,430023,武汉市江汉区发展大道28号,SWIFT CODE,湖北
102521000142,中国工商银行武汉市西北湖支行,85794034,430015,武汉市江汉区新华下路特2号,SWIFT CODE,湖北
102521000159,中国工商银行武汉市中山大道支行,027-82702536,430015,武汉市江汉区佳丽广场一楼,SWIFT CODE,湖北
102521000167,中国工商银行武汉市唐家墩支行,027-85876982,430015,武汉市江汉区新华下路171号,SWIFT CODE,湖北
102521000175,中国工商银行武汉市王家巷支行,027-85668780,430021,武汉市民权路2号,SWIFT CODE,湖北
102521000183,中国工商银行武汉市航空路支行,85864509,430022,武汉市江汉区解放大道718号,SWIFT CODE,湖北
102521000191,中国工商银行武汉市新街支行,027-85705952,430031,武汉市汉正街758号,SWIFT CODE,湖北
102521000206,中国工商银行武汉市桥口区支行,027-83787422,430033,武汉市中山大道3号,SWIFT CODE,湖北
102521000214,中国工商银行武汉市机场河支行,027-83624294,430030,武汉市建设大道129号,SWIFT CODE,湖北
102521000239,中国工商银行武汉市古田支行,027-83831019,430034,武汉市桥口区解放大道5号,SWIFT CODE,湖北
102521000247,中国工商银行武汉市多福路支行,027-85705950,430031,武汉市桥口区汉正街712号,SWIFT CODE,湖北
102521000255,中国工商银行武汉市宗关支行,027-83831454,430034,武汉市桥口区解放大道349号,SWIFT CODE,湖北
102521000263,中国工商银行武汉市发展大道分理处,027-83533126,430023,武汉市汉西北路45号,SWIFT CODE,湖北
102521000271,中国工商银行股份有限公司武汉武昌支行,027-88043927,430061,武汉市武昌区体育街口,SWIFT CODE,湖北
102521000280,中国工商银行武汉市徐家棚支行,027-86811493,430062,武汉市和平大道531号,SWIFT CODE,湖北
102521000298,中国工商银行武汉市水果湖支行,027-87810716,430071,武汉市东湖路65号,SWIFT CODE,湖北
102521000302,中国工商银行武汉市紫阳路支行,027-88057250,430060,武汉市武昌区紫阳路268号,SWIFT CODE,湖北
102521000319,中国工商银行武汉市积玉桥支行,027-88210669,430061,武汉市武昌区中山路43号,SWIFT CODE,湖北
102521000327,中国工商银行武汉市南大门支行,027-88072440,430064,武汉市武昌区中山路899号,SWIFT CODE,湖北
102521000335,中国工商银行武汉市武珞路支行,87813860,430070,武汉市武昌区武珞路253号,SWIFT CODE,湖北
102521000343,中国工商银行武汉市徐东路支行,86785677,430077,武汉市武昌区徐东大街330号,SWIFT CODE,湖北
102521000351,中国工商银行武汉市民航新村支行,027-85301710,430023,武汉市江汉区常青路特一号,SWIFT CODE,湖北
