bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102551000012,中国工商银行湖南省分行营业部,0731-2242704,410011,长沙市韶山北路90号,SWIFT CODE,湖南
102551000029,中国工商银行长沙市五一路支行,0731-2223894,410005,长沙市五一西路17号,SWIFT CODE,湖南
102551000037,中国工商银行股份有限公司长沙五一路支行黄兴南路分理处,0731-4614190,410004,湖南省长沙市西湖路33号,SWIFT CODE,湖南
102551000045,中国工商银行长沙市五一路支行广场分理处,0731-4428431,410005,长沙市五一西路188号,SWIFT CODE,湖南
102551000053,中国工商银行股份有限公司长沙芙蓉中路支行,0731-84866190,410003,长沙市天心区芙蓉中路三段558号,SWIFT CODE,湖南
102551000061,中国工商银行长沙市五一路支行五一西路分理处,0731-4421431,410005,长沙市文运街6号,SWIFT CODE,湖南
102551000070,中国工商银行长沙市中山路支行,0731-4425902,410005,长沙市中山路56号,SWIFT CODE,湖南
102551000088,中国工商银行长沙市中山路支行留芳分理处,0731-4330945,410005,长沙市芙蓉中路27号,SWIFT CODE,湖南
102551000096,中国工商银行股份有限公司长沙韭菜园支行,0731-4420668,410002,长沙市五一中路83号,SWIFT CODE,湖南
102551000107,中国工商银行股份有限公司长沙展览馆路支行,0731-2221440,410005,长沙市展览馆路11号,SWIFT CODE,湖南
102551000115,中国工商银行长沙市司门口支行,0731-2222365,410002,长沙市解放西路114号,SWIFT CODE,湖南
102551000123,中国工商银行股份有限公司长沙芙蓉支行,0731-5161904,410002,长沙市芙蓉中路二段158号,SWIFT CODE,湖南
102551000131,中国工商银行长沙市南门口支行,0731-5153411,410007,长沙市劳动西路233号,SWIFT CODE,湖南
102551000140,中国工商银行股份有限公司长沙新开铺支行,0731-5412320,410009,长沙市新开铺路94号,SWIFT CODE,湖南
102551000158,中国工商银行股份有限公司长沙华升支行,0731-5228603,410015,长沙市芙蓉南路257号,SWIFT CODE,湖南
102551000166,中国工商银行长沙市岳麓山支行,0731-8857474,410006,长沙市银盆南路89号,SWIFT CODE,湖南
102551000174,中国工商银行股份有限公司长沙左家垅支行,0731-8882772,410012,长沙市河西麓山南路121号,SWIFT CODE,湖南
102551000182,中国工商银行长沙市岳麓山支行石佳冲分理处,0731-8883640,410006,长沙市河西石家冲51号,SWIFT CODE,湖南
102551000199,中国工商银行长沙市岳麓山支行麓山南路分理处,0731-8825467,410012,长沙矿冶研究院大门右侧,SWIFT CODE,湖南
102551000203,中国工商银行股份有限公司长沙师大支行,0731-8851330,410081,长沙师大教工活动中心B楼一楼,SWIFT CODE,湖南
