bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
969581001004,(澳门地区)中国银行澳门分行人民币清算行,00853-781828,853,澳门特别行政区苏鸦利士博士大马路中国银行大厦,--,澳门
969581001012,(澳门地区)中国建设银行(澳门)股份有限公司,00853-28568821,853,澳门特别行政区新马路70-76号,--,澳门
969581001029,(澳门地区)汇业银行有限公司,00853-559898,853,澳门特别行政区水坑尾街39-41号,--,澳门
969581001037,(澳门地区)澳门国际银行有限公司,00853-378977,853,澳门特别行政区苏亚利斯博士大马路47号,--,澳门
969581001045,(澳门地区)中国银行澳门分行,00853-781828,853,澳门特别行政区苏鸦利士博士大马路中国银行大厦,--,澳门
969581001053,(澳门地区)星展银行(香港)有限公司澳门分行,00853-329338,853,澳门特别行政区家辣堂街5至7号E利美大厦地下C-D,--,澳门
969581001070,(澳门地区)中国工商银行(澳门)股份有限公司,00853-28555222,853,澳门特别行政区新口岸友谊大马路555号澳门置地广场18楼,--,澳门
969581001088,(澳门地区)大丰银行有限公司,00853-322323,853,澳门特别行政区新口岸宋玉生广场418号大丰银行总行大厦,--,澳门
969581001096,(澳门地区)澳门永亨银行股份有限公司,00853-335678,853,澳门特别行政区新马路241号,--,澳门
969581001107,(澳门地区)大西洋银行股份有限公司,00853-28355111,853,澳门特别行政区新马路22号,--,澳门
969581001115,(澳门地区)香港上海汇丰银行有限公司澳门分行,00853-553669,853,澳门特别行政区南湾大马路613-619号,--,澳门
969581001131,(澳门地区)澳门商业银行有限公司,00853-7910000,853,澳门特别行政区南湾大马路572号,--,澳门
969581001246,(澳门地区)广东发展银行澳门分行,00853-750328,853,澳门特别行政区新口岸宋玉生广场181-187号光辉商业中心,--,澳门
969581001279,(澳门地区)创兴银行有限公司澳门分行,00853-28339982,853,澳门特别行政区南湾大马路693号大华大厦地下,--,澳门
969581001287,(澳门地区)东亚银行有限公司澳门分行,00853-335511,853,澳门特别行政区南湾大马路697号大华大厦地下,--,澳门
969581001295,(澳门地区)中国工商银行澳门分行,00853-786338,853,澳门特别行政区宋玉生广场411-417号皇朝广场,--,澳门
969581001300,(澳门地区)恒生银行有限公司澳门分行,00853-323321,853,澳门特别行政区新马路61号中央广场20楼,--,澳门
969581001334,(澳门地区)交通银行股份有限公司澳门分行,853-28286611,853,澳门商业大马路251A-301号友邦大厦1603-1608室,--,澳门
969585001001,(澳门地区)中国银行股份有限公司澳门分行人民币清算行,00853-781828,853,澳门特别行政区苏鸦利士博士大马路中国银行大厦,--,澳门
969585001010,(澳门地区)中国建设银行(澳门)股份有限公司,00853-28568821,853,澳门特别行政区新马路70-76号,--,澳门
969585001028,(澳门地区)汇业银行有限公司,00853-28559898,853,澳门特别行政区荷兰园正街79号,--,澳门
969585001036,(澳门地区)澳门国际银行有限公司,00853-28378977,853,澳门特别行政区苏亚利斯博士大马路47号,--,澳门
969585001044,(澳门地区)中国银行澳门分行,00853-28781828,853,澳门特别行政区苏鸦利士博士大马路中国银行大厦,--,澳门
969585001052,(澳门地区)星展银行(香港)有限公司澳门分行,00853-28329338,853,澳门特别行政区家辣堂街5至7号E利美大厦地下C-D,--,澳门
969585001077,(澳门地区)中国工商银行(澳门)股份有限公司,00853-83982885,853,澳门特别行政区友谊大马路555号澳门置地广场工银(澳门18楼,--,澳门
969585001085,(澳门地区)大丰银行有限公司,00853-28322323,853,澳门特别行政区新口岸宋玉生广场418号大丰银行总行大厦,--,澳门
969585001093,(澳门地区)澳门永亨银行股份有限公司,00853-28335678,853,澳门特别行政区新马路241号,--,澳门
969585001108,(澳门地区)大西洋银行股份有限公司,00853-28355111,853,澳门特别行政区新马路22号,--,澳门
969585001116,(澳门地区)香港上海汇丰银行有限公司澳门分行,00853-28553669,853,澳门特别行政区南湾大马路613-619号,--,澳门
969585001132,(澳门地区)澳门商业银行有限公司,00853-87910000,853,澳门特别行政区南湾大马路572号,--,澳门
969585001245,(澳门地区)广发银行股份有限公司澳门分行,00853-28750328,853,澳门特别行政区新口岸宋玉生广场181-187号（下接备注）,--,澳门
969585001261,(澳门地区)永丰商业银行股份有限公司澳门分行,00853-88096848,853,澳门特别行政区苏亚利斯博士大马路澳门财富中心九楼,--,澳门
969585001270,(澳门地区)创兴银行有限公司澳门分行,00853-28339982,853,澳门特别行政区南湾大马路693号大华大厦地下,--,澳门
969585001288,(澳门地区)东亚银行有限公司澳门分行,00853-28335511,853,澳门特别行政区宋玉生广场322号富达花园地下（下接备注）,--,澳门
969585001307,(澳门地区)恒生银行有限公司澳门分行,00853-28330612,853,澳门特别行政区殷皇子大马路43号澳门广场11楼,--,澳门
969585001323,(澳门地区)中信银行国际有限公司澳门分行,00853-28780002,853,澳门特别行政区苏亚利斯博士大马路323号(接备注栏),--,澳门
969585001331,(澳门地区)交通银行股份有限公司澳门分行,00853-28286611,853,澳门商业大马路251A-301号友邦广场地下9号铺,--,澳门
969585001340,(澳门地区)第一商业银行股份有限公司澳门分行,00853-28575088,853,澳门特别行政区南湾湖澳门商业大马路财富中心16楼B、C,--,澳门
969585001358,(澳门地区)永隆银行有限公司澳门分行,000853-28888111,853,澳门特别行政区南湾湖澳门商业大马路财富中心地下A铺,--,澳门
969585019989,(澳门地区)邮政储金局,00853-28378138,853,澳门特别行政区大堂街,--,澳门
969585019997,(澳门地区)必利胜银行股份有限公司,00853-28785222,853,澳门特别行政区苏亚利斯博士大马路323号（下接“备注”栏）,--,澳门
