bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102821000013,中国工商银行股份有限公司兰州城关支行,0931-8472897,730030,甘肃省兰州市武都路225号,SWIFT CODE,甘肃
102821000021,中国工商银行股份有限公司兰州七里河支行,0931-2343407,730050,甘肃省兰州市西津西路47号,SWIFT CODE,甘肃
102821000030,中国工商银行股份有限公司兰州靖远路支行,0931-8365873,730046,兰州市城关区盐场路555号,SWIFT CODE,甘肃
102821000048,中国工商银行股份有限公司兰州土门墩支行,0931-2566860,730050,甘肃省兰州市西津西路518号,SWIFT CODE,甘肃
102821000056,中国工商银行股份有限公司兰州东岗支行,0931-4800016,730000,甘肃省兰州市定西南路475号,SWIFT CODE,甘肃
102821000064,中国工商银行股份有限公司兰州金城支行,0931-8444192,730030,甘肃省兰州市庆阳路408号,SWIFT CODE,甘肃
102821000072,中国工商银行股份有限公司甘肃省分行营业部业务处理中心,0931-8857076,730030,甘肃省兰州市静宁路158号昌运大厦4楼,SWIFT CODE,甘肃
102821000089,中国工商银行股份有限公司兰州张掖路支行,0931-8463283,730030,甘肃省兰州市张掖路143号,SWIFT CODE,甘肃
102821000097,中国工商银行股份有限公司兰州市开发区支行,0931-8275580,730000,甘肃省兰州市东岗西路312号,SWIFT CODE,甘肃
102821000110,中国工商银行股份有限公司兰州八一支行,0931-8983814,730000,甘肃省兰州市南昌路796号,SWIFT CODE,甘肃
102821000128,中国工商银行股份有限公司兰州安宁支行,0931-7612128,730070,甘肃省兰州市安宁西路399号,SWIFT CODE,甘肃
102821000136,中国工商银行股份有限公司兰州西固支行,0931-7554624,730060,甘肃省兰州市合水路8号,SWIFT CODE,甘肃
102821000144,中国工商银行兰州市七里河阿干分理处,0931-2771542,730097,甘肃省兰州市阿干镇下街74号,SWIFT CODE,甘肃
102821000152,中国工商银行股份有限公司兰州拱星墩支行,0931-8498335,730020,甘肃省兰州市东岗东路1359号,SWIFT CODE,甘肃
102821000169,中国工商银行股份有限公司兰州庆阳路支行,0931-8824824,730030,甘肃省兰州市庆阳路54号,SWIFT CODE,甘肃
102821000177,中国工商银行股份有限公司兰州西津东路支行,0931-2656554,730050,甘肃省兰州市西津东路495号,SWIFT CODE,甘肃
102821000185,中国工商银行股份有限公司兰州费家营支行,0931-7666573,730070,甘肃省兰州市安宁区万新路98号,SWIFT CODE,甘肃
102821000193,中国工商银行股份有限公司兰州住房城建支行,0931-88188974,730030,甘肃省兰州市静宁路162号,SWIFT CODE,甘肃
102821000208,中国工商银行股份有限公司兰州杨家桥支行,0931-2863729,730050,甘肃省兰州市武威路74号,SWIFT CODE,甘肃
102821000216,中国工商银行股份有限公司兰州广武门支行,0931-8829912,730030,甘肃省兰州市南昌路1648号,SWIFT CODE,甘肃
102821000224,中国工商银行股份有限公司兰州五泉支行,0931-8462542,730030,甘肃省兰州市民主西路424号,SWIFT CODE,甘肃
102821000232,中国工商银行股份有限公司兰州民主西路支行,0931-4810387,730000,甘肃省兰州市天水南路521号,SWIFT CODE,甘肃
102821000249,中国工商银行股份有限公司兰州天水路支行,0931-4633535,730000,甘肃省兰州市城关区民主东路武警招待所一楼,SWIFT CODE,甘肃
102821000257,中国工商银行股份有限公司兰州中川支行,0931-8791221,730087,甘肃省兰州市中川机场82号,SWIFT CODE,甘肃
102821000265,中国工商银行股份有限公司兰州临夏路支行,0931-8462474,730030,甘肃省兰州市临夏路65号,SWIFT CODE,甘肃
102821000273,中国工商银行股份有限公司兰州永昌路支行,0931-8435865,730030,甘肃省兰州市永昌路94号,SWIFT CODE,甘肃
102821000281,中国工商银行股份有限公司兰州嘉峪关路支行,0931-8490565,730020,甘肃省兰州市嘉峪关东路220号,SWIFT CODE,甘肃
102821000290,中国工商银行股份有限公司兰州培黎广场支行,0931-7750723,730030,甘肃省兰州市安宁东路407号,SWIFT CODE,甘肃
102821000304,中国工商银行股份有限公司兰州西固新城支行,0931-7523577,730094,甘肃省兰州市西固区新维路132号,SWIFT CODE,甘肃
102821000312,中国工商银行股份有限公司兰州河口支行,0931-7915449,730065,甘肃省兰州市西固区新安路99号,SWIFT CODE,甘肃
102821000329,中国工商银行股份有限公司兰州西固古浪路支行,0931-7356328,730060,甘肃省兰州市古浪路16号,SWIFT CODE,甘肃
102821000337,中国工商银行股份有限公司兰州西固西路支行,0931-7354111,730060,甘肃省兰州市西固西路228号,SWIFT CODE,甘肃
102821000345,中国工商银行股份有限公司兰州西固庄浪路支行,0931-7556996,730060,甘肃省兰州市西固区庄浪路43号,SWIFT CODE,甘肃
102821000353,中国工商银行股份有限公司兰州西固玉门街支行,0931-7576542,730060,甘肃省兰州市西固玉门街606号,SWIFT CODE,甘肃
102821000361,中国工商银行股份有限公司兰州中山支行,0931-8444064,730030,兰州市城关区静宁南路甘肃省建筑设计院临街高层住宅一、二楼,SWIFT CODE,甘肃
102821000370,中国工商银行股份有限公司甘肃省分行营业部银行卡中心,0931-8811351,730030,甘肃省兰州市庆阳路比科新大厦,SWIFT CODE,甘肃
