bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102391050013,中国工商银行股份有限公司福建省分行(不对外办理业务）,0591-88087605,350005,福州市古田路108号,SWIFT CODE,福建
102391051016,中国工商银行福建省福州市五一支行,0591-32794093285669,350009,福建省福州市五一南路567号,SWIFT CODE,福建
102391051024,中国工商银行福建省福州市闽都支行,0591-3323455,350005,福建省福州市古田路108号,SWIFT CODE,福建
102391051032,中国工商银行福建省福州市台江支行,0591-33172383340782,350004,福建省福州市八一七中路600号吉祥大厦,SWIFT CODE,福建
102391051057,中国工商银行福建省福州市鼓楼支行,0591-75524987533384,350001,福建省福州市鼓屏路1号,SWIFT CODE,福建
102391051065,中国工商银行福州吉祥支行,0591-83354511,350004,福建省福州市817中路600-1号,SWIFT CODE,福建
102391051073,中国工商银行福州华林支行,0591-7840777,350003,福建省福州市华林路122号,SWIFT CODE,福建
102391051081,中国工商银行福建省福州市南门支行,0591-7564745,350001,福建省福州市八一七北路246号,SWIFT CODE,福建
102391051090,中国工商银行股份有限公司福州仓山支行,0591-834088613475074,350007,福建省福州市仓山区观海路太平洋城13号楼裙楼1-3层,SWIFT CODE,福建
102391051104,中国工商银行福建省福州市晋安支行,0591-7550545,350011,福建省福州市福新路38号,SWIFT CODE,福建
102391051112,中国工商银行福州东大支行,0591-87552532,350001,福建省福州市五一北路88号,SWIFT CODE,福建
102391051129,中国工商银行股份有限公司福州火车站支行,0591-87597664,350013,福建省福州市晋安区茶园街道华林路303号铂金大厦,SWIFT CODE,福建
102391051137,中国工商银行福州三角池支行,0591-7314146,350011,福建省福州市三八路22号,SWIFT CODE,福建
102391051145,中国工商银行福建省福州市五四支行,0591-78204747820494,350001,福建省福州市五四路162号,SWIFT CODE,福建
102391051153,中国工商银行福建省分行营业部牡丹卡中心,0591-87551484,350011,福建省福州市福新路38号,SWIFT CODE,福建
102391051161,中国工商银行福建省福州市洪山支行,0591-3790212,350002,福建省福州市杨桥西路118号,SWIFT CODE,福建
102391051170,中国工商银行福建省福州市马尾支行,0591-3682225,350015,福建省福州市马尾君竹路24号,SWIFT CODE,福建
102391051188,中国工商银行股份有限公司闽侯支行,0591-2982152,350100,福建省福州市闽侯县甘蔗镇街心路67号,SWIFT CODE,福建
102391051196,中国工商银行股份有限公司闽侯白沙支行,0591-22951048,350102,福建省福州市闽侯县白沙镇新城,SWIFT CODE,福建
102391051207,中国工商银行福建省福清市支行,0591-5222438,350300,福建省福清市江滨路7号,SWIFT CODE,福建
102391051215,中国工商银行福建省闽清县支行,0591-2339150,350800,福建省闽清县城关西门街49号,SWIFT CODE,福建
102391051223,中国工商银行福建省连江县支行,0591-6231274,350500,福建省连江县八一六北路156号,SWIFT CODE,福建
102391051231,中国工商银行福建省长乐市支行,0591-8928231,350200,福建省长乐市吴航镇兴隆楼2号,SWIFT CODE,福建
102391051240,中国工商银行福建省永泰县支行,0591-4832471,350700,福建省永泰县南湖路10号,SWIFT CODE,福建
102391051258,中国工商银行福建省罗源县支行,0591-6832524,350600,福建省罗源县溪尾路3号,SWIFT CODE,福建
102391051266,中国工商银行福建省平潭县支行,0591-4336561,350400,福建省平潭县城关东大街73号,SWIFT CODE,福建
102391051282,中国工商银行福建省分行营业部业务处理中心,0591-3340612,350004,福建省福州市八一七中路600号吉祥大厦,SWIFT CODE,福建
102391051299,中国工商银行股份有限公司福州名店街支行,0591-87822394,350003,福建省福州市五四路173号南面新建综合办公楼一层,SWIFT CODE,福建
102391051303,中国工商银行福州五四北路支行,0591-7826146,350003,福建省福州市五四路282号-2,SWIFT CODE,福建
102391051311,中国工商银行福建省分行营业部营业厅,0591-3354511,350004,福建省福州市八一七中路600号吉祥大厦,SWIFT CODE,福建
102391051320,中国工商银行福建省福州市鼓山支行,0591-36451923645199,350011,福建省福州市福新路中段226号,SWIFT CODE,福建
102391051338,中国工商银行闽侯青口支行,0591-2762064,350119,福建省闽侯县青口镇福厦路华榕商住楼1座,SWIFT CODE,福建
102391052003,中国工商银行罗源支行东门储蓄所,0591-26831414,350123,福建省罗源县凤山镇东大新村20-012号,SWIFT CODE,福建
102391052011,中国工商银行股份有限公司福州阿波罗支行,0591-83324391,350004,福建省福州市五一中路132号,SWIFT CODE,福建
102391052038,中国工商银行股份有限公司福州星光支行,0591-83656040,350014,福建省福州市晋安区连洋路123号13号楼01-05店面,SWIFT CODE,福建
102391052046,中国工商银行福州象园路支行,0591-83277584,350009,福建省福州市台江区象园路72-1号,SWIFT CODE,福建
102391052054,中国工商银行福州高桥支行,0591-83318705,350009,福建省福州市五一中路71号,SWIFT CODE,福建
102391052062,中国工商银行股份有限公司福州元一支行,83379902,350004,福州市群众东路93号,SWIFT CODE,福建
102391052079,中国工商银行股份有限公司福州海润滨江支行,0591-83272657,350009,福州鳌峰江滨中大道378号海润滨江花园17号楼19-20号店,SWIFT CODE,福建
102391052087,中国工商银行股份有限公司福州融侨东支行,0591-83961991,350014,福建省福州市晋安区鼓山镇远洋路58号融侨东区A区1座2号店,SWIFT CODE,福建
102391052095,中国工商银行福州亚峰支行,0591-83639844,350009,福建省福州市台江区鳌峰路68号,SWIFT CODE,福建
102391052100,中国工商银行股份有限公司福州排尾支行,0591-83670694,350009,福建省福州市台江区鳌峰路2号,SWIFT CODE,福建
102391052126,中国工商银行股份有限公司福州下杭支行,0591-83211715,350009,福建省福州市台江区苍霞新城嘉惠园6-10号,SWIFT CODE,福建
102391052159,中国工商银行福州交通路支行,0591-83344464,350004,福建省福州市台江区交通路23号,SWIFT CODE,福建
102391052167,中国工商银行福州工业路支行,0591-83356043,350009,福建省福州市工业路258号,SWIFT CODE,福建
102391052175,中国工商银行股份有限公司福清江阴支行,0591-85965517,350309,福建省福清市江阴镇浔头村荣江路62号,SWIFT CODE,福建
102391052183,中国工商银行股份有限公司福州商场支行,0591-83269697,350009,福建省福州市台江区安平小区2号楼2号店面,SWIFT CODE,福建
102391052206,中国工商银行股份有限公司福州金融街支行,0591-83291052,350009,福建省福州市台江区金融街万达广场49-51号商铺,SWIFT CODE,福建
102391052222,中国工商银行股份有限公司福州心家泊支行,0591-83813660,350014,福建省福州市江滨西大道189号心家泊1号附属楼03-06号店,SWIFT CODE,福建
102391052239,中国工商银行股份有限公司福州河下街支行,0591-83215214,350009,福建省福州市河下街24号,SWIFT CODE,福建
102391052263,中国工商银行股份有限公司福州世贸外滩支行,0591-83291774,350009,福建省福州市台江区长乐南路18号3号楼北楼店面,SWIFT CODE,福建
102391052271,中国工商银行股份有限公司福州宁化路支行,0591-83837434,350009,福建福州台江区宁化路3号“三迪.香颂枫丹”1号楼10-12店,SWIFT CODE,福建
102391052280,中国工商银行股份有限公司福州大景城支行,0591-83277142,350011,福建省福州市晋安区福马路648号大景城03、09－10号店面,SWIFT CODE,福建
102391052302,中国工商银行股份有限公司福州横街支行,0591-83379551,350009,福州市台江洋中街道八一七中路798号金安公寓3#楼07店面,SWIFT CODE,福建
102391052319,中国工商银行股份有限公司福州长汀支行,0591-83826248,350009,福建省福州市台江区西环南路36号长汀里花园6号一层,SWIFT CODE,福建
102391052335,中国工商银行股份有限公司福州小桥支行,0591-83858564,350009,福建省福州市台江区下杭路50号金马花园C楼底层,SWIFT CODE,福建
102391052343,中国工商银行福州古街支行,0591-83283894,350009,福建省福州市台江区佬药洲街（南台商都）42-2,SWIFT CODE,福建
102391052351,中国工商银行福州锦秀支行,0591-83290629,350009,福建省福州市仓山区金山街道闽江大道246号锦秀江南3号楼,SWIFT CODE,福建
102391052360,中国工商银行福州大学城支行,0591-87421987,350108,福建省闽侯县上街镇福州大学城内福大生活区2号楼东侧,SWIFT CODE,福建
102391052378,中国工商银行福州鼓楼支行方圆分理处,0591-87737602,350003,福建省福州市五四北路琴亭路方圆大厦一层,SWIFT CODE,福建
102391052386,中国工商银行股份有限公司福州连江路支行,0591-88056291,350000,福建省福州市晋安区连江北路558号,SWIFT CODE,福建
102391052394,中国工商银行福州屏山支行,0591-87852945,350003,福建省福州市鼓楼区华林路13号,SWIFT CODE,福建
102391052409,中国工商银行福州铜盘支行,0591-87274175,350003,福建省福州市鼓楼区铜盘路159号,SWIFT CODE,福建
102391052425,中国工商银行股份有限公司福州闽潇支行,0591-87864047,350003,福州市鼓楼区北环西路196号,SWIFT CODE,福建
102391052433,中国工商银行股份有限公司福州主题公园支行,0591-87558281,350001,福州市晋安新店山北路233号“永辉超市”秀峰路一侧一层店面,SWIFT CODE,福建
102391052441,中国工商银行股份有限公司福州大儒世家支行,0591-83718950,350025,福建省福州市鼓楼区梅亭路大儒世家A块地13号14号连接体,SWIFT CODE,福建
102391052450,中国工商银行福州钱塘支行,0591-87830844,350001,福建省福州市鼓楼区鼓屏路38号,SWIFT CODE,福建
102391052468,中国工商银行股份有限公司福州杨桥支行,83714014,350001,福州市鼓楼区杨桥中路1号富年公寓1#-2#连接体一层6-9号,SWIFT CODE,福建
102391052492,中国工商银行福州东街口支行,0591-87543174,350001,福建省福州市鼓楼区东街43号,SWIFT CODE,福建
102391052505,中国工商银行福州井大支行,0591-87558742,350001,福建省福州市鼓楼区井大路75号,SWIFT CODE,福建
102391052521,中国工商银行股份有限公司福州湖前支行,0591-87710484,350012,福建省福州市鼓楼区福飞路湖前广厦23栋,SWIFT CODE,福建
102391052530,中国工商银行福州湖光支行,0591-87547392,350001,福建省福州市鼓楼区通湖路109号,SWIFT CODE,福建
102391052548,中国工商银行福州西城支行,0591-83735544,350014,福建省福州市鼓楼区西洪路120号,SWIFT CODE,福建
102391052556,中国工商银行福州公正支行,0591-87815843,350003,福建省福州市鼓楼区湖东路151号,SWIFT CODE,福建
102391052572,中国工商银行福州东街支行东街分理处,0591-87534542,350001,福建省福州市鼓楼区东街123号航空大厦底层,SWIFT CODE,福建
102391052589,中国工商银行福州三叉街支行,0591-83422494,350007,福建省福州市仓山区则徐大道318-4号,SWIFT CODE,福建
102391052597,中国工商银行福州下渡支行,0591-83441161,350007,福建省福州市仓山区六一南路118号汇达花园一层02号,SWIFT CODE,福建
102391052601,中国工商银行福州麦园支行,0591-83441146,350007,福建省福州市仓山麦园路4号,SWIFT CODE,福建
102391052610,中国工商银行福州阳光支行,0591-83442814,350007,福建省福州市仓山区施埔路51号1座一层,SWIFT CODE,福建
102391052628,中国工商银行福州金洲支行,0591-83051291,350008,福建省福州市仓山建新镇金河路168号金山碧水翠榕苑11号楼,SWIFT CODE,福建
102391052636,中国工商银行福州城门支行,0591-83495654,350019,福建省福州市仓山区城门镇新街,SWIFT CODE,福建
102391052644,中国工商银行股份有限公司福州龙津支行,0591-83442017,350007,福州市仓山区六一南路328号(榕信南苑),SWIFT CODE,福建
102391052652,中国工商银行福州仓山支行朝阳分理处,0591-83443068,350007,福建省福州市仓山区朝阳路30号,SWIFT CODE,福建
102391052669,中国工商银行股份有限公司福州对湖支行,0591-83442331,350007,福建省福州市仓山区对湖路逸园新村3号楼底层,SWIFT CODE,福建
102391052677,中国工商银行福州上渡支行,0591-83590949,350007,福建省福州市仓山区上渡路玉玲小区荷花园1幢底层15-17号,SWIFT CODE,福建
102391052685,中国工商银行股份有限公司仓山支行红星储蓄所,83592340,350008,福州市仓山区盘屿红星农村铁头村7号,SWIFT CODE,福建
102391052708,中国工商银行股份有限公司福州仓山支行三高储蓄所,0591-83441436,350007,福州市仓山区三高路60号,SWIFT CODE,福建
102391052716,中国工商银行股份有限公司福州迎宾路支行,0591-83414284,350007,福建省福州市仓山区盖山镇白湖村下濂段一层店面,SWIFT CODE,福建
102391052765,中国工商银行福州金山支行,0591-83852041,350008,福建省福州市仓山区建新金山碧水风荷苑4号楼01店面,SWIFT CODE,福建
102391052773,中国工商银行福州南街支行,0591-87551079,350001,福建省福州市817北路133号大洋百货南侧,SWIFT CODE,福建
102391052781,中国工商银行福州于山支行,0591-83320015,350001,福建省福州市鼓楼区乌山路12号,SWIFT CODE,福建
102391052804,中国工商银行股份有限公司福州南门支行高桥储蓄所,0591-83339957,350000,福州五一中路104号交通科研大楼一层,SWIFT CODE,福建
102391052829,中国工商银行福州南门支行津门分理处,0591-87522697,350001,福建省福州市鼓楼区法海路20号,SWIFT CODE,福建
102391052845,中国工商银行福州南门支行广达分理处,0591-83373817,350001,福建省福州市台江区广达路74号,SWIFT CODE,福建
102391052853,中国工商银行福州锦江支行,0591-83805820,350002,福建省福州市滨江大道66号融桥锦江B区综合商场临街店面A02,SWIFT CODE,福建
102391052861,中国工商银行股份有限公司长乐长山湖支行,0591-27525163,350200,长乐市广场路长山湖广场内,SWIFT CODE,福建
102391052870,中国工商银行股份有限公司福州双抛桥支行,0591-87512494,350001,福建省福州市鼓楼区杨桥路双抛桥一里,SWIFT CODE,福建
102391052888,中国工商银行股份有限公司福州加洋路支行,83341044,350001,福建省福州市台江区西洋路45号西洋公寓1座1层08号店面,SWIFT CODE,福建
102391052907,中国工商银行股份有限公司福州南门支行河南新村储蓄所,0591-83702240,350001,福州鼓楼区河南新村28座第7号,SWIFT CODE,福建
102391052915,中国工商银行股份有限公司福州黎明支行,0591-83712571,350002,福建省福州市鼓楼区西二环福屿路200号,SWIFT CODE,福建
102391052923,中国工商银行股份有限公司福州勺园支行,0591-83723771,350001,福建省福州市鼓楼区柳河路61号,SWIFT CODE,福建
102391052931,中国工商银行福州南门支行灵响分理处,0591-87556554,350001,福建省福州市鼓楼区光禄新坊2座底层16号店面,SWIFT CODE,福建
102391052958,中国工商银行福州南门支行市府大院分理处,0591-83340849,350001,福建省福州鼓楼区乌山路92号（市府大院内）,SWIFT CODE,福建
102391052966,中国工商银行福州亭江支行,0591-83692340,350015,福建省福州市马尾区亭江镇东街坊里136号,SWIFT CODE,福建
102391052974,中国工商银行福州后街支行,0591-83682125,350015,福建省福州马尾联安路福顺路新村9号楼店面,SWIFT CODE,福建
102391053014,中国工商银行福州马尾支行快安分理处,0591-83971050,350015,福建省福州市马尾区快安延伸区15号,SWIFT CODE,福建
102391053039,中国工商银行股份有限公司福州前屿支行,0591-83920442,350014,福建省福州市福马路前屿福州国际家俱城（一层东侧）,SWIFT CODE,福建
102391053047,中国工商银行福州大名城支行,0591-83651649,350011,福建省福州市晋安区福马路168号大名城2号楼011、012铺,SWIFT CODE,福建
102391053055,中国工商银行福州王庄支行,0591-83660889,350011,福建省福州市晋安区长乐路王庄街7号,SWIFT CODE,福建
102391053071,中国工商银行股份有限公司福州凤坂支行,0591-83660377,350005,福建省福州市福马路马路顶91号省肿瘤医院门口,SWIFT CODE,福建
102391053098,中国工商银行福州紫阳支行,0591-83659344,350005,福建省福州晋安区福马路118号长福花园11-13号楼,SWIFT CODE,福建
102391053102,中国工商银行福州金泉支行,0591-87553889,350001,福建省福州市东大路44号,SWIFT CODE,福建
102391053119,中国工商银行股份有限公司福州塔头支行,87336618,350011,福建福州晋安岳峰镇塔头路3号山明水秀大厦1层01店面,SWIFT CODE,福建
102391053127,中国工商银行股份有限公司福州北尚支行,0591-87577916,350001,福建福州晋安新店镇秀山路317号金城商业中心一层,SWIFT CODE,福建
102391053135,中国工商银行福州洋下支行,0591-87578440,350001,福建省福州市六一北路金福公寓4座11-12号店面,SWIFT CODE,福建
102391053151,中国工商银行福州金兴支行,0591-87580841,350001,福建省福州市华林路294号综合大楼一层04、05、06号店面,SWIFT CODE,福建
102391053160,中国工商银行股份有限公司福州沁园路支行,0591-87591130,350000,福建省福州市沁园路铁路新村95栋1层,SWIFT CODE,福建
102391053178,中国工商银行福州温泉公园支行,0591-87830361,350001,福建省福州市鼓楼区树汤路17号温泉小区2号楼1号店面,SWIFT CODE,福建
102391053209,中国工商银行福州东江滨支行,0591-83970693,350015,福建省福州市东江滨大道福州海关大厦一层,SWIFT CODE,福建
102391053217,中国工商银行股份有限公司福州利嘉路支行,0591-87916029,350012,福建省福州市晋安区南平东路815号东方高尔夫花园5栋一层06,SWIFT CODE,福建
102391053233,中国工商银行股份有限公司福州南江滨支行,0591-87802569,350028,福建省福州市仓山区建新镇闽江大道97号江湾御景8#1层储藏间,SWIFT CODE,福建
102391053241,中国工商银行福州东水路支行,0591-87520951,350001,福建省福州市鼓楼区东水路18号金仕顿大酒店一层,SWIFT CODE,福建
102391053250,中国工商银行福州凤凰支行,0591-83737604,350002,福州市鼓楼区杨桥中路289号凤凰酒家一楼,SWIFT CODE,福建
102391053268,中国工商银行股份有限公司福州空司支行,0591-83727064,350002,福建省福州市西洪新村24号楼9-11店面,SWIFT CODE,福建
102391053276,中国工商银行福州荣侨支行,0591-83730494,350009,福建省福州市西二环北路156号（福州总院东方苑2号店面）,SWIFT CODE,福建
102391053292,中国工商银行股份有限公司福州梅峰支行,0591-87885224,350002,福建省福州市西二环路融侨花园三区商场一层,SWIFT CODE,福建
102391053305,中国工商银行福州西禅支行,0591-83711964,350025,福建省福州市闽江大学右侧,SWIFT CODE,福建
102391053313,中国工商银行股份有限公司福州福大支行,0591-83793369,350002,福建省福州市福州大学南区菜市场处,SWIFT CODE,福建
102391053330,中国工商银行股份有限公司闽侯上街支行,0591-22883244,350108,福建省闽侯县上街镇新街,SWIFT CODE,福建
102391053348,中国工商银行股份有限公司闽侯尚干支行,0591-22253964,350112,福建省闽侯县尚干镇祥谦路26号,SWIFT CODE,福建
102391053356,中国工商银行闽侯南屿支行,0591-22805196,350109,福建省闽侯县南屿镇水西林路8号,SWIFT CODE,福建
102391053372,中国工商银行股份有限公司闽侯三福支行,0591-22982156,350100,福建省福州闽侯县甘蔗镇入城路818大道北侧328号5开间店面,SWIFT CODE,福建
102391053401,中国工商银行股份有限公司福清福塘支行,0591-85222494,350300,福建省福清市福谭路福荣花园98号,SWIFT CODE,福建
102391053410,中国工商银行股份有限公司福清东门支行,0591-85222493,350300,福建省福清市融城镇东门路37号,SWIFT CODE,福建
102391053428,中国工商银行股份有限公司福清北门支行,85223434,350300,福建省福清市玉屏街道北大路18号,SWIFT CODE,福建
102391053436,中国工商银行股份有限公司福清西门支行,0591-85222431,350300,福建省福清市玉屏街道西大路21号,SWIFT CODE,福建
102391053444,中国工商银行股份有限公司福清后埔街支行,0591-85222496,350300,福建省福清市玉屏街道后埔路17号,SWIFT CODE,福建
