bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102770000016,中国工商银行西藏自治区分行营业部,0891-6898018,850000,西藏自治区拉萨市金珠中路31号,--,西藏
102770006664,中国工商银行股份有限责任公司西藏自治区分行(不对外办理业务),0891-6898023,850000,拉萨市金珠中路31号,--,西藏
103770083000,中国农业银行当雄县支行,0891-6112118,851500,西藏拉萨市当雄县当曲镇河东路2号,SWIFT CODE,西藏
103770083059,中国农业银行股份有限公司当雄县羊八井分理处,0891-6192016,850000,当雄县羊八井镇,SWIFT CODE,西藏
103770084002,中国农业银行林周县支行,0891-6122243,851600,西藏拉萨市林周县甘曲路2号,SWIFT CODE,西藏
103770085005,中国农业银行尼木县支行,8916172363,851300,西藏拉萨市尼木县人民路2号,SWIFT CODE,西藏
103770086008,中国农业银行墨竹工卡县支行,8916132228,850200,西藏拉萨市墨竹工卡县工卡镇14号,SWIFT CODE,西藏
103770087003,中国农业银行达孜县支行,8916142183,850100,西藏拉萨市达孜县德庆路16号,SWIFT CODE,西藏
103770088006,中国农业银行曲水县支行,8916162699,850600,西藏拉萨市曲水县杨州路以北,SWIFT CODE,西藏
103770089009,中国农业银行堆龙德庆县支行,8916152171,850000,西藏拉萨市堆龙德庆县青藏路23号,SWIFT CODE,西藏
103770091000,中国农业银行拉萨市城西支行,0891-6839322,850000,西藏拉萨市天海路1号,SWIFT CODE,西藏
103770091106,中国农业银行拉萨市西郊分理处,0891-6867324,850000,西藏拉萨市北京西路57号,SWIFT CODE,西藏
103770091202,中国农业银行拉萨市金珠西路分理处,0891-6867137,850000,西藏拉萨市金珠西路92号,SWIFT CODE,西藏
103770091309,中国农业银行拉萨市沿河路分理处,0891-6839323,850000,西藏拉萨市金珠中路21号,SWIFT CODE,西藏
103770091405,中国农业银行拉萨市贡德林分理处,0891-6824682,850000,西藏拉萨市北京中路136号,SWIFT CODE,西藏
103770091501,中国农业银行拉萨市北京西路分理处,0891-6865357,850000,西藏拉萨市北京西路241号,SWIFT CODE,西藏
103770092002,中国农业银行拉萨市城东支行,0891-6332460,850000,西藏拉萨市江苏路39号,SWIFT CODE,西藏
103770092109,中国农业银行拉萨市军区分理处,0891-6330042,850000,西藏拉萨市江苏路5号,SWIFT CODE,西藏
103770092205,中国农业银行拉萨市金珠东路分理处,8916330479,850000,西藏拉萨市江苏路14号附4号,SWIFT CODE,西藏
103770093005,中国农业银行拉萨市八廓街支行,0891-6323406,850000,西藏拉萨市林廓东路18号,SWIFT CODE,西藏
103770093101,中国农业银行拉萨市丹杰分理处,0891-6335231,850000,西藏拉萨市宇拓路13号,SWIFT CODE,西藏
103770093208,中国农业银行拉萨市大昭寺分理处,0891-6329710,850000,西藏拉萨市八廓东街67号,SWIFT CODE,西藏
103770094008,中国农业银行拉萨市城北支行,0891-6389372,850000,西藏拉萨市夺底南路55号,SWIFT CODE,西藏
103770094104,中国农业银行拉萨市林廓北路分理处,8916339375,850000,拉萨市林廓北路9号,SWIFT CODE,西藏
103770094207,中国农业银行拉萨市夺底路分理处,0891-6328823,850000,西藏拉萨市夺底南路21号,SWIFT CODE,西藏
103770094303,中国农业银行拉萨市扎吉路分理处,0891-6389371,850000,西藏拉萨市色拉路38号,SWIFT CODE,西藏
103770095003,中国农业银行拉萨市解北支行,0891-6389379,850000,西藏拉萨市娘热路36号,SWIFT CODE,西藏
103770095100,中国农业银行拉萨市雪新村分理处,0891-6831740,850000,西藏拉萨市雪新村路,SWIFT CODE,西藏
103770095206,中国农业银行拉萨市巴尔库营业所,0891-6382124,850000,西藏拉萨市娘热路39号,SWIFT CODE,西藏
103770095302,中国农业银行拉萨市团结新村分理处,0891-6333849,850000,西藏拉萨市当热路97号,SWIFT CODE,西藏
103770096006,中国农业银行拉萨市林廓东路支行,0891-6330177,850000,西藏拉萨市林廓东路103号,SWIFT CODE,西藏
103770096102,中国农业银行股份有限公司拉萨经济开发区支行,13322509063,850000,西藏拉萨市经济开发区博达路,SWIFT CODE,西藏
103770096209,中国农业银行拉萨市北京中路分理处,0891-6337104,850000,西藏拉萨市北京中路132号,SWIFT CODE,西藏
103770096305,中国农业银行拉萨市国际城分理处,0891-6872406,850000,西藏拉萨市中和国际城,SWIFT CODE,西藏
103770096401,中国农业银行股份有限公司拉萨市纳金营业所,0891-6352687,850000,西藏拉萨纳金路12号,SWIFT CODE,西藏
103770096508,中国农业银行股份有限公司拉萨市蔡公堂营业所,0891-6356759,850000,西藏拉萨蔡公堂路17号,SWIFT CODE,西藏
103770097009,中国农业银行西藏自治区分行营业部（不对外）,0891-6331503,850000,拉萨市林廓东路103号,SWIFT CODE,西藏
103770098001,中国农业银行拉萨市康昂东路支行,0891-6333870,850000,西藏拉萨市康昂东路10号,SWIFT CODE,西藏
103770099990,中国农业银行西藏自治区分行,0891-6336457,850000,拉萨市康昂东路10号,SWIFT CODE,西藏
103771158002,中国农业银行樟木口岸支行,0892-8742255,858400,西藏日喀则地区樟木镇,--,西藏
103772047000,中国农业银行昌都县支行,0895-4822002,854000,西藏昌都地区昌都镇中路8号,--,西藏
103772048002,中国农业银行昌都地区中心支行,0895-4822977,854000,西藏昌都地区昌都东路,--,西藏
103772048109,中国农业银行昌都地区中心支行营业部西路分理处,0895-4821643,854000,西藏昌都地区昌都镇西路15号,--,西藏
103772049005,中国农业银行股份有限公司昌都分行运营管理部（不对外办理业务）,8954821972,854000,西藏昌都地区昌都东路,--,西藏
103772144000,中国农业银行江达县支行,0895-4512146,854100,西藏昌都地区江达县嘎通街16号,--,西藏
103772240000,中国农业银行贡觉县支行,0895-4532158,854200,西藏昌都地区贡觉县阿嘎街8号,--,西藏
103772343004,中国农业银行类乌齐县支行,0895-4502162,855600,西藏昌都地区类乌齐县南路1号,--,西藏
103772449107,中国农业银行丁青县支行,0895-4592152,855700,西藏昌都地区丁青县甲木塘中路13号,--,西藏
103772541006,中国农业银行察雅县支行,0895-4602173,854300,西藏昌都地区察雅县烟多镇,--,西藏
103772646003,中国农业银行八宿县支行,0895-4562103,854600,西藏昌都地区八宿县白玛镇上街9号,--,西藏
103772745001,中国农业银行左贡县支行,0895-4552151,854400,西藏昌都地区左贡县汪达中街46号,--,西藏
103772842007,中国农业银行芒康县支行,0895-4542108,854500,西藏昌都地区芒康县措曲果然街7号,--,西藏
103772949202,中国农业银行洛隆县支行,0895-4575512,855400,西藏昌都地区洛隆县东路大门8号,--,西藏
103773049306,中国农业银行边坝县支行,0895-4582180,855500,西藏昌都地区边坝县西路大门1号,--,西藏
103774027005,中国农业银行乃东县支行,0893-7820489,856100,西藏山南泽当镇乃东路35号,--,西藏
103774028008,中国农业银行山南地区中心支行,0893-7821086,856000,西藏山南地区泽当镇乃东路2号,--,西藏
103774028104,中国农业银行山南地区中心支行营业部湖北路分理处,0893-7829638,856000,西藏山南地区湖北大道,--,西藏
103774028207,中国农业银行山南地区中心支行金穗分理处,0893-7820628,856000,西藏山南泽当镇乃东路,--,西藏
103774028303,中国农业银行山南地区中心支行营业部格桑路分理处,0893-7821648,856000,西藏山南泽当镇格桑路,--,西藏
103774029003,中国农业银行股份有限公司山南分行运营管理部（不对外办理业务）,8937822340,856000,西藏山南地区泽当镇乃东路4号,--,西藏
103774125009,中国农业银行扎囊县支行,0893-7362233,850800,西藏山南扎囊县珠洲路,--,西藏
103774226000,中国农业银行贡嘎县支行,0893-7392480,850700,西藏山南贡嘎县德吉路1号,--,西藏
103774226106,中国农业银行贡嘎县甲竹林分理处,0891-6182173,850700,西藏山南贡嘎县甲竹林镇,SWIFT CODE,西藏
103774323002,中国农业银行桑日县支行,0893-7312101,856200,西藏山南桑日县奴卡路4号,--,西藏
103774424009,中国农业银行琼结县支行,0893-7352220,856800,西藏山南琼结县松赞路13号,--,西藏
103774529105,中国农业银行曲松县支行,0893-7332100,856300,西藏山南曲松县玉拓路2号,--,西藏
103774620007,中国农业银行措美县支行,0893-7402217,856900,西藏山南措美县当许路4号,--,西藏
103774729208,中国农业银行洛扎县支行,0893-7372103,851200,西藏山南洛扎县嘎波中路2号,--,西藏
103774822004,中国农业银行加查县支行,0893-7322212,856400,西藏山南加查县冲巴街6号,--,西藏
103774921002,中国农业银行隆子县支行,0893-7342258,856600,西藏山南隆子县格列路2号,--,西藏
103775029309,中国农业银行错那县支行,0893-7302868,856700,西藏山南错那县错那镇,--,西藏
103775129400,中国农业银行浪卡子县支行,0893-7382101,851100,西藏山南浪卡子县推西路8号,--,西藏
103776067003,中国农业银行日喀则市支行,0892-8822250,857000,西藏日喀则市雪强路8号,--,西藏
103776068006,中国农业银行日喀则地区中心支行,0892-8823417,857000,西藏日喀则市上海中路31号,--,西藏
103776069009,中国农业银行股份有限公司日喀则分行运营管理部（不对外办理业务,8928822342,857000,日喀则市上海中路2号,--,西藏
103776163003,中国农业银行南木林县支行,0892-8342182,857100,西藏日喀则地区南木林县人民路3号,--,西藏
103776266000,中国农业银行江孜县支行,0892-8172080,857400,西藏日喀则地区江孜县卫国路5号,--,西藏
103776369102,中国农业银行股份有限公司定日县支行,0892-8262209,858200,西藏日喀则地区定日协格尔南路6号,--,西藏
103776454005,中国农业银行萨迦县支行,0892-8242103,857800,西藏日喀则地区萨迦县宝钢中路,--,西藏
103776565000,中国农业银行股份有限公司拉孜县支行,8928322138,858100,西藏日喀则地区拉孜县曲下镇嘉定路7号,--,西藏
