bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102701000019,中国工商银行贵阳市中西支行,0851-5840134,550001,贵州省贵阳市中山西路30号,SWIFT CODE,贵州
102701000027,中国工商银行贵阳市东山支行,0851-5650653,550002,贵州省贵阳市宝山北路2号,SWIFT CODE,贵州
102701000035,中国工商银行贵阳市中华路支行,0851-5815874,550001,贵州省贵阳市省府路1号,SWIFT CODE,贵州
102701000043,中国工商银行股份有限公司贵阳中山支行,0851-5931546,550003,贵州省贵阳市中山东路125号,SWIFT CODE,贵州
102701000051,中国工商银行贵阳市云岩支行,0851-6871377,550001,贵州省贵阳市延安东路7号,SWIFT CODE,贵州
102701000060,中国工商银行贵阳市瑞北支行马王庙分理处,0851-4762583,550008,贵州省贵阳市马王街30号,SWIFT CODE,贵州
102701000078,中国工商银行贵阳市瑞北支行三桥分理处,0851-4842536,550008,贵州省贵阳市三桥北路141号,SWIFT CODE,贵州
102701000086,中国工商银行贵阳市瑞北支行汽车站分理处,0851-5973767,550001,贵州省贵阳市延安西路170号,SWIFT CODE,贵州
102701000094,中国工商银行贵阳市云岩支行省新分理处,0851-6830415,550002,贵州省贵阳市中华北路125号,SWIFT CODE,贵州
102701000109,中国工商银行贵阳市瑞北支行,0851-6836312,550001,贵州省贵阳市瑞金北路148号,SWIFT CODE,贵州
102701000117,中国工商银行贵阳市南明支行,0851-5815737,550002,贵州省贵阳市中华南路86号,SWIFT CODE,贵州
102701000125,中国工商银行贵阳市南明支行遵义路分理处,0851-5577746,550002,贵州省贵阳市遵义路38号,SWIFT CODE,贵州
102701000133,中国工商银行贵阳市南明支行油榨街分理处,0851-5511794,550002,贵州省贵阳市油榨街分理处,SWIFT CODE,贵州
102701000141,中国工商银行贵阳市南明支行南厂分理处,0851-5796622,550002,贵州省贵阳市解放路75号,SWIFT CODE,贵州
102701000150,中国工商银行贵阳市南明支行火车站分理处,0851-5796029,550002,贵州省贵阳市遵义路324号,SWIFT CODE,贵州
102701000168,中国工商银行贵阳市贵溪支行,0851-5966053,550003,贵州省贵阳市花溪大道北段60号,SWIFT CODE,贵州
102701000176,中国工商银行贵阳市贵溪支行甘荫塘分理处,0851-3810106,550006,贵州省贵阳市花溪大道中段69号,SWIFT CODE,贵州
102701000184,中国工商银行贵阳市小河支行,0851-3832857,550006,贵州省贵阳市小河黄河路303号,SWIFT CODE,贵州
102701000192,中国工商银行贵阳市乌当区支行,0851-6462445,550018,贵州省贵阳市新天大道216号,SWIFT CODE,贵州
102701000205,中国工商银行贵阳市南明支行机场分理处,0851-5498737,550002,贵州省贵阳市龙洞堡机场,SWIFT CODE,贵州
102701000213,中国工商银行贵阳市乌当区支行新添寨分理处,0851-6302137,550018,贵州省贵阳市贵开路13公里,SWIFT CODE,贵州
102701000221,中国工商银行贵阳市花溪区支行,0851-3851092,550025,贵州省贵阳市清溪路128号,SWIFT CODE,贵州
102701000230,中国工商银行贵阳市白云区支行,0851-4832452,550014,贵州省贵阳市白云中路40号,SWIFT CODE,贵州
102701000248,中国工商银行贵阳市白云区支行龚家寨分理处,0851-4861234,550014,贵州省贵阳市白云区龚西88号,SWIFT CODE,贵州
102701000256,中国工商银行贵阳市金桥支行,0851-6787602,550001,贵州省贵阳市陕西路8号,SWIFT CODE,贵州
102701000264,中国工商银行贵阳市中南支行,0851-5840956,550001,贵州省贵阳市中华中路345号,SWIFT CODE,贵州
102701000272,中国工商银行贵阳市万东支行,0851-5964132,550003,贵州省贵阳市瑞金中路41号,SWIFT CODE,贵州
102701000289,中国工商银行贵阳市甲秀支行,0851-5526127,550002,贵州省贵阳市新华路12号,SWIFT CODE,贵州
102701000297,中国工商银行贵阳市中西支行市西分理处,0851-5960315,550003,贵州省贵阳市浣沙路175号,SWIFT CODE,贵州
102701000301,中国工商银行贵阳市花溪支行中曹分理处,0851-5160335,550006,贵州省贵阳市中曹司,SWIFT CODE,贵州
102701000310,中国工商银行股份有限公司贵阳太慈桥支行,0851-5111881,550003,贵阳市花溪大道北段560号（新发建材商城）,SWIFT CODE,贵州
102701000328,中国工商银行贵阳市小河支行二戈寨分理处,0851-3929242,550011,贵州省贵阳市二戈寨富源路31号,SWIFT CODE,贵州
102701000336,中国工商银行贵阳市南明支行西湖路分理处,0851-5611287,550002,贵州省贵阳市观水路11号,SWIFT CODE,贵州
