bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102221000010,中国工商银行沈阳市市府大路支行,024-22711782,110013,辽宁省沈阳市沈河区市府大路261号,SWIFT CODE,辽宁
102221000028,中国工商银行新民市支行,024-87851501,110300,辽宁省新民市迎宾街9号,SWIFT CODE,辽宁
102221000036,中国工商银行沈阳市辽中县支行,024-87882758,110200,辽宁省沈阳市辽中县商业大街83号,SWIFT CODE,辽宁
102221000044,中国工商银行沈阳市苏家屯支行,024-89812219,110101,辽宁省沈阳市苏家屯区枫杨路46号,SWIFT CODE,辽宁
102221000069,中国工商银行沈阳市中兴分理处,024-89153954,110102,辽宁省沈阳市苏家屯区惠兰一街,SWIFT CODE,辽宁
102221000077,中国工商银行沈阳沈北支行,024-89862614,110121,辽宁省沈阳市沈北新区中央路30号,SWIFT CODE,辽宁
102221000085,中国工商银行沈阳沈北支行虎石台分理处,024-89872283,110122,辽宁省沈阳市沈北新区虎石台镇建设路44号,SWIFT CODE,辽宁
102221000093,中国工商银行沈阳沈北支行道义开发区分理处,024-89736305,110136,辽宁省沈阳市沈北新区道义乡,SWIFT CODE,辽宁
102221000116,中国工商银行沈阳市市府大路支行贸易中心分理处,024-88538759,110041,辽宁省沈阳市大东区小北关街31号,SWIFT CODE,辽宁
102221000124,中国工商银行沈阳市银信支行,024-22827175,110002,辽宁省沈阳市和平区和平北大街48号,SWIFT CODE,辽宁
102221000149,中国工商银行沈阳市常德支行,024-23252435,110001,辽宁省沈阳市和平北大街178巷1号,SWIFT CODE,辽宁
102221000157,中国工商银行沈阳市新北支行,024-22529888-0208,110013,辽宁省沈阳市沈河区友好大街9号,SWIFT CODE,辽宁
102221000204,中国工商银行沈阳市南站支行,024-23834816,110001,辽宁省沈阳市和平区中华路118号,SWIFT CODE,辽宁
102221000212,中国工商银行沈阳青年大街支行,024-23933484,110014,辽宁省沈阳市沈河区文艺路44号,SWIFT CODE,辽宁
102221000229,中国工商银行沈阳铁路支行,024-62103631,110001,辽宁省沈阳市和平区太原北街15号甲,SWIFT CODE,辽宁
102221000237,中国工商银行沈阳总站路支行,024-62103629,110002,辽宁省沈阳市和平区总站路100号,SWIFT CODE,辽宁
102221000253,中国工商银行沈阳浑南支行,024-23906905,110003,辽宁省沈阳市和平区三好街33号,SWIFT CODE,辽宁
102221000288,中国工商银行沈阳市南京街支行,024-23414639,110001,辽宁省沈阳市和平区南京北街88号,SWIFT CODE,辽宁
102221000307,中国工商银行沈阳南市支行,024-22828687,110003,辽宁省沈阳市和平区十一纬路96号,SWIFT CODE,辽宁
102221000315,中国工商银行沈阳市南站支行南五马路分理处,024-23501814,110005,辽宁省沈阳市和平区南宁南街78号,SWIFT CODE,辽宁
102221000323,中国工商银行沈阳市中华路分理处,024-23864837,110001,辽宁省沈阳市和平区同泽南街28号,SWIFT CODE,辽宁
102221000331,中国工商银行沈阳市北市支行,024-22824739,110002,辽宁省沈阳市和平区市府大路151号,SWIFT CODE,辽宁
102221000340,中国工商银行沈阳市中山广场支行,024-23834423,110001,辽宁省沈阳市和平区中山路104号,SWIFT CODE,辽宁
102221000358,中国工商银行沈阳文化路支行,024-23908313,110003,辽宁省沈阳市和平区文翠路6甲12号,SWIFT CODE,辽宁
