bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102653000013,中国工商银行重庆市朝天门支行,023-63788197,400011,重庆市渝中区新重庆广场金融中心F1层,SWIFT CODE,重庆
102653000021,中国工商银行重庆市解放碑支行,6530,400010,重庆市渝中区民族路177号,SWIFT CODE,重庆
102653000030,中国工商银行重庆市储奇门支行,6530,400010,重庆市渝中区解放东路351号,SWIFT CODE,重庆
102653000048,中国工商银行重庆市两路口支行,6530,400010,重庆市渝中区中二路159号,SWIFT CODE,重庆
102653000056,中国工商银行重庆市七星岗支行,6530,400010,重庆市渝中区中山一路208号,SWIFT CODE,重庆
102653000064,中国工商银行重庆市大溪沟支行,6530,400010,重庆市渝中区人民路53号,SWIFT CODE,重庆
102653000072,中国工商银行重庆市上清寺支行,6530,400010,重庆市渝中区中三路172号,SWIFT CODE,重庆
102653000089,中国工商银行重庆市较场口支行,6530,400010,重庆市渝中区较场口88号,SWIFT CODE,重庆
102653000097,中国工商银行重庆市大坪支行,6530,400010,重庆市渝中区长江二路81？8号,SWIFT CODE,重庆
102653000101,中国工商银行股份有限公司重庆解放碑支行渝都储蓄所,023-63810882,400010,重庆市渝中区民族路177号,SWIFT CODE,重庆
102653000110,中国工商银行重庆市分行国际业务部,023-63702191,400010,重庆市渝中区邹容路82号,SWIFT CODE,重庆
102653000128,中国工商银行重庆市高科技支行,023-68791836,400039,重庆市渝州路50号,SWIFT CODE,重庆
102653000136,中国工商银行股份有限公司重庆朝天门支行民族路分理处,023-63841395,400011,重庆市渝中区新华路７６号,SWIFT CODE,重庆
102653000144,中国工商银行重庆市建新东路支行,6530,400020,重庆市江北区建新东路28号,SWIFT CODE,重庆
102653000152,中国工商银行重庆市刘家台支行,6530,400020,重庆市江北区合作村162号,SWIFT CODE,重庆
102653000169,中国工商银行股份有限公司重庆大石坝支行,023-67078085,400021,重庆市江北区大石坝七村10号,SWIFT CODE,重庆
102653000177,中国工商银行股份有限公司重庆五里店支行,023-67855049,400023,重庆市江北区建新东路87附1号,SWIFT CODE,重庆
102653000185,中国工商银行重庆市建新北路支行,6530,400020,重庆市江北区建新北路37号,SWIFT CODE,重庆
102653000216,中国工商银行重庆市南岸区支行上新街分理处,023-62871495,400064,重庆市南岸区上新街前驱路275号,SWIFT CODE,重庆
102653000224,中国工商银行重庆市南岸区支行弹子石分理处,023-62513124,400061,重庆市南岸区弹子石新街13号,SWIFT CODE,重庆
102653000232,中国工商银行重庆市南坪支行,6530,400060,重庆市南岸区南坪西路5号,SWIFT CODE,重庆
102653000249,中国工商银行股份有限公司重庆南岸学府支行,023-62751286,400067,重庆市南岸区学府大道22号,SWIFT CODE,重庆
102653000257,中国工商银行重庆市三峡广场支行,6530,400030,重庆市沙坪坝区小龙坎新街78号,SWIFT CODE,重庆
102653000265,中国工商银行重庆市沙坪坝区支行双碑分理处,023-65199926,400032,重庆市沙坪坝区双碑自由村20号,SWIFT CODE,重庆
102653000273,中国工商银行重庆市沙坪坝区支行天星桥分理处,023-65409689,400030,重庆市沙坪坝区天星桥正街63号附10号,SWIFT CODE,重庆
102653000281,中国工商银行重庆市小龙坎支行,6530,400030,重庆市沙坪坝区小龙坎新街47号,SWIFT CODE,重庆
102653000290,中国工商银行重庆市九龙坡区支行黄桷坪分理处,023-68507275,400053,重庆市黄桷坪新建路1号,SWIFT CODE,重庆
102653000304,中国工商银行重庆市中梁山支行,6530,400050,重庆市中梁山田坝二村60幢,SWIFT CODE,重庆
102653000312,中国工商银行股份有限公司重庆西彭支行,023-65805463,401326,重庆市九龙坡区西彭镇东大街七村2号,SWIFT CODE,重庆
102653000329,中国工商银行重庆市杨家坪支行,6530,400050,重庆市九龙坡区杨家坪珠江路20号,SWIFT CODE,重庆
102653000345,中国工商银行股份有限公司重庆石桥铺支行,023-68612691,400039,重庆市九龙坡区石场路17号,SWIFT CODE,重庆
102653000353,中国工商银行重庆市九龙坡区支行石坪桥分理处,023-68660094,400051,重庆市九龙坡区石坪桥横街6号,SWIFT CODE,重庆
102653000361,中国工商银行股份有限公司重庆新山村支行,023-68839859,400084,重庆市大渡口区钢花路568号,SWIFT CODE,重庆
102653000370,中国工商银行股份有限公司重庆茄子溪支行,023-68554195,400082,重庆市大渡口区茄子溪新街224号,SWIFT CODE,重庆
102653000388,中国工商银行股份有限公司重庆钢花路支行,023-68835706,400084,重庆市大渡口区钢花路350号,SWIFT CODE,重庆
102653000396,中国工商银行重庆市巴南区支行李家沱分理处,023-62850347,400054,重庆市李家沱马王坪正街8号,SWIFT CODE,重庆
102653000407,中国工商银行重庆市鱼洞支行,6530,400000,重庆市巴南区鱼洞镇解放街2号,SWIFT CODE,重庆
102653000415,中国工商银行重庆市巴南区支行炒油场分理处,023-62580033,400056,重庆市巴南区花溪镇民主新村附1栋1？1号,SWIFT CODE,重庆
102653000423,中国工商银行重庆市大江支行,6530,400000,重庆市巴南区大江车辆总厂石羊街93？1号,SWIFT CODE,重庆
102653000431,中国工商银行重庆市两路支行,6530,401100,重庆市渝北区两路镇胜利路53号,SWIFT CODE,重庆
102653000440,中国工商银行股份有限公司重庆长寿支行洛碛分理处,023-67381349,401137,重庆市渝北区洛碛镇药川路42号,SWIFT CODE,重庆
102653000466,中国工商银行股份有限公司重庆龙溪支行,023-67613160,401147,重庆市渝北区龙溪街道松桥路30号,SWIFT CODE,重庆
102653000474,中国工商银行重庆市朝阳支行,6530,400700,重庆市北碚区中山路2号,SWIFT CODE,重庆
102653000482,中国工商银行重庆市北碚区支行歇马分理处,023-68242043,400712,重庆市北碚区歇马路60号,SWIFT CODE,重庆
102653000503,中国工商银行重庆市北碚区支行水土分理处,023-68230225,400714,重庆市北碚区水土镇新华路25号,SWIFT CODE,重庆
102653000511,中国工商银行重庆市北碚区支行碚峡路分理处,023-68862792,400700,重庆市北碚区碚峡路207号,SWIFT CODE,重庆
102653000520,中国工商银行重庆市万盛区支行万盛分理处,023-48272244,400800,重庆市万盛区万新路45号,SWIFT CODE,重庆
102653000538,中国工商银行重庆市万盛区支行鱼田堡分理处,023-48340737,400802,重庆市万盛区东林一村96号,SWIFT CODE,重庆
102653000546,中国工商银行股份有限公司重庆双桥支行,023-43382300,400900,重庆市双桥区双龙东路1号,SWIFT CODE,重庆
102653000554,中国工商银行股份有限公司重庆凤城支行,023-40247305,401220,重庆市长寿区凤城街道办事处向阳路7号渝东大厦底楼,SWIFT CODE,重庆
102653000562,中国工商银行重庆市长寿县支行关口分理处,023-40514453,401220,重庆市长寿县凤城镇上东街169号,SWIFT CODE,重庆
102653000587,中国工商银行重庆市长寿县支行川维分理处,023-40760524,401254,重庆市长寿县朱家镇查家湾1号,SWIFT CODE,重庆
102653000595,中国工商银行股份有限公司綦江支行,023-48662195,401420,重庆市綦江县古南镇中山路10号,SWIFT CODE,重庆
102653000626,中国工商银行重庆市綦江县支行四钢分理处,023-48249650,401431,重庆市綦江县东源股份公司厂区,SWIFT CODE,重庆
102653000634,中国工商银行重庆市綦江县支行打通分理处,023-48731785,401445,重庆市綦江县打通镇红星二村11幢,SWIFT CODE,重庆
102653000642,中国工商银行股份有限公司重庆永川支行,023-49863642,402160,重庆永川市中山大道中段594号,SWIFT CODE,重庆
102653000659,中国工商银行重庆市几江支行,023-67821551,402260,重庆市江津市几江镇布市街40号,SWIFT CODE,重庆
102653000667,中国工商银行重庆市江津市支行东方红分理处,023-47221073,402263,重庆市江津市德感镇东方红厂区,SWIFT CODE,重庆
