bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102791000023,中国工商银行西安市城南支行,029-8378235,710068,陕西省西安市南二环西段5号一层（捷瑞智能大厦）,SWIFT CODE,陕西
102791000031,中国工商银行西安经济技术开发区支行,029-86522805,710016,西安市未央路142号,SWIFT CODE,陕西
102791000040,中国工商银行西安市东新街支行,029-7231161,710004,陕西省西安市东新街395号,SWIFT CODE,陕西
102791000058,中国工商银行西安南大街支行,029-7272371,710002,陕西省西安市西木头市9号,SWIFT CODE,陕西
102791000066,中国工商银行西安市解放路支行,029-7426967,710004,陕西省西安市解放路288号,SWIFT CODE,陕西
102791000074,中国工商银行西安市太华路支行,029-6724502,710015,陕西省西安市太华路117号,SWIFT CODE,陕西
102791000082,中国工商银行西安自强东路分理处,029-6252397,710015,陕西省西安市自强东路571号,SWIFT CODE,陕西
102791000099,工行陕西省西安长缨路支行,029-82517334,710032,陕西省西安市新城区长缨东路381号,SWIFT CODE,陕西
102791000103,中国工商银行西安民乐园支行,029-7407349,710004,陕西省西安市解放路25号,SWIFT CODE,陕西
102791000111,中国工商银行西安市解放路支行第四军医大学分理处,029-2538975,710032,陕西省西安市长乐西路155号,SWIFT CODE,陕西
102791000120,中国工商银行西安市东大街支行,029-7215951,710001,陕西省西安市东大街347号,SWIFT CODE,陕西
102791000138,中国工商银行西安南院门支行,029-7264207,710003,陕西省西安市南院门9号,SWIFT CODE,陕西
102791000146,中国工商银行西安东关支行,029-7215561,710048,陕西省西安市东关正街21号,SWIFT CODE,陕西
102791000154,中国工商银行西安和平路支行,029-7417946,710003,陕西省西安市和平路东九道巷7号,SWIFT CODE,陕西
102791000162,中国工商银行西安互助路支行,029-3232210,710048,陕西省西安市互助路3号,SWIFT CODE,陕西
102791000179,中国工商银行西安市北大街支行,029-7201291,710003,陕西省西安市西华门1号,SWIFT CODE,陕西
102791000187,工行陕西省西安莲湖路支行,029-87266703,710013,陕西省西安市莲湖路14号,SWIFT CODE,陕西
102791000195,工行陕西省西安北关支行,029-86253652,710014,陕西省西安市北关正街102号,SWIFT CODE,陕西
102791000200,中国工商银行西安西大街支行,029-7624719,710003,陕西省西安市西大街378号,SWIFT CODE,陕西
102791000218,中国工商银行西安星火路支行,029-6227534,710014,陕西省西安市星火路39号,SWIFT CODE,陕西
102791000226,中国工商银行西安市南关支行,029-5237778,710061,陕西省西安市长安北路甲字1号,SWIFT CODE,陕西
102791000234,中国工商银行西安小寨支行,029-5238832,710061,陕西省西安市长安中路96号,SWIFT CODE,陕西
102791000242,中国工商银行西安雁塔路支行,029-5514221,710054,陕西省西安市雁塔路北段11号,SWIFT CODE,陕西
102791000259,中国工商银行西安含光路支行,029-8420778,710068,陕西省西安市友谊西路225号,SWIFT CODE,陕西
102791000267,中国工商银行西安铁路局支行,029-2232049,710054,陕西省西安市友谊东路33号,SWIFT CODE,陕西
102791000275,中国工商银行西安电子工业区支行,029-8218109,710065,陕西省西安市电子二路68号,SWIFT CODE,陕西
102791000283,中国工商银行西安大雁塔支行,029-85534377,710054,陕西省西安市雁塔路南段2号,SWIFT CODE,陕西
102791000291,中国工商银行西安市土门支行,029-4241681,710077,陕西省西安市沣镐东路229号,SWIFT CODE,陕西
102791000306,工行陕西省西安西关支行,029-8622143,710082,陕西省西安市西关正街232号,SWIFT CODE,陕西
102791000314,工行陕西省西安三桥支行,029-84510573,710086,陕西省西安市三桥新街119号,SWIFT CODE,陕西
