bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102851000026,中国工商银行青海省分行业务处理中心,0971-6115907,810001,青海省西宁市胜利路2号,SWIFT CODE,青海
102851000034,中国工商银行股份有限公司西宁城东支行,0971-8149203,810007,青海省西宁市建国路58号,SWIFT CODE,青海
102851000059,中国工商银行股份有限公司西宁城北支行,0971-5130267,810003,青海省西宁市城北区小桥大街15号,SWIFT CODE,青海
102851000067,中国工商银行股份有限公司西宁西大街支行,0971-8210892,810000,青海省西宁市西大街16号,SWIFT CODE,青海
102851000075,中国工商银行股份有限公司西宁胜利路支行,9716153397,810001,青海省西宁市胜利路10号,SWIFT CODE,青海
102851000114,中国工商银行股份有限公司西宁城西支行,0971-6157577,810001,青海省西宁市西大街29号,SWIFT CODE,青海
102851000139,中国工商银行股份有限公司西宁五四大街支行,0971-6101546,810001,西宁市五四大街72号,SWIFT CODE,青海
102851000147,中国工商银行股份有限公司西宁团结桥支行,0971-8013819,810007,青海省西宁市城东区八一东路33号10号楼4室,SWIFT CODE,青海
102851000155,中国工商银行股份有限公司西宁城中支行,0971-8248028,810000,青海省西宁市东大街114号,SWIFT CODE,青海
102851000198,中国工商银行股份有限公司西宁西川支行,0971-5218173,810005,青海省西宁市柴达木路475号,SWIFT CODE,青海
102851000325,中国工商银行股份有限公司西宁大通支行,0971-2722438,810100,青海省大通县人民路17号,SWIFT CODE,青海
102851000350,中国工商银行股份有限公司西宁西门口支行,9718232473,810001,青海省西宁市城中区西大街49号,SWIFT CODE,青海
102851000489,中国工商银行股份有限公司西宁中心广场支行,0971-6100814,810001,青海省西宁市胜利路2号,SWIFT CODE,青海
102851000497,中国工商银行股份有限公司西宁青铝支行,0971-2722381,810108,青海省大通县宁张公路28公里,SWIFT CODE,青海
102851000624,中国工商银行股份有限公司西宁城北支行马坊分理处,0971-5220020,810017,青海省西宁市城北区柴达木路610号,SWIFT CODE,青海
102851001537,中国工商银行股份有限公司西宁虎台支行,0971-6300243,810008,青海省西宁市五四路2号,SWIFT CODE,青海
102851001834,中国工商银行股份有限公司西宁经济技术开发区支行,0971-8816017,810007,青海省西宁市开发区金汇路29号,SWIFT CODE,青海
102851002683,中国工商银行股份有限公司西宁中心广场支行宁新分理处,9716313044,810001,青海省西宁市城西区胜利路89号,SWIFT CODE,青海
102851003514,中国工商银行平安县支行,0972-8614214,810600,青海省平安县湟中路2号,SWIFT CODE,青海
102851003555,中国工商银行乐都县支行,0972-8626151,810700,青海省乐都县东巷街196号,SWIFT CODE,青海
102851003602,中国工商银行民和回族土族自治县支行,0972-8522504,810800,青海省民和县新城街19号,SWIFT CODE,青海
102851003651,中国工商银行股份有限公司西宁湟中支行,0971-8232397,811600,青海省湟中县131号,SWIFT CODE,青海
102851003750,中国工商银行互助土族自治县支行,0972-8322542,810500,青海省互助县北街14号,SWIFT CODE,青海
102851003928,中国工商银行青海省分行计划财务处,0971-6146359,810001,青海省西宁市胜利路2号,SWIFT CODE,青海
102851004046,中国工商银行德令哈市支行,0977-8222637,817000,青海省德令哈市青新路32号,SWIFT CODE,青海
102851004159,中国工商银行格尔木市支行,0977-8413351,816000,青海省格尔木市江沅路,SWIFT CODE,青海
102851004167,中国工商银行格尔木市支行南郊办事处,0977-8463019,816000,青海省格尔木市盐桥南路43号,SWIFT CODE,青海
102851004175,中国工商银行格尔木市支行昆仑路办事处,0977-8415267,816000,青海省格尔木市信一路2号,SWIFT CODE,青海
102851004191,中国工商银行格尔木市支行炼油厂办事处,0977-8421417,816000,青海省格尔木市炼油厂生活区,SWIFT CODE,青海
102851004206,中国工商银行大柴旦支行,0977-8281218,816000,青海省大柴旦镇人民路14号,SWIFT CODE,青海
102851004214,中国工商银行大柴旦支行锡铁山办事处,0977-8208129,817303,青海省大柴旦锡铁山,SWIFT CODE,青海
102851004302,中国工商银行乌兰县支行,0977-8241105,817100,青海省乌兰县希里沟镇,SWIFT CODE,青海
102852003510,中国工商银行股份有限公司海东分行,0972-8614214,810600,青海省平安县湟中路2号,--,青海
102852203606,中国工商银行股份有限公司民和支行,0972-8522504,810800,青海省民和县新城街19号,--,青海
102852303553,中国工商银行股份有限公司乐都支行,0972-8626151,810700,青海省乐都县东巷街196号,--,青海
102852603755,中国工商银行股份有限公司互助支行,0972-8322542,810500,青海省互助县北街14号,--,青海
102859004040,中国工商银行股份有限公司德令哈支行,0977-8222637,817000,青海省德令哈市青新路32号,--,青海
102859004200,中国工商银行股份有限公司大柴旦支行,0977-8281218,816000,青海省大柴旦镇人民路14号,--,青海
102859102027,中国工商银行股份有限公司格尔木昆仑路支行,0977-8412723,816000,青海省格尔木市昆仑路102号,--,青海
102859102043,中国工商银行股份有限公司格尔木博爱支行,9798415353,816000,青海省格尔木昆仑路86号,--,青海
102859102051,中国工商银行股份有限公司格尔木站前支行,0979-8482807,816000,青海省格尔木市站前二路46号,--,青海
102859102060,中国工商银行股份有限公司格尔木盐湖支行,9798417163,816000,青海省格尔木钾肥厂院内,--,青海
102859102109,中国工商银行股份有限公司格尔木河西支行,9718482031,816000,青海省格尔木市盐桥中路4号,--,青海
102859102141,中国工商银行股份有限公司格尔木盐桥路支行,0979-8482807,816000,格尔木市盐桥路58号,--,青海
102859104153,中国工商银行股份有限公司格尔木支行,0977-8413351,816000,青海省格尔木市江沅路,--,青海
102859104161,中国工商银行股份有限公司格尔木南郊支行,0977-8463019,816000,青海省格尔木市盐桥南路43号,--,青海
102859104196,中国工商银行股份有限公司格尔木炼油厂支行,0977-8421417,816000,青海省格尔木市炼油厂生活区,--,青海
103851000104,中国农业银行青海省分行营业部,0971-6145731,810000,青海省西宁市长江路72号,SWIFT CODE,青海
103851000112,中国农业银行股份有限公司西宁支行,0971-8234895,810000,青海省西宁市城中区长江路67号,SWIFT CODE,青海
103851000207,中国农业银行西宁市黄河路支行,0971-6135989,810000,青海省西宁市黄河路96号,SWIFT CODE,青海
103851000303,中国农业银行西宁市七一路支行,0971-6175049,810007,青海省西宁市七一路197号,SWIFT CODE,青海
103851000602,中国农业银行股份有限公司西宁市城南新区支行,0971-6510401,810021,青海省西宁市城南新区南京路42-32号,SWIFT CODE,青海
103851001003,中国农业银行西宁市城东支行,0971-8177482,810007,青海省西宁市东关大街4号,SWIFT CODE,青海
103851002209,中国农业银行股份有限公司西宁支行东关大街分理处,0971-8177428,810007,青海省西宁市城东区东关大街4号,SWIFT CODE,青海
103851004001,中国农业银行西宁市城西支行,0971-6155861,810008,青海省西宁市五四大街80号,SWIFT CODE,青海
103851004108,中国农业银行股份有限公司西宁支行南川西路分理处,0971-6267286,810012,青海省西宁市城中区南川西路53-31号,SWIFT CODE,青海
103851004307,中国农业银行股份有限公司西宁支行交通巷分理处,0971-6152092,810008,西宁市城西区交通巷4号,SWIFT CODE,青海
103851004809,中国农业银行股份有限公司西宁支行五四大街分理处,0971-6252723,810008,西宁市五四大街80号,SWIFT CODE,青海
103851007000,中国农业银行西宁市城中支行,0971-8227609,810000,青海省西宁市南关街19号,SWIFT CODE,青海
103851007309,中国农业银行股份有限公司西宁支行北大街分理处,0971-8237362,810000,西宁市城中区北大街17号,SWIFT CODE,青海
103851008002,中国农业银行股份有限公司西宁支行南山路分理处,0971-8249324,810000,西宁市城中区南山路16号,SWIFT CODE,青海
103851010003,中国农业银行西宁市城北支行,0971-5134380,810003,青海省西宁市小桥大街37号,SWIFT CODE,青海
103851010302,中国农业银行股份有限公司西宁支行物流园分理处,0971-5500702,810028,青海省西宁市城北区朝阳东路34-2号,SWIFT CODE,青海
103851010505,中国农业银行股份有限公司西宁支行二十里铺分理处,0971-5310082,810013,青海省西宁市城北区宁张路75号,SWIFT CODE,青海
103851013001,中国农业银行西宁市湟中支行,0971-2232437,811600,青海省湟中县团结南路20号,SWIFT CODE,青海
103851016000,中国农业银行西宁市大通支行,0971-2723671,810100,青海省大通县人民路41号,SWIFT CODE,青海
103851018005,中国农业银行西宁市湟源支行,0971-2432703,812100,青海省湟源县东大街94号,SWIFT CODE,青海
103851099995,中国农业银行股份有限公司青海省分行资金清算中心,0971-6122390,810000,青海省西宁市黄河路96号,SWIFT CODE,青海
103852020006,中国农业银行海东分行营业部,0972-8613557,810600,青海省平安县平安镇平安路25号,--,青海
103852100010,中国农业银行平安支行（不办理业务）,0972-123456,810600,青海省行平安,--,青海
103852223001,中国农业银行民和县支行,0972-8522706,810800,青海省民和县川口镇北大街6号,--,青海
103852322000,中国农业银行乐都县支行,0972-8620249,810700,青海省乐都县古城大街82号,--,青海
103852621000,中国农业银行互助县支行,0972-8322287,810500,青海省互助县威远镇北街8号,--,青海
103852725004,中国农业银行化隆县支行,0972-8712369,810900,青海省化隆县巴燕镇西大街90号,--,青海
103852824000,中国农业银行循化县支行,0972-8812161,811100,青海省循化县积石镇生产街74号,--,青海
103854030000,中国农业银行海北分行营业部,0970-8612373,810200,青海省海北州西海镇大街30号,--,青海
103854131009,中国农业银行门源县支行,0970-8612373,810300,青海省门源县浩门镇东大街北小巷1号,--,青海
103854131105,中国农业银行青石嘴办（不办理业务）,0970-456123,813010,青海省门源县青石嘴镇,--,青海
103854232002,中国农业银行股份有限公司祁连县支行,9708672267,810400,青海省祁连县八宝镇,--,青海
103854300014,中国农业银行海晏支行（不办理业务）,0970-123456,810300,青海省行海晏县,--,青海
103854330109,中国农业银行股份有限公司海晏县支行,9708631026,812200,青海省海晏县和平路4号,--,青海
103854433001,中国农业银行股份有限公司刚察县支行,9708652366,812300,青海省刚查县西大街55号,--,青海
103855060505,中国农业银行黄南分行营业部,0973-8722133,811300,青海省同仁县隆务镇中山路1号,--,青海
103855261002,中国农业银行尖扎支行（不办理业务）,0973-123456,811310,青海省尖扎县,--,青海
103855262005,中国农业银行李家峡支行（不办理业务）,0970-321654,811320,青海省行李家峡,--,青海
103855363004,中国农业银行泽库支行（不办理业务）,0973-987654,811300,青海省行泽库县,--,青海
