bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
989584000304,(香港地区)渣打银行（香港）有限公司,(852)22828419,852,香港中环德辅道中4至4号A,--,香港
989584000407,(香港地区)香港上海汇丰银行有限公司,(852)28223932,852,香港中环皇后大道中1号,--,香港
989584000503,(香港地区)东方汇理银行香港分行,85228267333,852,太古广场第2期26-27楼29-30号,--,香港
989584000600,(香港地区)花旗银行,(852)28688888,852,香港花园道3号万国宝通银行大厦50楼,--,香港
989584000706,(香港地区)JPMorgan_Chase_Bank_HK,28005178,852,18F_JPMorgan_Tower_Shatin,--,香港
989584000802,(香港地区)Royal_Bk_of_Scotland_HK,(852)27005867,852,香港中环皇后大道中2号长江集团中心38楼,--,香港
989584000909,(香港地区)中国建设银行(亚洲)股份有限公司,(852)28476936,852,香港中环金融街八号国际金融中心二期四十一楼,--,香港
989584001104,(香港地区)美国运通银行,(852)22773773,852,香港金钟道88号太古广场第一期36楼,--,香港
989584001207,(香港地区)中国银行（香港）有限公司,(852)28266888,852,香港中环花园道1号中银大厦14楼,--,香港
989584001506,(香港地区)东亚银行有限公司,(852)28353174,852,香港中环德辅道中10号东亚银行大厦,--,香港
989584001602,(香港地区)星展银行(香港)有限公司,(852)22188850,852,香港中环皇后大道中99号中环中心11楼,--,香港
989584001805,(香港地区)中信银行国际有限公司,(852)22876154,852,香港德辅道中232号嘉华银行中心,--,香港
989584002003,(香港地区)永隆银行有限公司,(852)28268275,852,香港德辅道中43-49号,--,香港
989584002100,(香港地区)丰明银行有限公司,(852)31013286,852,香港湾仔告士打道108号大新金融中心33楼,--,香港
989584002206,(香港地区)华侨银行,852-28406200,344,中环皇后大道中九号九楼,--,香港
989584002409,(香港地区)恒生银行有限公司,(852)21985180,852,中环德辅道中83号恒生银行大厦,--,香港
989584002505,(香港地区)上海商业银行有限公司,(852)28415223,852,香港皇后大道中12号,--,香港
989584002708,(香港地区)交通银行香港分行,(852)28419520,852,香港中环毕打街20号,--,香港
989584002804,(香港地区)大众银行(香港)有限公司,(852)25419222,852,香港中环德辅道中120号,--,香港
