bank_no,bank_name,mobile,zip_code,address,swift_code,bank_province
102261000018,中国工商银行黑龙江省分行清算中心（不对外办理业务）,0451-84668459,150010,哈尔滨市道里区中央大街218号,SWIFT CODE,黑龙江
102261001002,中国工商银行黑龙江省分行营业部清算中心,0451-4832553,150076,哈尔滨市道里区河洛街7号,SWIFT CODE,黑龙江
102261001019,中国工商银行黑龙江省分行营业部,0451-4832553,150076,哈尔滨市道里区河洛街7号,SWIFT CODE,黑龙江
102261001027,中国工商银行哈尔滨市河图支行,0451-4607927,150076,哈尔滨市道里区河清街98号,SWIFT CODE,黑龙江
102261001035,中国工商银行股份有限公司哈尔滨前进支行,0451-84831342,150076,哈尔滨市道里区哈药路343号,SWIFT CODE,黑龙江
102261001043,中国工商银行哈尔滨市安发支行,0451-4217326,150016,哈尔滨市道理区新阳路77号,SWIFT CODE,黑龙江
102261001051,中国工商银行哈尔滨市田地支行,0451-4618604,150010,哈尔滨市道里区田地街113号,SWIFT CODE,黑龙江
102261001060,中国工商银行哈尔滨市田地支行十六道街分理处,0451-4692530,150010,哈尔滨市道里区西十六街17号,SWIFT CODE,黑龙江
102261001078,中国工商银行哈尔滨市西十二支行,0451-4632015,150010,哈尔滨市道里区西十二道街48号,SWIFT CODE,黑龙江
102261001086,中国工商银行哈尔滨市顾乡支行,0451-4307563,150070,哈尔滨市道里区顾乡大街51号,SWIFT CODE,黑龙江
102261001094,中国工商银行哈尔滨市新阳支行,0451-4627674,150076,哈尔滨市道里区通达街385号,SWIFT CODE,黑龙江
102261001109,中国工商银行哈尔滨市中央大街支行,0451-4643145,150010,哈尔滨市道理区中央大街218号,SWIFT CODE,黑龙江
102261001117,中国工商银行哈尔滨市房信支行,0451-4681242,150010,哈尔滨市道里区友谊路78号,SWIFT CODE,黑龙江
102261001125,中国工商银行哈尔滨市友谊支行,0451-4649020,150010,哈尔滨市道里区花圃街9号,SWIFT CODE,黑龙江
102261001133,中国工商银行哈尔滨市融汇支行,0451-4652537,150010,哈尔滨市道里区友谊路113号,SWIFT CODE,黑龙江
